,what,is,the,name,of,the,process,which,confirms,the,primality,of,a,number,n,?
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.2601566016674042,0.56894451379776,0.22575829923152924,0.5829201340675354,0.2352360039949417,0.5052502155303955,1.0,0.2992287278175354,0.25362148880958557,0.23916715383529663
simple,0.4218197166919708,0.29377081990242004,0.24738673865795135,0.1402875781059265,0.23205730319023132,0.24738673865795135,0.36090710759162903,0.40099966526031494,0.18076466023921967,0.24738673865795135,0.2877975404262543,0.23205730319023132,0.34160614013671875,0.2680935263633728,0.18716512620449066,0.4614735543727875
but,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.268699049949646,0.39942997694015503,0.4859698414802551,0.30837446451187134,0.55336993932724,0.3225674331188202,0.4859698414802551,0.26028192043304443,0.39942997694015503,0.44750767946243286,0.27500495314598083,0.06782880425453186,0.27921953797340393
slow,0.22626596689224243,0.15451329946517944,0.2366129457950592,0.0816049799323082,0.1380475014448166,0.2366129457950592,0.3479822278022766,0.35387182235717773,0.045987147837877274,0.2366129457950592,0.1935010701417923,0.1380475014448166,0.2697611451148987,0.21385818719863892,0.1669788807630539,0.15685610473155975
method,0.25476205348968506,0.21948537230491638,0.21624743938446045,0.146509051322937,0.22896558046340942,0.21624743938446045,0.42369964718818665,0.26479217410087585,0.17776119709014893,0.21624743938446045,0.36009106040000916,0.22896558046340942,0.2613512873649597,0.21155084669589996,0.1640596240758896,0.2194802314043045
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.23962904512882233,0.5011631846427917,0.2800047695636749,0.733189046382904,0.28515246510505676,1.0,0.5052502155303955,0.2778518795967102,0.18925218284130096,0.1826142966747284
verifying,0.3834722936153412,0.21320129930973053,0.2547602653503418,0.16861894726753235,0.19915632903575897,0.2547602653503418,0.3552160859107971,0.2891409695148468,0.3517252504825592,0.2547602653503418,0.40819671750068665,0.19915632903575897,0.2595100402832031,0.284660667181015,0.15181851387023926,0.41142913699150085
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.264274537563324,0.6521818041801453,0.2934320271015167,1.0,0.25188151001930237,0.733189046382904,0.5829201340675354,0.35145696997642517,0.18813885748386383,0.22068053483963013
primality,0.2850114405155182,0.24844646453857422,0.25188151001930237,0.1399572342634201,0.28515246510505676,0.25188151001930237,0.3052600920200348,0.2796518802642822,0.337788850069046,0.25188151001930237,1.0,0.28515246510505676,0.2352360039949417,0.32976987957954407,0.19567985832691193,0.24305593967437744
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.23962904512882233,0.5011631846427917,0.2800047695636749,0.733189046382904,0.28515246510505676,1.0,0.5052502155303955,0.2778518795967102,0.18925218284130096,0.1826142966747284
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.2601566016674042,0.56894451379776,0.22575829923152924,0.5829201340675354,0.2352360039949417,0.5052502155303955,1.0,0.2992287278175354,0.25362148880958557,0.23916715383529663
given,0.21883496642112732,0.249215230345726,0.37508252263069153,0.33893364667892456,0.39388060569763184,0.37508252263069153,0.2268804907798767,0.3192405104637146,0.2854439318180084,0.37508252263069153,0.24112646281719208,0.39388060569763184,0.3335871398448944,0.24448595941066742,0.13886377215385437,0.2570464313030243
number,0.23046229779720306,0.22390379011631012,0.35145696997642517,0.2084028571844101,0.2778518795967102,0.35145696997642517,0.2280154973268509,0.3661547005176544,0.16674204170703888,0.35145696997642517,0.32976987957954407,0.2778518795967102,0.2992287278175354,1.0,0.2545117735862732,0.19256845116615295
n,0.16510315239429474,0.2254602462053299,0.18813885748386383,0.14595149457454681,0.18925218284130096,0.18813885748386383,0.08148403465747833,0.1736065149307251,0.1266935169696808,0.18813885748386383,0.19567985832691193,0.18925218284130096,0.25362148880958557,0.2545117735862732,1.0,0.19161871075630188
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.21762968599796295,0.4457404911518097,0.17952974140644073,0.5823672413825989,0.24844646453857422,0.4854315221309662,0.658733606338501,0.22390379011631012,0.2254602462053299,0.22961433231830597
known,0.20381177961826324,0.41921812295913696,0.3624623417854309,0.3659360110759735,0.35814476013183594,0.3624623417854309,0.1235325038433075,0.30223485827445984,0.16286395490169525,0.3624623417854309,0.23041485249996185,0.35814476013183594,0.30882248282432556,0.15307225286960602,0.13333041965961456,0.18314571678638458
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.48381632566452026,0.22885268926620483,0.41006597876548767,0.22664345800876617,0.48381632566452026,0.22049500048160553,0.3886612355709076,0.39550232887268066,0.26786008477211,0.1300116330385208,0.27043893933296204
trial,0.2327587604522705,0.17689630389213562,0.20843634009361267,0.13282594084739685,0.18292099237442017,0.20843634009361267,0.28474247455596924,0.15354356169700623,0.23015932738780975,0.20843634009361267,0.24682952463626862,0.18292099237442017,0.24950183928012848,0.16607032716274261,0.08063504844903946,0.16902455687522888
division,0.19144181907176971,0.20176531374454498,0.26203617453575134,0.13409215211868286,0.23579144477844238,0.26203617453575134,0.18347729742527008,0.27775809168815613,0.09932500123977661,0.26203617453575134,0.10965608805418015,0.23579144477844238,0.19939710199832916,0.20398488640785217,0.07021425664424896,0.08900629729032516
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.23766504228115082,0.45942068099975586,0.2006162703037262,0.5934505462646484,0.23931632936000824,0.5352458953857422,0.50484299659729,0.3256329298019409,0.29137879610061646,0.4130953550338745
