,unlike,confirmation,and,profession,of,faith,",",what,is,a,sacrament,in,the,umc,?
unlike,1.0,0.19956374168395996,0.4084906280040741,0.11057862639427185,0.34768372774124146,0.17641091346740723,0.27131539583206177,0.25655338168144226,0.3046151101589203,0.29892557859420776,0.17110034823417664,0.28453120589256287,0.35607239603996277,0.18803095817565918,0.12876726686954498
confirmation,0.19956374168395996,1.0,0.21439118683338165,0.18543143570423126,0.2749702036380768,0.3547181487083435,0.2717241048812866,0.3684285879135132,0.2174345999956131,0.28788280487060547,0.258722722530365,0.23025545477867126,0.3052189350128174,0.24811804294586182,0.38350698351860046
and,0.4084906280040741,0.21439118683338165,1.0,0.2738117277622223,0.5116966962814331,0.2653059959411621,0.6633074283599854,0.31309178471565247,0.3859752118587494,0.3739250600337982,0.20197559893131256,0.4954058527946472,0.5171257257461548,0.21982228755950928,0.20544172823429108
profession,0.11057862639427185,0.18543143570423126,0.2738117277622223,1.0000001192092896,0.248733788728714,0.2712322771549225,0.28053703904151917,0.23272503912448883,0.24903449416160583,0.3185056746006012,0.21238885819911957,0.16790467500686646,0.17655403912067413,0.16841696202754974,0.13789935410022736
of,0.34768372774124146,0.2749702036380768,0.5116966962814331,0.248733788728714,1.0,0.20991961658000946,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.5052502155303955,0.22873786091804504,0.5696388483047485,0.733189046382904,0.18128293752670288,0.1826142966747284
faith,0.17641091346740723,0.3547181487083435,0.2653059959411621,0.2712322771549225,0.20991961658000946,1.0,0.3190833032131195,0.3120079040527344,0.2154717594385147,0.23009571433067322,0.35500651597976685,0.16146141290664673,0.20665863156318665,0.256642609834671,0.2833177447319031
",",0.27131539583206177,0.2717241048812866,0.6633074283599854,0.28053703904151917,0.4946078956127167,0.3190833032131195,1.0000001192092896,0.3087472915649414,0.4691906273365021,0.427140474319458,0.2308664321899414,0.5201468467712402,0.4933079481124878,0.1953766793012619,0.31091248989105225
baptism,0.11636627465486526,0.3029744327068329,0.11527413129806519,0.20605997741222382,0.25157880783081055,0.4018329977989197,0.20469237864017487,0.23295360803604126,0.1386922150850296,0.14281411468982697,0.4506922662258148,0.12040549516677856,0.18082354962825775,0.3145368695259094,0.18744641542434692
is,0.3046151101589203,0.2174345999956131,0.3859752118587494,0.24903449416160583,0.4854315221309662,0.2154717594385147,0.4691906273365021,0.28837618231773376,1.0,0.658733606338501,0.21231186389923096,0.5394441485404968,0.5823672413825989,0.21909049153327942,0.22961433231830597
a,0.29892557859420776,0.28788280487060547,0.3739250600337982,0.3185056746006012,0.5052502155303955,0.23009571433067322,0.427140474319458,0.3320399522781372,0.658733606338501,1.0,0.1920233964920044,0.539380669593811,0.5829201340675354,0.19728222489356995,0.23916715383529663
sacrament,0.17110034823417664,0.258722722530365,0.20197559893131256,0.21238885819911957,0.22873786091804504,0.35500651597976685,0.2308664321899414,0.26787394285202026,0.21231186389923096,0.1920233964920044,1.0000001192092896,0.17677049338817596,0.2597883939743042,0.1779698133468628,0.1619669646024704
in,0.28453120589256287,0.23025545477867126,0.4954058527946472,0.16790467500686646,0.5696388483047485,0.16146141290664673,0.5201468467712402,0.30808621644973755,0.5394441485404968,0.539380669593811,0.17677049338817596,1.0,0.6662389636039734,0.15436193346977234,0.20430970191955566
the,0.35607239603996277,0.3052189350128174,0.5171257257461548,0.17655403912067413,0.733189046382904,0.20665863156318665,0.4933079481124878,0.42745697498321533,0.5823672413825989,0.5829201340675354,0.2597883939743042,0.6662389636039734,1.0,0.21262750029563904,0.22068053483963013
umc,0.18803095817565918,0.24811804294586182,0.21982228755950928,0.16841696202754974,0.18128293752670288,0.256642609834671,0.1953766793012619,0.2557855546474457,0.21909049153327942,0.19728222489356995,0.1779698133468628,0.15436193346977234,0.21262750029563904,1.0,0.2609967589378357
.,0.29665979743003845,0.3215930163860321,0.588965117931366,0.23688457906246185,0.5352458953857422,0.2496335357427597,0.6812511086463928,0.3567904531955719,0.4569662809371948,0.50484299659729,0.20648615062236786,0.5591574311256409,0.5934505462646484,0.23154163360595703,0.4130953550338745
