,thoreau,argues,that,usually,majority,rules,but,their,views,collectively,are,sometimes,?
the,0.30504027009010315,0.22893615067005157,0.5473989248275757,0.36782920360565186,0.28757327795028687,0.27022838592529297,0.4859698414802551,0.516537070274353,0.23137402534484863,0.3632560670375824,0.40399202704429626,0.35816407203674316,0.22068053483963013
majority,0.21419690549373627,0.1903124898672104,0.3037298023700714,0.2689581513404846,0.9999998807907104,0.2162933498620987,0.3069172203540802,0.2573463022708893,0.2920798659324646,0.2514696419239044,0.3146342635154724,0.19778525829315186,0.220119908452034
may,0.19417525827884674,0.18891340494155884,0.4234136641025543,0.32525691390037537,0.1943773478269577,0.18122324347496033,0.3862738311290741,0.2552892565727234,0.20395486056804657,0.18183106184005737,0.3162533640861511,0.30342283844947815,0.2768254578113556
be,0.24511386454105377,0.18555113673210144,0.6036020517349243,0.4821065366268158,0.26356902718544006,0.2569824457168579,0.5764366984367371,0.3200586438179016,0.19737112522125244,0.2753508985042572,0.5556803941726685,0.40308091044425964,0.3324260413646698
powerful,0.18808485567569733,0.21279846131801605,0.31185805797576904,0.21017277240753174,0.19943076372146606,0.10908384621143341,0.2879911959171295,0.27002623677253723,0.15252600610256195,0.20882092416286469,0.20714731514453888,0.2437579333782196,0.12160622328519821
but,0.2742561101913452,0.3191855251789093,0.7244205474853516,0.4121614694595337,0.3069172203540802,0.30552366375923157,1.0000001192092896,0.409988135099411,0.24762235581874847,0.2796408236026764,0.47990062832832336,0.3846900463104248,0.27921953797340393
it,0.32486701011657715,0.16716185212135315,0.5921133160591125,0.34398654103279114,0.24516208469867706,0.20127558708190918,0.5299214720726013,0.3067983090877533,0.21774674952030182,0.2908141314983368,0.3617996573448181,0.34049513936042786,0.25732165575027466
is,0.23455512523651123,0.2095448076725006,0.3995479643344879,0.4230746626853943,0.19749082624912262,0.1963796466588974,0.4106791317462921,0.2101074606180191,0.1585468053817749,0.2689826488494873,0.5330929756164551,0.3757973313331604,0.22961433231830597
not,0.29043129086494446,0.2694745361804962,0.6600887179374695,0.43927186727523804,0.29603248834609985,0.33311018347740173,0.6553761959075928,0.4368778169155121,0.2463306039571762,0.2724417448043823,0.46186959743499756,0.4352559447288513,0.41942933201789856
necessarily,0.22004850208759308,0.2633832097053528,0.4738059341907501,0.41473957896232605,0.2740069329738617,0.2715633511543274,0.4186229407787323,0.30348047614097595,0.222768634557724,0.2833156883716583,0.40242108702659607,0.3428521156311035,0.32468926906585693
right,0.2091318666934967,0.2220650315284729,0.3680553734302521,0.23752975463867188,0.2664855718612671,0.2425464391708374,0.31813517212867737,0.21140746772289276,0.295207679271698,0.14431487023830414,0.21829961240291595,0.21700125932693481,0.27135515213012695
.,0.2866504490375519,0.20865966379642487,0.4460422694683075,0.28580138087272644,0.30306822061538696,0.27219346165657043,0.46573564410209656,0.34427863359451294,0.2603122889995575,0.286761075258255,0.3452940285205841,0.24956031143665314,0.4130953550338745
,thoreau,argues,that,usually,majority,rules,but,their,views,collectively,are,sometimes,?
thoreau,1.0,0.3252781629562378,0.3305809795856476,0.2064003199338913,0.21419690549373627,0.21757161617279053,0.2742561101913452,0.2613269090652466,0.28423333168029785,0.18812720477581024,0.1745186597108841,0.27141305804252625,0.1922200322151184
admits,0.22370393574237823,0.3572878837585449,0.3125200867652893,0.16172319650650024,0.23319336771965027,0.25381484627723694,0.3248785734176636,0.21681615710258484,0.26908770203590393,0.13975556194782257,0.1739872395992279,0.1719667911529541,0.21940074861049652
