,who,are,the,chief,administrators,of,the,church,?
the,0.3733934462070465,0.40399202704429626,1.0,0.2586921751499176,0.25064438581466675,0.733189046382904,1.0,0.23846197128295898,0.22068053483963013
main,0.18417203426361084,0.2828797399997711,0.38631999492645264,0.2322424203157425,0.13035963475704193,0.3177044689655304,0.38631999492645264,0.17608977854251862,0.1665669083595276
purpose,0.27054038643836975,0.2788180708885193,0.3061215281486511,0.15470166504383087,0.2819208800792694,0.23855330049991608,0.3061215281486511,0.15238554775714874,0.21892647445201874
of,0.2827862501144409,0.39081433415412903,0.733189046382904,0.26361605525016785,0.22883084416389465,1.0,0.733189046382904,0.3079429268836975,0.1826142966747284
the,0.3733934462070465,0.40399202704429626,1.0,0.2586921751499176,0.25064438581466675,0.733189046382904,1.0,0.23846197128295898,0.22068053483963013
jurisdictions,0.21970705687999725,0.2782263457775116,0.2714405059814453,0.24538922309875488,0.38830387592315674,0.29086312651634216,0.2714405059814453,0.2883661985397339,0.20752876996994019
and,0.41279885172843933,0.48576638102531433,0.5171257257461548,0.21687087416648865,0.25916916131973267,0.5116966962814331,0.5171257257461548,0.1976170688867569,0.20544172823429108
central,0.14618510007858276,0.19564221799373627,0.3417201042175293,0.1832505762577057,0.1691526621580124,0.3415789008140564,0.3417201042175293,0.20518873631954193,0.14787602424621582
conferences,0.15369366109371185,0.26714980602264404,0.2745058238506317,0.13492874801158905,0.23759908974170685,0.22132393717765808,0.2745058238506317,0.20040220022201538,0.14015959203243256
is,0.24293622374534607,0.5330929756164551,0.5823672413825989,0.17735815048217773,0.18384863436222076,0.4854315221309662,0.5823672413825989,0.203276589512825,0.22961433231830597
to,0.42656609416007996,0.3504326641559601,0.535392165184021,0.18738310039043427,0.335151344537735,0.41548454761505127,0.535392165184021,0.24439501762390137,0.29463258385658264
elect,0.31137359142303467,0.15323099493980408,0.2026924341917038,0.21694496273994446,0.34545639157295227,0.23115672171115875,0.2026924341917038,0.22842413187026978,0.2500597834587097
and,0.41279885172843933,0.48576638102531433,0.5171257257461548,0.21687087416648865,0.25916916131973267,0.5116966962814331,0.5171257257461548,0.1976170688867569,0.20544172823429108
appoint,0.3189915716648102,0.08370542526245117,0.25431281328201294,0.39037275314331055,0.3999671936035156,0.3188447058200836,0.25431281328201294,0.18890869617462158,0.21547414362430573
bishops,0.24604983627796173,0.22285829484462738,0.30482447147369385,0.17793700098991394,0.2558640241622925,0.305105060338974,0.30482447147369385,0.5199357867240906,0.15664468705654144
",",0.3365725874900818,0.4062570035457611,0.4933079481124878,0.22851578891277313,0.27954280376434326,0.4946078956127167,0.4933079481124878,0.2707274258136749,0.31091248989105225
the,0.3733934462070465,0.40399202704429626,1.0,0.2586921751499176,0.25064438581466675,0.733189046382904,1.0,0.23846197128295898,0.22068053483963013
chief,0.2604494094848633,0.09394203871488571,0.2586921751499176,1.0,0.20510739088058472,0.26361605525016785,0.2586921751499176,0.13622510433197021,0.09466830641031265
administrators,0.35199111700057983,0.2769838869571686,0.25064438581466675,0.20510739088058472,0.9999998807907104,0.22883084416389465,0.25064438581466675,0.13700909912586212,0.3605874478816986
of,0.2827862501144409,0.39081433415412903,0.733189046382904,0.26361605525016785,0.22883084416389465,1.0,0.733189046382904,0.3079429268836975,0.1826142966747284
the,0.3733934462070465,0.40399202704429626,1.0,0.2586921751499176,0.25064438581466675,0.733189046382904,1.0,0.23846197128295898,0.22068053483963013
church,0.19418756663799286,0.16039738059043884,0.23846197128295898,0.13622510433197021,0.13700909912586212,0.3079429268836975,0.23846197128295898,0.9999999403953552,0.18081501126289368
.,0.3541337847709656,0.3452940285205841,0.5934505462646484,0.21212048828601837,0.27061358094215393,0.5352458953857422,0.5934505462646484,0.28898224234580994,0.4130953550338745
