,cells,of,the,site,of,an,infection,in,a,plant,undergo,what,process,to,prevent,spread,of,the,disease,?
when,0.2794494032859802,0.3757161796092987,0.5091903209686279,0.15652912855148315,0.3757161796092987,0.33026179671287537,0.2186603844165802,0.4431333839893341,0.44397395849227905,0.22998343408107758,0.285890132188797,0.4700249433517456,0.31665828824043274,0.5423505902290344,0.3803582191467285,0.22687478363513947,0.3757161796092987,0.5091903209686279,0.21795444190502167,0.22841128706932068
a,0.2297232300043106,0.5052502155303955,0.5829201340675354,0.21085289120674133,0.5052502155303955,0.44552403688430786,0.247476264834404,0.539380669593811,1.0,0.2010895311832428,0.25324106216430664,0.3320399522781372,0.2601566016674042,0.45503583550453186,0.23738086223602295,0.17979469895362854,0.5052502155303955,0.5829201340675354,0.18050196766853333,0.23916715383529663
part,0.16026201844215393,0.452393114566803,0.527681291103363,0.21392333507537842,0.452393114566803,0.3128427565097809,0.2158845216035843,0.4499994218349457,0.3994528353214264,0.13939379155635834,0.183249369263649,0.3476244807243347,0.2482462376356125,0.2875264883041382,0.17266985774040222,0.18778499960899353,0.452393114566803,0.527681291103363,0.15719690918922424,0.08557961881160736
of,0.21305565536022186,1.0,0.733189046382904,0.24291633069515228,1.0,0.32280945777893066,0.2276538908481598,0.5696388483047485,0.5052502155303955,0.26645857095718384,0.2243548482656479,0.33290785551071167,0.23962904512882233,0.41548454761505127,0.22669163346290588,0.2895529866218567,1.0,0.733189046382904,0.22984620928764343,0.1826142966747284
a,0.2297232300043106,0.5052502155303955,0.5829201340675354,0.21085289120674133,0.5052502155303955,0.44552403688430786,0.247476264834404,0.539380669593811,1.0,0.2010895311832428,0.25324106216430664,0.3320399522781372,0.2601566016674042,0.45503583550453186,0.23738086223602295,0.17979469895362854,0.5052502155303955,0.5829201340675354,0.18050196766853333,0.23916715383529663
plant,0.3855547606945038,0.26645857095718384,0.28395459055900574,0.17985212802886963,0.26645857095718384,0.22981685400009155,0.28363484144210815,0.2597269117832184,0.2010895311832428,1.0,0.29465943574905396,0.23371253907680511,0.28575238585472107,0.20493197441101074,0.2180984765291214,0.1947988122701645,0.26645857095718384,0.28395459055900574,0.2572440505027771,0.16613075137138367
becomes,0.09908097237348557,0.29713478684425354,0.2601490020751953,0.1150343269109726,0.29713478684425354,0.16524666547775269,0.20945650339126587,0.1670430302619934,0.21742002665996552,0.15102802217006683,0.1775941550731659,0.15717560052871704,0.16774477064609528,0.22548897564411163,0.10106304287910461,0.11119511723518372,0.29713478684425354,0.2601490020751953,0.15891586244106293,0.1751440465450287
infected,0.41876426339149475,0.24511770904064178,0.2435249239206314,0.13456059992313385,0.24511770904064178,0.16209225356578827,0.8438827991485596,0.22323578596115112,0.24732835590839386,0.26818981766700745,0.2561698257923126,0.18830068409442902,0.1920490264892578,0.254592627286911,0.3339725136756897,0.4664745628833771,0.24511770904064178,0.2435249239206314,0.5158745646476746,0.17761120200157166
",",0.20582014322280884,0.4946078956127167,0.4933079481124878,0.2036259025335312,0.4946078956127167,0.3581022024154663,0.24966196715831757,0.5201468467712402,0.427140474319458,0.25194862484931946,0.13282671570777893,0.3087472915649414,0.2061346471309662,0.44245919585227966,0.19234955310821533,0.24950742721557617,0.4946078956127167,0.4933079481124878,0.29627472162246704,0.31091248989105225
the,0.19095487892627716,0.733189046382904,1.0,0.288954496383667,0.733189046382904,0.4207492768764496,0.21775591373443604,0.6662389636039734,0.5829201340675354,0.28395459055900574,0.21054203808307648,0.42745697498321533,0.264274537563324,0.535392165184021,0.2841009497642517,0.28994160890579224,0.733189046382904,1.0,0.22720423340797424,0.22068053483963013
plant,0.3855547606945038,0.26645857095718384,0.28395459055900574,0.17985212802886963,0.26645857095718384,0.22981685400009155,0.28363484144210815,0.2597269117832184,0.2010895311832428,1.0,0.29465943574905396,0.23371253907680511,0.28575238585472107,0.20493197441101074,0.2180984765291214,0.1947988122701645,0.26645857095718384,0.28395459055900574,0.2572440505027771,0.16613075137138367
