,what,was,the,seven,years,war,?
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.2999340295791626,0.26767030358314514,0.29429852962493896,0.3155723512172699
traditional,0.20066824555397034,0.1784529834985733,0.25703898072242737,0.165986567735672,0.16197626292705536,0.1403684914112091,0.1327509582042694
name,0.18623162806034088,0.2646567225456238,0.3171212375164032,0.10553528368473053,0.19448696076869965,0.13651461899280548,0.15381577610969543
continues,0.27419164776802063,0.2473796010017395,0.3452514410018921,0.1304636150598526,0.23626266419887543,0.2108086794614792,0.13186512887477875
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.12988677620887756,0.234328031539917,0.24018222093582153,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.22068053483963013
standard,0.22809998691082,0.17353598773479462,0.29008856415748596,0.09402786195278168,0.16673843562602997,0.11611679941415787,0.17029257118701935
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.24717609584331512,0.33554986119270325,0.29904094338417053,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.22068053483963013
united,0.20036718249320984,0.31727492809295654,0.34367692470550537,0.19679920375347137,0.2736840844154358,0.29975080490112305,0.17266890406608582
states,0.21526020765304565,0.2847922146320343,0.3463578522205353,0.1915588229894638,0.28678232431411743,0.2994349002838135,0.16272737085819244
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.32867714762687683,0.2589467465877533,0.2671184241771698,0.31091248989105225
but,0.5029441118240356,0.36023372411727905,0.4859698414802551,0.24325984716415405,0.29745155572891235,0.258840948343277,0.27921953797340393
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.2732959985733032,0.21688692271709442,0.28139346837997437,0.25732165575027466
obscures,0.22080545127391815,0.19655074179172516,0.2189876288175583,0.15004423260688782,0.23641352355480194,0.11453288048505783,0.18811771273612976
the,0.42745697498321533,0.48711544275283813,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.22068053483963013
fact,0.4454877972602844,0.24826835095882416,0.32878658175468445,0.14022989571094513,0.1951361745595932,0.20826639235019684,0.2798655927181244
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.25524288415908813,0.27599525451660156,0.22443464398384094,0.32716336846351624
indians,0.2342250943183899,0.207571879029274,0.26152291893959045,0.13545571267604828,0.22830866277217865,0.26681917905807495,0.13372346758842468
fought,0.17720700800418854,0.3444228172302246,0.30367159843444824,0.20997750759124756,0.24598579108715057,0.5800250768661499,0.15288178622722626
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.31168052554130554,0.2152649462223053,0.23017507791519165,0.2714994251728058
both,0.3361809551715851,0.2990766167640686,0.4931981563568115,0.26130422949790955,0.1755153387784958,0.2750868797302246,0.19455738365650177
sides,0.2306775599718094,0.16849499940872192,0.3694373369216919,0.18861952424049377,0.12153693288564682,0.2669115364551544,0.09230148047208786
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.273354172706604,0.2904134690761566,0.31680163741111755,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.22068053483963013
conflict,0.32742366194725037,0.19450020790100098,0.2974752187728882,0.12523271143436432,0.21952782571315765,0.49024683237075806,0.26744839549064636
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.32867714762687683,0.2589467465877533,0.2671184241771698,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.26877880096435547,0.300204873085022,0.29695844650268555,0.20544172823429108
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.25524288415908813,0.27599525451660156,0.22443464398384094,0.32716336846351624
this,0.5489566326141357,0.3638818562030792,0.6274310946464539,0.2999340295791626,0.26767030358314514,0.29429852962493896,0.3155723512172699
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.28194957971572876,0.35855233669281006,0.3560331463813782,0.18412111699581146
part,0.3476244807243347,0.3407018780708313,0.527681291103363,0.18470613658428192,0.17608642578125,0.2434709668159485,0.08557961881160736
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.273354172706604,0.2904134690761566,0.31680163741111755,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.28151169419288635,0.2912273406982422,0.366199791431427,0.22068053483963013
seven,0.15978287160396576,0.28194957971572876,0.28151169419288635,0.9999999403953552,0.262826532125473,0.19957704842090607,0.1732930988073349
years,0.1981470286846161,0.35855233669281006,0.2912273406982422,0.262826532125473,1.0,0.3038960099220276,0.1914375126361847
',0.3245812654495239,0.33675912022590637,0.474788099527359,0.21918454766273499,0.13308875262737274,0.17949679493904114,0.330942302942276
