,when,did,the,uk,formally,subscribe,to,the,agreement,on,social,policy,?
following,0.3263498842716217,0.28040066361427307,0.39779382944107056,0.16003231704235077,0.24772080779075623,0.2522352933883667,0.31711265444755554,0.39779382944107056,0.23120063543319702,0.2962210774421692,0.15729759633541107,0.17679889500141144,0.1555173695087433
the,0.5091903209686279,0.34736719727516174,1.0,0.2143084555864334,0.3323594629764557,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
election,0.24046973884105682,0.21878118813037872,0.22873377799987793,0.17026884853839874,0.2984175682067871,0.13821609318256378,0.20867465436458588,0.22873377799987793,0.25917765498161316,0.2223266214132309,0.26066961884498596,0.329842209815979,0.23105260729789734
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.21513383090496063,0.3022876977920532,0.13309970498085022,0.41548454761505127,0.733189046382904,0.21259461343288422,0.3966929316520691,0.2605111300945282,0.24393197894096375,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.2143084555864334,0.3323594629764557,0.22791576385498047,0.535392165184021,1.0,0.2490699142217636,0.5107308030128479,0.21797899901866913,0.2358427494764328,0.22068053483963013
uk,0.13155107200145721,0.128135547041893,0.2143084555864334,1.0,0.1687716394662857,0.19344307482242584,0.18409153819084167,0.2143084555864334,0.16928067803382874,0.2875306308269501,0.17876560986042023,0.2248694896697998,0.20222434401512146
labour,0.1308453381061554,0.10617300868034363,0.1636447161436081,0.370420902967453,0.20592950284481049,0.10076039284467697,0.172691211104393,0.1636447161436081,0.2290135622024536,0.1710471659898758,0.370028018951416,0.24776102602481842,0.15689024329185486
party,0.2302551418542862,0.1442001461982727,0.23779736459255219,0.23062366247177124,0.2336173802614212,0.17747119069099426,0.1893671154975891,0.23779736459255219,0.21293717622756958,0.23256510496139526,0.4438611567020416,0.2540477514266968,0.19031576812267303
to,0.5423505902290344,0.4452643394470215,0.535392165184021,0.18409153819084167,0.2944337725639343,0.27104270458221436,1.0,0.535392165184021,0.2757699489593506,0.41031414270401,0.19684761762619019,0.26804789900779724,0.29463258385658264
government,0.23078718781471252,0.2792121469974518,0.31798112392425537,0.20926889777183533,0.35141056776046753,0.17268334329128265,0.28343796730041504,0.31798112392425537,0.30696341395378113,0.19216017425060272,0.3182539641857147,0.42850491404533386,0.18851417303085327
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.2261405885219574,0.2996116280555725,0.1892358511686325,0.45010748505592346,0.6662389636039734,0.20350398123264313,0.46853652596473694,0.23382627964019775,0.1459147185087204,0.20430970191955566
1997,-0.03653284162282944,0.106808140873909,0.017451778054237366,-0.08518481254577637,0.020397141575813293,0.06230452284216881,0.07039770483970642,0.017451778054237366,0.09533105045557022,-0.019976332783699036,0.010246951133012772,0.13106195628643036,0.03663474693894386
