,which,mongolian,president,lauded,genghis,khan,on,the,850th,anniversary,of,the,conqueror,'s,birth,?
``,0.05178012326359749,0.08506778627634048,0.057543765753507614,-0.010637192986905575,0.05644606053829193,0.07293079793453217,-0.03274054825305939,0.029072100296616554,0.11672157794237137,-0.07950975000858307,0.06780257821083069,0.029072100296616554,0.005049931351095438,-0.03416389226913452,0.13909153640270233,0.0685480609536171
ikh,0.1694476306438446,0.32306721806526184,0.24760790169239044,0.04307234287261963,0.494457870721817,0.5630743503570557,0.11060290783643723,0.18611209094524384,0.16364805400371552,0.1579206883907318,0.16919322311878204,0.18611209094524384,0.26759523153305054,-0.04160108044743538,0.13553261756896973,0.19104276597499847
zasag,0.28830990195274353,0.3454987704753876,0.2576756179332733,0.1761840134859085,0.3965557813644409,0.2867058217525482,0.19098997116088867,0.2520812451839447,0.22295008599758148,0.19837942719459534,0.20756472647190094,0.2520812451839447,0.2340439110994339,-0.0074087828397750854,0.12366629391908646,0.17681355774402618
law,0.20205146074295044,0.08108631521463394,0.24191398918628693,0.1412850022315979,0.17648518085479736,0.10655999183654785,0.13878796994686127,0.24548950791358948,0.05648649111390114,0.11680490523576736,0.2816956341266632,0.24548950791358948,0.17029884457588196,-0.06109188124537468,0.1504441648721695,0.1528988480567932
adopted,0.1776876300573349,0.18023547530174255,0.2198292464017868,0.2073289155960083,0.24799492955207825,0.16147825121879578,0.16192789375782013,0.23462533950805664,0.06959178298711777,0.26760831475257874,0.25312307476997375,0.23462533950805664,0.20774158835411072,-0.03255033865571022,0.23524056375026703,0.14235380291938782
during,0.3590145409107208,0.1385686844587326,0.19422510266304016,0.26120203733444214,0.23637251555919647,0.14773862063884735,0.3347817361354828,0.4838213622570038,0.15484876930713654,0.36299774050712585,0.3869180977344513,0.4838213622570038,0.23202826082706451,0.011294117197394371,0.18168875575065613,0.1325719803571701
genghis,0.26472097635269165,0.463535338640213,0.21110491454601288,0.16273164749145508,1.0,0.5896923542022705,0.17695671319961548,0.3448939025402069,0.1868363320827484,0.21445344388484955,0.2938849925994873,0.3448939025402069,0.4710787832736969,0.031423866748809814,0.23190996050834656,0.18813461065292358
khan,0.19211235642433167,0.4463278353214264,0.21197029948234558,0.09703768789768219,0.5896923542022705,1.0,0.13222354650497437,0.21067845821380615,0.12682299315929413,0.16147859394550323,0.17124508321285248,0.21067845821380615,0.32583603262901306,0.05307086929678917,0.12805815041065216,0.12862591445446014
’,-0.05400906875729561,0.0329943522810936,0.013139976188540459,0.013299601152539253,0.025488652288913727,0.08343757688999176,0.052648309618234634,-0.04090067744255066,0.06020914390683174,0.004112560767680407,-0.062016043812036514,-0.04090067744255066,0.06735032796859741,-0.1203070729970932,0.07790596783161163,0.045561522245407104
s,0.3599644899368286,0.15762612223625183,0.20769131183624268,0.2571423053741455,0.2606803774833679,0.17176339030265808,0.334797739982605,0.46610721945762634,0.14743204414844513,0.3033810257911682,0.42263656854629517,0.46610721945762634,0.23824113607406616,0.05719660595059395,0.14753369987010956,0.25130221247673035
