,what,made,luther,even,more,short,tempered,than,usual,?
his,0.26976513862609863,0.29201897978782654,0.27093374729156494,0.2842361330986023,0.23633438348770142,0.20850662887096405,0.2788313925266266,0.18405678868293762,0.25137850642204285,0.18075084686279297
poor,0.2570318877696991,0.1478397250175476,0.15004777908325195,0.30083364248275757,0.2653103172779083,0.2758101522922516,0.2191968560218811,0.23567116260528564,0.29412561655044556,0.12937016785144806
physical,0.27895045280456543,0.16848506033420563,0.09395226091146469,0.23290617763996124,0.2782053053379059,0.11944764107465744,0.1603049486875534,0.22729748487472534,0.2185114473104477,0.11781801283359528
health,0.21460163593292236,0.11163143813610077,0.17949983477592468,0.2509666383266449,0.2228650152683258,0.11736593395471573,0.16731375455856323,0.162571519613266,0.13452500104904175,0.16094304621219635
made,0.23419176042079926,1.0,0.15519264340400696,0.28518611192703247,0.4597497582435608,0.1848398894071579,0.22012919187545776,0.25245386362075806,0.2571756839752197,0.17218779027462006
him,0.34912991523742676,0.22442960739135742,0.25429821014404297,0.376695841550827,0.2715552747249603,0.16215834021568298,0.270527720451355,0.18777738511562347,0.21607878804206848,0.23943768441677094
short-tempered,0.23517467081546783,0.27097177505493164,0.17717163264751434,0.41952139139175415,0.3143501877784729,0.4230464696884155,0.8590378761291504,0.2729337811470032,0.3805275857448578,0.2237992137670517
and,0.31309178471565247,0.34954607486724854,0.20796556770801544,0.4625037908554077,0.39880692958831787,0.2875099778175354,0.25439393520355225,0.39361441135406494,0.3183724880218506,0.20544172823429108
even,0.40872135758399963,0.28518611192703247,0.13474266231060028,0.9999999403953552,0.5038509368896484,0.2713790535926819,0.29759907722473145,0.4934680163860321,0.4032931923866272,0.30082517862319946
harsher,0.3465219736099243,0.17734093964099884,0.22396565973758698,0.44063299894332886,0.3319680988788605,0.2547132074832916,0.30985668301582336,0.3366421163082123,0.29965412616729736,0.21320539712905884
in,0.30808621644973755,0.25271502137184143,0.20523880422115326,0.29146435856819153,0.32563260197639465,0.26193615794181824,0.184113010764122,0.3270052373409271,0.2860795259475708,0.20430970191955566
his,0.26976513862609863,0.29201897978782654,0.27093374729156494,0.2842361330986023,0.23633438348770142,0.20850662887096405,0.2788313925266266,0.18405678868293762,0.25137850642204285,0.18075084686279297
writings,0.31019967794418335,0.16626356542110443,0.32714858651161194,0.21466736495494843,0.17032232880592346,0.1639632284641266,0.15649116039276123,0.14156115055084229,0.16335158050060272,0.1770159751176834
and,0.31309178471565247,0.34954607486724854,0.20796556770801544,0.4625037908554077,0.39880692958831787,0.2875099778175354,0.25439393520355225,0.39361441135406494,0.3183724880218506,0.20544172823429108
comments,0.34725841879844666,0.43664512038230896,0.1768287569284439,0.2981584370136261,0.36440402269363403,0.18067823350429535,0.22517408430576324,0.23218218982219696,0.26200956106185913,0.3595547676086426
.,0.3567904531955719,0.4032190144062042,0.24907569587230682,0.3729337155818939,0.4070230722427368,0.2740369439125061,0.23473863303661346,0.3594527542591095,0.27288782596588135,0.4130953550338745
