,where,does,the,proportion,of,shared,and,converted,houses,in,2011,put,this,dwelling,type,in,the,color-coded,brackets,?
in,0.5344807505607605,0.214483380317688,0.6662389636039734,0.2268213927745819,0.5696388483047485,0.24815475940704346,0.4954058527946472,0.22429603338241577,0.2622964382171631,1.0,0.08290185779333115,0.26728662848472595,0.45205554366111755,0.22181351482868195,0.20604541897773743,1.0,0.6662389636039734,0.19091330468654633,0.22041325271129608,0.20430970191955566
terms,0.2043696790933609,0.24520082771778107,0.29706791043281555,0.3220226764678955,0.2767748534679413,0.19057756662368774,0.26477551460266113,0.16933554410934448,0.1651465743780136,0.2410934716463089,0.06632362306118011,0.18054182827472687,0.31467998027801514,0.24305842816829681,0.1710212379693985,0.2410934716463089,0.29706791043281555,0.18962165713310242,0.2635517418384552,0.23466452956199646
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.326309472322464,1.0,0.2307819277048111,0.5116966962814331,0.27010029554367065,0.2718559205532074,0.5696388483047485,0.09709474444389343,0.3247257471084595,0.45148900151252747,0.22750063240528107,0.18112817406654358,0.5696388483047485,0.733189046382904,0.2211129516363144,0.1546982228755951,0.1826142966747284
housing,0.21437516808509827,0.16124112904071808,0.24837790429592133,0.2784845232963562,0.2954002916812897,0.11100157350301743,0.29145196080207825,0.17319440841674805,0.5230565071105957,0.255455881357193,0.08115238696336746,0.20036062598228455,0.19707275927066803,0.3023492097854614,0.062281928956508636,0.255455881357193,0.24837790429592133,0.14097480475902557,0.19632945954799652,0.11872038245201111
stock,0.18598662316799164,0.17197497189044952,0.21356552839279175,0.2171664535999298,0.20828957855701447,0.1376306116580963,0.1762690395116806,0.21266436576843262,0.1275908648967743,0.20128266513347626,0.10599886626005173,0.18900743126869202,0.19195853173732758,0.184852734208107,0.25089842081069946,0.20128266513347626,0.21356552839279175,0.21733324229717255,0.18615004420280457,0.14784406125545502
",",0.3149496018886566,0.28617382049560547,0.4933079481124878,0.23342293500900269,0.4946078956127167,0.2729959785938263,0.6633074283599854,0.18564631044864655,0.25159695744514465,0.5201468467712402,0.08851227909326553,0.28264448046684265,0.4316047728061676,0.24786125123500824,0.1804078221321106,0.5201468467712402,0.4933079481124878,0.2590676546096802,0.22971686720848083,0.31091248989105225
the,0.5003893971443176,0.35928019881248474,1.0,0.2945463955402374,0.733189046382904,0.21652492880821228,0.5171257257461548,0.2538719177246094,0.2692612111568451,0.6662389636039734,0.07811610400676727,0.34150463342666626,0.6274310946464539,0.28435325622558594,0.21819381415843964,0.6662389636039734,1.0,0.2748313248157501,0.2854970097541809,0.22068053483963013
authority,0.17642784118652344,0.24361401796340942,0.2645063102245331,0.17964455485343933,0.28063252568244934,0.17132596671581268,0.22905389964580536,0.1650482565164566,0.17570854723453522,0.214982271194458,0.0678551122546196,0.1797618716955185,0.21339759230613708,0.18878860771656036,0.11715258657932281,0.214982271194458,0.2645063102245331,0.07320523262023926,0.22456689178943634,0.18404170870780945
is,0.3586711287498474,0.4403602182865143,0.5823672413825989,0.267301470041275,0.4854315221309662,0.15255604684352875,0.3859752118587494,0.19808925688266754,0.1995694637298584,0.5394441485404968,0.07836040109395981,0.22724464535713196,0.480927973985672,0.23325200378894806,0.3053323030471802,0.5394441485404968,0.5823672413825989,0.2397240549325943,0.1917291134595871,0.22961433231830597
one,0.3907615840435028,0.2924913763999939,0.5514441132545471,0.31132858991622925,0.4999135136604309,0.23068730533123016,0.42438167333602905,0.19383732974529266,0.24196521937847137,0.4129433035850525,0.10516269505023956,0.3347601890563965,0.4978463351726532,0.2032090574502945,0.2377735823392868,0.4129433035850525,0.5514441132545471,0.25295230746269226,0.2300133854150772,0.2673267424106598
