,which,of,abc,'s,main,production,facilities,is,located,in,new,york,city,?
since,0.3523256182670593,0.35513219237327576,0.20685888826847076,-0.04899144917726517,0.2015080600976944,0.20121201872825623,0.21158863604068756,0.3567592203617096,0.16326725482940674,0.4325680434703827,0.2617199122905731,0.172881081700325,0.2516091465950012,0.2876587212085724
the,0.6521818041801453,0.733189046382904,0.2068762183189392,-0.01540423184633255,0.38631999492645264,0.2657334506511688,0.19172798097133636,0.5823672413825989,0.407527357339859,0.6662389636039734,0.3845241069793701,0.3034006953239441,0.35769423842430115,0.22068053483963013
1950s,0.3753165006637573,0.2965795397758484,0.16447530686855316,-0.019477833062410355,0.2105707973241806,0.2346893697977066,0.3470667600631714,0.2417334020137787,0.16709007322788239,0.26312577724456787,0.21239465475082397,0.16169145703315735,0.11027524620294571,0.16557677090168
",",0.3658004403114319,0.4946078956127167,0.2097204476594925,-0.0016132977325469255,0.2989408075809479,0.24176549911499023,0.21444764733314514,0.4691906273365021,0.2678719460964203,0.5201468467712402,0.36073189973831177,0.2926291227340698,0.35839709639549255,0.31091248989105225
abc,0.1991286277770996,0.14607268571853638,1.0000001192092896,0.06670809537172318,0.09939103573560715,0.23261262476444244,0.11960670351982117,0.16037321090698242,0.12305215001106262,0.1697147786617279,0.20663127303123474,0.25457969307899475,0.2157231718301773,0.19065172970294952
has,0.4350704550743103,0.3909035325050354,0.23067910969257355,-0.040683966130018234,0.26405781507492065,0.18341509997844696,0.244117870926857,0.5668748617172241,0.2580956220626831,0.4173259735107422,0.20920851826667786,0.13993772864341736,0.2476206123828888,0.15994466841220856
had,0.3188965916633606,0.37755560874938965,0.18355661630630493,-0.004401352722197771,0.1934892237186432,0.21679675579071045,0.24092423915863037,0.2932159900665283,0.1453970968723297,0.385026752948761,0.28327175974845886,0.222146138548851,0.22134195268154144,0.20728366076946259
two,0.4674137234687805,0.37726253271102905,0.15247683227062225,0.038143858313560486,0.3178617060184479,0.21272119879722595,0.23252446949481964,0.2315155267715454,0.20089440047740936,0.36463531851768494,0.2712784707546234,0.23100046813488007,0.17386646568775177,0.19645625352859497
main,0.37042954564094543,0.3177044689655304,0.09939103573560715,0.032559316605329514,1.0000001192092896,0.1680770218372345,0.17629066109657288,0.3009335994720459,0.2649710774421692,0.28862449526786804,0.2215794324874878,0.11651258915662766,0.20839166641235352,0.1665669083595276
production,0.3583662211894989,0.1928233802318573,0.23261262476444244,0.01652577519416809,0.1680770218372345,1.0,0.2862439453601837,0.19756923615932465,0.14462490379810333,0.22079120576381683,0.1491549015045166,0.18288494646549225,0.1842387169599533,0.19318072497844696
