,what,magnetic,and,electric,force,acts,on,a,charge,?
the,0.42745697498321533,0.18611927330493927,0.5171257257461548,0.21345196664333344,0.2800885736942291,0.2568269371986389,0.5107308030128479,0.5829201340675354,0.2730984687805176,0.22068053483963013
connection,0.24457211792469025,0.25817611813545227,0.30564460158348083,0.27913469076156616,0.1669076681137085,0.22147029638290405,0.26318687200546265,0.29948776960372925,0.20398996770381927,0.1714525669813156
between,0.2462156116962433,0.21079519391059875,0.40645647048950195,0.20817521214485168,0.21681782603263855,0.21470610797405243,0.3335416913032532,0.29385313391685486,0.16819915175437927,0.12887074053287506
electricity,0.20851419866085052,0.4584544897079468,0.2610585391521454,0.7092110514640808,0.25415652990341187,0.184931218624115,0.1812443733215332,0.24459154903888702,0.3771806061267853,0.17856204509735107
and,0.31309178471565247,0.1990627944469452,1.0,0.212884783744812,0.24372100830078125,0.20423464477062225,0.4077630043029785,0.3739250600337982,0.238192617893219,0.20544172823429108
magnetism,0.22080712020397186,0.8479681611061096,0.20898205041885376,0.43911856412887573,0.4018715023994446,0.27481967210769653,0.16137726604938507,0.18959654867649078,0.33197957277297974,0.09987954050302505
allows,0.1957017332315445,0.26630330085754395,0.2950422763824463,0.19815607368946075,0.2163075953722,0.22516702115535736,0.2543024718761444,0.31463325023651123,0.15685288608074188,0.16094227135181427
for,0.3017193675041199,0.21505120396614075,0.5064792633056641,0.2190219610929489,0.15857845544815063,0.20180761814117432,0.36199691891670227,0.44038116931915283,0.24153433740139008,0.264628142118454
the,0.42745697498321533,0.18611927330493927,0.5171257257461548,0.21345196664333344,0.2800885736942291,0.2568269371986389,0.5107308030128479,0.5829201340675354,0.2730984687805176,0.22068053483963013
description,0.33273714780807495,0.17146284878253937,0.19808703660964966,0.16763615608215332,0.16109125316143036,0.18764446675777435,0.24874642491340637,0.3590884506702423,0.1993081420660019,0.23225292563438416
of,0.33290785551071167,0.16237565875053406,0.5116966962814331,0.17329032719135284,0.27094775438308716,0.26445579528808594,0.3966929316520691,0.5052502155303955,0.27586498856544495,0.1826142966747284
a,0.3320399522781372,0.19198331236839294,0.3739250600337982,0.24061402678489685,0.2451154738664627,0.25177326798439026,0.3848365545272827,1.0,0.2415132075548172,0.23916715383529663
unified,0.23730704188346863,0.14561428129673004,0.23243655264377594,0.11056619137525558,0.2281191647052765,0.14283031225204468,0.15254639089107513,0.19128857553005219,0.09429966658353806,0.21746130287647247
electromagnetic,0.263467937707901,0.8169410824775696,0.21151572465896606,0.5543056130409241,0.41369104385375977,0.29317688941955566,0.20143844187259674,0.20650780200958252,0.39555123448371887,0.16735313832759857
force,0.16915984451770782,0.32744529843330383,0.24372100830078125,0.19785821437835693,1.0000001192092896,0.2649233341217041,0.1764998733997345,0.2451154738664627,0.3373846113681793,0.1650998443365097
that,0.6297725439071655,0.27342489361763,0.4731321930885315,0.19867946207523346,0.26810982823371887,0.25283968448638916,0.42569106817245483,0.47537946701049805,0.22243641316890717,0.32716336846351624
acts,0.24949195981025696,0.19032959640026093,0.20423464477062225,0.15930216014385223,0.2649233341217041,0.9999998807907104,0.17921806871891022,0.25177326798439026,0.26295921206474304,0.07075770199298859
on,0.34226128458976746,0.21771234273910522,0.4077630043029785,0.2127806544303894,0.1764998733997345,0.17921806871891022,0.9999999403953552,0.3848365545272827,0.20220614969730377,0.2714994251728058
a,0.3320399522781372,0.19198331236839294,0.3739250600337982,0.24061402678489685,0.2451154738664627,0.25177326798439026,0.3848365545272827,1.0,0.2415132075548172,0.23916715383529663
charge,0.23255030810832977,0.3319803476333618,0.238192617893219,0.4219222366809845,0.3373846113681793,0.26295921206474304,0.20220614969730377,0.2415132075548172,0.9999998807907104,0.0958876758813858
.,0.3567904531955719,0.1884709596633911,0.588965117931366,0.23612159490585327,0.2783275842666626,0.18246832489967346,0.49257001280784607,0.50484299659729,0.21931332349777222,0.4130953550338745
