,which,english,sculptor,who,became,the,leading,portrait,sculptor,in,regency,era,britain,is,represented,in,the,v,&,a,collection,?
sculptors,0.13536402583122253,0.17971861362457275,0.9001511931419373,0.3139173090457916,0.11847636848688126,0.17251421511173248,0.15669099986553192,0.3946438431739807,0.9001511931419373,0.20806211233139038,0.1474168449640274,0.1825009137392044,0.23471932113170624,0.12596556544303894,0.24647600948810577,0.20806211233139038,0.17251421511173248,0.14748424291610718,0.013516687788069248,0.1509021818637848,0.2775009274482727,0.1309177279472351
both,0.5140923857688904,0.27347442507743835,0.15585024654865265,0.31663915514945984,0.2590738832950592,0.4931981563568115,0.34199103713035583,0.07839414477348328,0.15585024654865265,0.3960166871547699,0.17417384684085846,0.17918702960014343,0.24684524536132812,0.31409940123558044,0.26409292221069336,0.3960166871547699,0.4931981563568115,0.12110912054777145,0.13048413395881653,0.3171786069869995,0.16977696120738983,0.19455738365650177
british,0.2002234309911728,0.47969716787338257,0.15440207719802856,0.2666113078594208,0.249968484044075,0.28973397612571716,0.2214033007621765,0.13405129313468933,0.15440207719802856,0.23084034025669098,0.14328300952911377,0.1577976942062378,0.4846838712692261,0.19484983384609222,0.15302805602550507,0.23084034025669098,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.15021207928657532,0.09711728990077972
and,0.506277859210968,0.3409043252468109,0.1751534640789032,0.41279885172843933,0.31226563453674316,0.5171257257461548,0.34015700221061707,0.09115123003721237,0.1751534640789032,0.4954058527946472,0.23642197251319885,0.23158983886241913,0.3187123239040375,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
europeans,0.20644523203372955,0.26155349612236023,0.2068013995885849,0.3664725422859192,0.23399679362773895,0.3299996256828308,0.1487366110086441,0.14724399149417877,0.2068013995885849,0.22646811604499817,0.12829796969890594,0.23526690900325775,0.3556845188140869,0.14985701441764832,0.12798595428466797,0.22646811604499817,0.3299996256828308,0.12295258045196533,0.06370405107736588,0.15935876965522766,0.08994738757610321,0.16229631006717682
who,0.3688730001449585,0.33983519673347473,0.24923312664031982,0.9999998807907104,0.2624726891517639,0.3733934462070465,0.25606170296669006,0.24427266418933868,0.24923312664031982,0.2792111933231354,0.19745765626430511,0.15054962038993835,0.2346068173646927,0.24293622374534607,0.17065028846263885,0.2792111933231354,0.3733934462070465,0.06742344051599503,0.09244576841592789,0.36608949303627014,0.11647152900695801,0.26220351457595825
were,0.2807837128639221,0.19933702051639557,0.16260948777198792,0.3188014328479767,0.45684126019477844,0.3906462490558624,0.1924321949481964,0.13788537681102753,0.16260948777198792,0.3815755248069763,0.10467460751533508,0.29208534955978394,0.2944076955318451,0.29386836290359497,0.2571416199207306,0.3815755248069763,0.3906462490558624,0.1089601069688797,0.1205248013138771,0.17203083634376526,0.22638525068759918,0.17890112102031708
based,0.3473800718784332,0.21187740564346313,0.08110788464546204,0.20479141175746918,0.1379724144935608,0.29860720038414,0.15565736591815948,0.07100874930620193,0.08110788464546204,0.3070422410964966,0.06121416762471199,0.17905335128307343,0.17686569690704346,0.3248139023780823,0.2003517746925354,0.3070422410964966,0.29860720038414,0.12422794848680496,0.14534787833690643,0.2977409064769745,0.2288035899400711,0.134929820895195
in,0.4840516746044159,0.19623121619224548,0.18095266819000244,0.2792111933231354,0.31047213077545166,0.6662389636039734,0.33273574709892273,0.14724093675613403,0.18095266819000244,1.0,0.1899094134569168,0.19679902493953705,0.26246872544288635,0.5394441485404968,0.33309870958328247,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23004686832427979,0.20430970191955566
britain,0.25284263491630554,0.2937445044517517,0.17066803574562073,0.2346068173646927,0.25080493092536926,0.29784059524536133,0.2340812087059021,0.1873338669538498,0.17066803574562073,0.26246872544288635,0.24823671579360962,0.22779595851898193,1.0000001192092896,0.1415579617023468,0.18416191637516022,0.26246872544288635,0.29784059524536133,0.17508196830749512,0.14032991230487823,0.18575294315814972,0.1765190064907074,0.1268460750579834
and,0.506277859210968,0.3409043252468109,0.1751534640789032,0.41279885172843933,0.31226563453674316,0.5171257257461548,0.34015700221061707,0.09115123003721237,0.1751534640789032,0.4954058527946472,0.23642197251319885,0.23158983886241913,0.3187123239040375,0.3859752118587494,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
whose,0.37205496430397034,0.22061194479465485,0.1768161654472351,0.48551782965660095,0.22599858045578003,0.38253846764564514,0.22080981731414795,0.22385504841804504,0.1768161654472351,0.23496666550636292,0.13313405215740204,0.15371227264404297,0.13974598050117493,0.26491984724998474,0.22921188175678253,0.23496666550636292,0.38253846764564514,0.07643124461174011,0.056272149085998535,0.3225097060203552,0.14954999089241028,0.16990536451339722
work,0.30331435799598694,0.21591687202453613,0.26834118366241455,0.3146236836910248,0.18583887815475464,0.2704800069332123,0.19671748578548431,0.23371991515159607,0.26834118366241455,0.2753349542617798,0.17999081313610077,0.1615716814994812,0.2291656881570816,0.22475390136241913,0.10955999046564102,0.2753349542617798,0.2704800069332123,0.08781450986862183,0.06640969961881638,0.266241192817688,0.2884133458137512,0.2621155381202698
is,0.4457404911518097,0.24613474309444427,0.14187124371528625,0.24293622374534607,0.34253424406051636,0.5823672413825989,0.18661020696163177,0.1536002904176712,0.14187124371528625,0.5394441485404968,0.1328769475221634,0.11451215296983719,0.1415579617023468,1.0,0.30249524116516113,0.5394441485404968,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.21135231852531433,0.22961433231830597
in,0.4840516746044159,0.19623121619224548,0.18095266819000244,0.2792111933231354,0.31047213077545166,0.6662389636039734,0.33273574709892273,0.14724093675613403,0.18095266819000244,1.0,0.1899094134569168,0.19679902493953705,0.26246872544288635,0.5394441485404968,0.33309870958328247,1.0,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.23004686832427979,0.20430970191955566
the,0.6521818041801453,0.23982001841068268,0.11254248023033142,0.3733934462070465,0.36325156688690186,1.0,0.3809107840061188,0.18703287839889526,0.11254248023033142,0.6662389636039734,0.2973644733428955,0.266272634267807,0.29784059524536133,0.5823672413825989,0.3256146013736725,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
