,how,many,bafta,cymru,awards,has,doctor,who,received,?
it,0.36714982986450195,0.39615920186042786,0.12360318005084991,0.17733009159564972,0.15986032783985138,0.41962623596191406,0.24568085372447968,0.2868398427963257,0.167928084731102,0.25732165575027466
was,0.16678167879581451,0.260356068611145,0.1841372549533844,0.2710129916667938,0.24304591119289398,0.40313825011253357,0.19672659039497375,0.3318818509578705,0.3745744526386261,0.18412111699581146
very,0.4865594804286957,0.519965410232544,0.10774664580821991,0.10827989131212234,0.17185023427009583,0.3807820975780487,0.17383863031864166,0.34641316533088684,0.2382797747850418,0.20864155888557434
popular,0.16110315918922424,0.41885265707969666,0.19814175367355347,0.19668303430080414,0.2795048654079437,0.2765832543373108,0.11902014166116714,0.23977619409561157,0.17449475824832916,0.13108457624912262
at,0.2154216170310974,0.2716965675354004,0.1788634955883026,0.26904675364494324,0.22142678499221802,0.2743658423423767,0.2165924310684204,0.22096660733222961,0.2666997015476227,0.21978627145290375
the,0.33890387415885925,0.4335206151008606,0.2114201933145523,0.29300224781036377,0.22946466505527496,0.4177538752555847,0.2820442318916321,0.3733934462070465,0.24890556931495667,0.22068053483963013
bafta,0.2014552652835846,0.21531705558300018,0.9999998807907104,0.3737926185131073,0.6014565825462341,0.22981144487857819,0.18071195483207703,0.2036275565624237,0.33687660098075867,0.19733621180057526
cymru,0.15946568548679352,0.2067333310842514,0.3737926185131073,1.0,0.240395188331604,0.2509329319000244,0.14717473089694977,0.29462283849716187,0.14671513438224792,0.19089050590991974
awards,0.20047736167907715,0.22891567647457123,0.6014565825462341,0.240395188331604,1.0000001192092896,0.2708130478858948,0.16846410930156708,0.22637341916561127,0.5129532217979431,0.2122269868850708
",",0.22659391164779663,0.40610817074775696,0.18692156672477722,0.2560460865497589,0.27591487765312195,0.3734780251979828,0.20407600700855255,0.3365725874900818,0.2926693558692932,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.1395283341407776,0.13742521405220032,0.18127527832984924,0.44092974066734314,0.17277967929840088,0.3282766342163086,0.1975138634443283,0.2433311939239502
25,0.07429084926843643,0.11531345546245575,0.09893275797367096,0.14076897501945496,0.13074858486652374,0.025317298248410225,-0.007251376751810312,0.139450341463089,0.20166343450546265,0.09614268690347672
wins,0.11487071216106415,0.09894079715013504,0.2524353563785553,0.24667946994304657,0.32237303256988525,0.17885605990886688,0.1760476529598236,0.17675237357616425,0.2658609449863434,0.15258653461933136
overall,0.25038012862205505,0.22261527180671692,0.19209977984428406,0.17182496190071106,0.22220343351364136,0.21207964420318604,0.0884990468621254,0.16858626902103424,0.18396075069904327,0.18573027849197388
including,0.20270724594593048,0.6119236350059509,0.2892061173915863,0.2001715451478958,0.27702921628952026,0.36956900358200073,0.104278564453125,0.2835840582847595,0.26563894748687744,0.1633303165435791
best,0.25441184639930725,0.2589998245239258,0.43743759393692017,0.17830640077590942,0.48694908618927,0.23016110062599182,0.1909310668706894,0.266329824924469,0.2106049358844757,0.2799045741558075
drama,0.20377735793590546,0.19534842669963837,0.3884863257408142,0.21023501455783844,0.3189375102519989,0.20040154457092285,0.2582404613494873,0.2117668092250824,0.2596699893474579,0.21114452183246613
series,0.17967022955417633,0.2703429162502289,0.34880441427230835,0.16802969574928284,0.29899898171424866,0.16834278404712677,0.2712797522544861,0.21484537422657013,0.18686877191066742,0.1709602326154709
(,0.1676948219537735,0.1455259770154953,0.1965053826570511,0.2509858012199402,0.21851767599582672,0.2498389035463333,0.1570640504360199,0.2443375140428543,0.19827008247375488,0.40561532974243164
twice,0.21883222460746765,0.24584728479385376,0.2575044631958008,0.2556077539920807,0.24345262348651886,0.3926198482513428,0.120292067527771,0.24565871059894562,0.1763092279434204,0.16248004138469696
),0.17939934134483337,0.16602720320224762,0.21240989863872528,0.2647849917411804,0.22488117218017578,0.26944878697395325,0.1509941965341568,0.2457384318113327,0.2169337123632431,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.18692156672477722,0.2560460865497589,0.27591487765312195,0.3734780251979828,0.20407600700855255,0.3365725874900818,0.2926693558692932,0.31091248989105225
