,does,the,residential,architecture,of,the,tower,district,compare,or,contrast,with,other,part,of,fresno,?
the,0.35928019881248474,1.0,0.25597885251045227,0.24488379061222076,0.733189046382904,1.0,0.2398453801870346,0.2690705955028534,0.26994526386260986,0.4174870550632477,0.25799670815467834,0.4223487675189972,0.44152235984802246,0.527681291103363,0.733189046382904,0.22571885585784912,0.22068053483963013
residential,0.16988180577754974,0.25597885251045227,0.9999998807907104,0.34051358699798584,0.2898116707801819,0.25597885251045227,0.35473376512527466,0.32547399401664734,0.13547226786613464,0.24983489513397217,0.19632814824581146,0.1867385059595108,0.18447624146938324,0.205752432346344,0.2898116707801819,0.23178152740001678,0.08603290468454361
architecture,0.09989354759454727,0.24488379061222076,0.34051358699798584,1.0,0.2756515443325043,0.24488379061222076,0.30723464488983154,0.16110259294509888,0.24824301898479462,0.15724597871303558,0.2584315538406372,0.1400839239358902,0.25322556495666504,0.21366946399211884,0.2756515443325043,0.10864338278770447,0.14343059062957764
of,0.3119818866252899,0.733189046382904,0.2898116707801819,0.2756515443325043,1.0,0.733189046382904,0.2271278351545334,0.2673880457878113,0.27714359760284424,0.3792596757411957,0.3046875298023224,0.41827285289764404,0.38583824038505554,0.452393114566803,1.0,0.1875009983778,0.1826142966747284
the,0.35928019881248474,1.0,0.25597885251045227,0.24488379061222076,0.733189046382904,1.0,0.2398453801870346,0.2690705955028534,0.26994526386260986,0.4174870550632477,0.25799670815467834,0.4223487675189972,0.44152235984802246,0.527681291103363,0.733189046382904,0.22571885585784912,0.22068053483963013
tower,0.12271039187908173,0.2398453801870346,0.35473376512527466,0.30723464488983154,0.2271278351545334,0.2398453801870346,1.0,0.20217934250831604,0.07896130532026291,0.19545654952526093,0.11923705041408539,0.14200076460838318,0.16673573851585388,0.17812524735927582,0.2271278351545334,0.13243645429611206,0.10395228117704391
district,0.10702236741781235,0.2690705955028534,0.32547399401664734,0.16110259294509888,0.2673880457878113,0.2690705955028534,0.20217934250831604,1.0,0.04304896295070648,0.126649409532547,0.13700199127197266,0.12251965701580048,0.11919610947370529,0.2923854887485504,0.2673880457878113,0.16571244597434998,0.06725285202264786
contrasts,0.3055846691131592,0.2933311462402344,0.1969260275363922,0.23453845083713531,0.31440287828445435,0.2933311462402344,0.08804839104413986,0.09187956899404526,0.36413267254829407,0.4013614356517792,0.8867340087890625,0.3101012706756592,0.35367241501808167,0.24632200598716736,0.31440287828445435,0.09655896574258804,0.1410476267337799
with,0.26186925172805786,0.4223487675189972,0.1867385059595108,0.1400839239358902,0.41827285289764404,0.4223487675189972,0.14200076460838318,0.12251965701580048,0.2636381685733795,0.38158315420150757,0.24865740537643433,0.9999999403953552,0.44086363911628723,0.294111043214798,0.41827285289764404,0.20853616297245026,0.2433311939239502
the,0.35928019881248474,1.0,0.25597885251045227,0.24488379061222076,0.733189046382904,1.0,0.2398453801870346,0.2690705955028534,0.26994526386260986,0.4174870550632477,0.25799670815467834,0.4223487675189972,0.44152235984802246,0.527681291103363,0.733189046382904,0.22571885585784912,0.22068053483963013
newer,0.21993614733219147,0.28440263867378235,0.1709187775850296,0.3244650363922119,0.2585242986679077,0.28440263867378235,0.261177659034729,0.07004138082265854,0.33105725049972534,0.33895811438560486,0.2884726822376251,0.25926753878593445,0.3673652112483978,0.21040552854537964,0.2585242986679077,0.09344768524169922,0.15615598857402802
areas,0.19766740500926971,0.3311663568019867,0.3528323173522949,0.19685666263103485,0.2803763747215271,0.3311663568019867,0.1542947143316269,0.3567548990249634,0.10162950307130814,0.3565015196800232,0.23434410989284515,0.2644236087799072,0.3227008879184723,0.3895777761936188,0.2803763747215271,0.1518738716840744,0.1273590475320816
of,0.3119818866252899,0.733189046382904,0.2898116707801819,0.2756515443325043,1.0,0.733189046382904,0.2271278351545334,0.2673880457878113,0.27714359760284424,0.3792596757411957,0.3046875298023224,0.41827285289764404,0.38583824038505554,0.452393114566803,1.0,0.1875009983778,0.1826142966747284
tract,0.1760558784008026,0.2717020511627197,0.16890616714954376,0.0420459620654583,0.20875340700149536,0.2717020511627197,0.1471044421195984,0.19312724471092224,0.11897921562194824,0.28499361872673035,0.15138112008571625,0.16478216648101807,0.20621366798877716,0.27126994729042053,0.20875340700149536,0.18996162712574005,0.1459975689649582
homes,0.12487458437681198,0.22941356897354126,0.42497384548187256,0.27215227484703064,0.2122298777103424,0.22941356897354126,0.24034960567951202,0.1822260469198227,0.14847806096076965,0.30432453751564026,0.18262891471385956,0.18574486672878265,0.27724623680114746,0.12983308732509613,0.2122298777103424,0.25636863708496094,0.12707971036434174
