,what,other,topics,can,civil,disobedience,pertain,to,?
revolutionary,0.15823614597320557,0.18547238409519196,0.20188124477863312,0.08913662284612656,0.4157695174217224,0.368465393781662,0.21270354092121124,0.18605543673038483,0.1343436986207962
civil,0.15091551840305328,0.17309200763702393,0.11877547204494476,0.12476041913032532,1.0,0.5442691445350647,0.158452570438385,0.2019355595111847,0.1494513899087906
disobedience,0.3298627436161041,0.24770691990852356,0.27150511741638184,0.15718160569667816,0.5442691445350647,1.0,0.32894811034202576,0.30665844678878784,0.19890835881233215
is,0.28837618231773376,0.25895947217941284,0.23016224801540375,0.44256699085235596,0.16941262781620026,0.21453623473644257,0.2214944213628769,0.42745086550712585,0.22961433231830597
more,0.3484537899494171,0.49628373980522156,0.3400081694126129,0.4044358730316162,0.17124666273593903,0.2029244303703308,0.3683696389198303,0.47084665298461914,0.27894994616508484
of,0.33290785551071167,0.38583824038505554,0.24137021601200104,0.2603091299533844,0.24698495864868164,0.31932318210601807,0.3192724287509918,0.41548454761505127,0.1826142966747284
an,0.2821882665157318,0.1556563824415207,0.19846853613853455,0.23671309649944305,0.15803322196006775,0.24747906625270844,0.23109541833400726,0.3138085603713989,0.19793890416622162
active,0.2610722482204437,0.24930927157402039,0.19306081533432007,0.2587744891643524,0.18092523515224457,0.16785737872123718,0.19888003170490265,0.24291767179965973,0.20374006032943726
attempt,0.2411041408777237,0.1715894639492035,0.1615452617406845,0.2081940770149231,0.19944994151592255,0.3402946889400482,0.23856055736541748,0.4458620846271515,0.16559520363807678
to,0.455847829580307,0.4193183183670044,0.2756741940975189,0.4979398250579834,0.2019355595111847,0.30665844678878784,0.3992573022842407,1.0,0.29463258385658264
overthrow,0.1685531735420227,0.11358580738306046,0.12879334390163422,0.06379836052656174,0.2636413276195526,0.3877458870410919,0.18482324481010437,0.27134451270103455,0.1537860929965973
a,0.3320399522781372,0.2806335389614105,0.27998021245002747,0.3915780484676361,0.21693918108940125,0.25352153182029724,0.26049819588661194,0.45503583550453186,0.23916715383529663
government,0.28074538707733154,0.25909486413002014,0.16214291751384735,0.15589569509029388,0.30626749992370605,0.39617401361465454,0.3029927611351013,0.28343796730041504,0.18851417303085327
(,0.2411840260028839,0.25035592913627625,0.18938811123371124,0.22726960480213165,0.16291406750679016,0.14515410363674164,0.24534152448177338,0.30882009863853455,0.40561532974243164
or,0.33867141604423523,0.5325124859809875,0.25970780849456787,0.5614996552467346,0.12588919699192047,0.2553665041923523,0.35329359769821167,0.38921234011650085,0.32389625906944275
to,0.455847829580307,0.4193183183670044,0.2756741940975189,0.4979398250579834,0.2019355595111847,0.30665844678878784,0.3992573022842407,1.0,0.29463258385658264
change,0.3690716028213501,0.3061826229095459,0.24971964955329895,0.38303205370903015,0.18202711641788483,0.26300865411758423,0.2977548837661743,0.3581787943840027,0.24115969240665436
cultural,0.18198847770690918,0.20922808349132538,0.22566120326519012,0.12772129476070404,0.22340162098407745,0.23987561464309692,0.285943865776062,0.19840334355831146,0.09798457473516464
traditions,0.253129243850708,0.3281819820404053,0.28925904631614685,0.17617404460906982,0.1772003173828125,0.39689555764198303,0.32442235946655273,0.24796780943870544,0.18007412552833557
",",0.3087472915649414,0.4446498453617096,0.2733469307422638,0.3139454126358032,0.24795588850975037,0.2878543734550476,0.279356449842453,0.44245919585227966,0.31091248989105225
social,0.22217629849910736,0.27125585079193115,0.26100096106529236,0.1910768300294876,0.2795228660106659,0.323582261800766,0.2852233350276947,0.19684761762619019,0.1615191102027893
customs,0.2684868574142456,0.3147851824760437,0.2208905965089798,0.19525571167469025,0.2566465437412262,0.32798171043395996,0.32920438051223755,0.2683711349964142,0.19795118272304535
",",0.3087472915649414,0.4446498453617096,0.2733469307422638,0.3139454126358032,0.24795588850975037,0.2878543734550476,0.279356449842453,0.44245919585227966,0.31091248989105225
religious,0.26794421672821045,0.258376806974411,0.3208750784397125,0.14842826128005981,0.2880549728870392,0.5101606249809265,0.30920904874801636,0.24161745607852936,0.15727058053016663
beliefs,0.3655100166797638,0.27078163623809814,0.3510299026966095,0.19932374358177185,0.22874227166175842,0.49614712595939636,0.3084593415260315,0.28781747817993164,0.254576712846756
",",0.3087472915649414,0.4446498453617096,0.2733469307422638,0.3139454126358032,0.24795588850975037,0.2878543734550476,0.279356449842453,0.44245919585227966,0.31091248989105225
etc,0.2803364396095276,0.4406638741493225,0.3306933045387268,0.35776007175445557,0.10289370268583298,0.16909000277519226,0.3609634339809418,0.25925078988075256,0.38010111451148987
...,0.001098619308322668,-0.039823777973651886,0.051073018461465836,-0.0592019185423851,0.10605446994304657,0.08280555158853531,0.09579424560070038,-0.012529745697975159,-0.07163430005311966
revolution,0.1946869045495987,0.20842185616493225,0.22695913910865784,0.10136424750089645,0.3380163013935089,0.3442854583263397,0.21224603056907654,0.18777814507484436,0.1727980077266693
does,0.38564667105674744,0.2947014272212982,0.25274527072906494,0.5156301856040955,0.09171415865421295,0.2508189380168915,0.34569668769836426,0.4391997456550598,0.338003009557724
n't,-0.07036374509334564,-0.13205568492412567,0.17459027469158173,-0.13075803220272064,0.006859226617962122,0.016591165214776993,0.07129094004631042,-0.14541994035243988,0.07068326324224472
have,0.39808809757232666,0.559082567691803,0.3141176402568817,0.5489245653152466,0.16153892874717712,0.22560594975948334,0.38453125953674316,0.4544740617275238,0.32991164922714233
to,0.455847829580307,0.4193183183670044,0.2756741940975189,0.4979398250579834,0.2019355595111847,0.30665844678878784,0.3992573022842407,1.0,0.29463258385658264
be,0.3929833769798279,0.4629868268966675,0.34365981817245483,0.5791122913360596,0.18061059713363647,0.2944406270980835,0.39411163330078125,0.4972836375236511,0.3324260413646698
political,0.21846716105937958,0.1741310954093933,0.28529542684555054,0.12598390877246857,0.33490484952926636,0.3612893521785736,0.30848830938339233,0.2065112292766571,0.17130474746227264
