,what,was,the,name,of,temüjin,'s,laws,?
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.2851914167404175,0.3886612355709076,0.32332390546798706,-0.05775856226682663,0.21991311013698578,0.27043893933296204
an,0.2821882665157318,0.3694365322589874,0.4207492768764496,0.22033736109733582,0.32280945777893066,0.23323971033096313,0.025255560874938965,0.17227743566036224,0.19793890416622162
incentive,0.36123543977737427,0.15664158761501312,0.22445659339427948,0.06366538256406784,0.2664257884025574,0.2482781857252121,0.02374529466032982,0.23253068327903748,0.3131044805049896
for,0.3017193675041199,0.3863949179649353,0.4739971458911896,0.25737348198890686,0.4185989499092102,0.2671065032482147,-0.07241261005401611,0.22385212779045105,0.264628142118454
absolute,0.3186502158641815,0.16923728585243225,0.26488861441612244,0.12400133162736893,0.2950317859649658,0.2505878210067749,-0.003071804763749242,0.2651326656341553,0.22724391520023346
obedience,0.3226049840450287,0.22910712659358978,0.258289635181427,0.09379042685031891,0.3141970634460449,0.3009631633758545,0.06958707422018051,0.43139198422431946,0.20169153809547424
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.3789469599723816,0.06895173341035843,0.290377676486969,0.20544172823429108
following,0.2506418824195862,0.16493390500545502,0.39779382944107056,0.15635080635547638,0.3576679527759552,0.1940569281578064,-0.005975736305117607,0.11115569621324539,0.1555173695087433
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.1914493292570114,0.38364991545677185,0.4682264029979706,0.047556519508361816,0.22580213844776154,0.18075084686279297
rule,0.30539435148239136,0.19895824790000916,0.29894936084747314,0.17993301153182983,0.25175079703330994,0.3141985535621643,0.04595634341239929,0.41803234815597534,0.1955260932445526
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.378805011510849,-0.03817026689648628,0.2539142072200775,0.1826142966747284
law,0.2145031988620758,0.21553055942058563,0.24548950791358948,0.14597810804843903,0.2816956341266632,0.22757761180400848,-0.06109188124537468,0.6853237152099609,0.1528988480567932
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.26751992106437683,0.31091248989105225
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,0.43713900446891785,-0.01540423184633255,0.2587076723575592,0.22068053483963013
yassa,0.16717222332954407,0.22671306133270264,0.26399537920951843,0.19046834111213684,0.23663458228111267,0.35012680292129517,-0.03656082972884178,0.160064697265625,0.18545334041118622
code,0.2450651079416275,0.16059301793575287,0.25827479362487793,0.24712194502353668,0.17838595807552338,0.16272933781147003,0.020862646400928497,0.2951764464378357,0.22105959057807922
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.3484273850917816,-0.0016132977325469255,0.26751992106437683,0.31091248989105225
temüjin,0.34580421447753906,0.38774195313453674,0.43713900446891785,0.3323917090892792,0.378805011510849,1.0,-0.010023289360105991,0.20833943784236908,0.21090233325958252
promised,0.24721461534500122,0.32441285252571106,0.2738664150238037,0.19623255729675293,0.21547284722328186,0.38547664880752563,0.006659887731075287,0.2670799195766449,0.22630755603313446
civilians,0.17200390994548798,0.2154027819633484,0.2595169246196747,0.08708218485116959,0.23757900297641754,0.32620519399642944,0.023238888010382652,0.2694990932941437,0.12947234511375427
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.3789469599723816,0.06895173341035843,0.290377676486969,0.20544172823429108
soldiers,0.21669568121433258,0.29651278257369995,0.3038179576396942,0.11703931540250778,0.26257410645484924,0.28752401471138,0.03944314271211624,0.2335413098335266,0.1779262125492096
wealth,0.2415573000907898,0.19163759052753448,0.24999672174453735,0.1678500771522522,0.27235376834869385,0.34659722447395325,0.1138739213347435,0.2276228964328766,0.1624586433172226
from,0.2737620174884796,0.31171464920043945,0.40150508284568787,0.2635002136230469,0.4249346852302551,0.29172295331954956,-0.01936490088701248,0.24255718290805817,0.19969791173934937
future,0.29700374603271484,0.21697655320167542,0.2337762415409088,0.1605333536863327,0.25455814599990845,0.26498523354530334,-0.04464564472436905,0.20313943922519684,0.3367180824279785
possible,0.3281886577606201,0.19756397604942322,0.32701125741004944,0.11885995417833328,0.3314395844936371,0.27154597640037537,0.036827296018600464,0.2197735458612442,0.3059970438480377
war,0.22516006231307983,0.3560331463813782,0.366199791431427,0.13651461899280548,0.31680163741111755,0.3496241271495819,0.06856801360845566,0.18967269361019135,0.15510529279708862
spoils,0.29637086391448975,0.17814603447914124,0.2993530035018921,0.10571764409542084,0.2699997127056122,0.416582852602005,0.056232329457998276,0.2739643454551697,0.17688733339309692
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.31788840889930725,-0.003708066651597619,0.2222834676504135,0.4130953550338745
