,what,type,of,status,did,the,umc,vote,to,seek,in,the,national,association,of,evangelicals,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.20590373873710632,0.2593238651752472,0.6662389636039734,0.15436193346977234,0.21458156406879425,0.45010748505592346,0.1813114583492279,1.0,0.6662389636039734,0.28915393352508545,0.23660005629062653,0.5696388483047485,0.2116623967885971,0.20430970191955566
addition,0.20643717050552368,0.1775611788034439,0.27503931522369385,0.24238279461860657,0.24481791257858276,0.32955414056777954,0.18178528547286987,0.1038404032588005,0.29394859075546265,0.16249503195285797,0.3033084571361542,0.32955414056777954,0.1597682684659958,0.12470429390668869,0.27503931522369385,0.1582760512828827,0.19187232851982117
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2404196411371231,0.3015086054801941,0.4933079481124878,0.1953766793012619,0.27201512455940247,0.44245919585227966,0.2198648303747177,0.5201468467712402,0.4933079481124878,0.23933029174804688,0.19516262412071228,0.4946078956127167,0.2287568598985672,0.31091248989105225
it,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.2940508723258972,0.2993364930152893,0.6251175999641418,0.2123039811849594,0.2709835171699524,0.513711154460907,0.16181731224060059,0.5130809545516968,0.6251175999641418,0.16561564803123474,0.1633487045764923,0.38761502504348755,0.1901147961616516,0.25732165575027466
voted,0.26488763093948364,0.045570939779281616,0.25903964042663574,0.198075070977211,0.310143381357193,0.3015371859073639,0.2158239334821701,0.7443057298660278,0.22957871854305267,0.1978757381439209,0.22158056497573853,0.3015371859073639,0.2342253178358078,0.16449537873268127,0.25903964042663574,0.19357548654079437,0.22732289135456085
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.268886923789978,0.4452643394470215,0.535392165184021,0.23076260089874268,0.2892617881298065,1.0,0.39650240540504456,0.45010748505592346,0.535392165184021,0.21067756414413452,0.19401024281978607,0.41548454761505127,0.26322007179260254,0.29463258385658264
seek,0.23056937754154205,0.0537092424929142,0.2027195245027542,0.22124913334846497,0.2750706672668457,0.24523614346981049,0.15698666870594025,0.23227205872535706,0.39650240540504456,1.0000001192092896,0.1813114583492279,0.24523614346981049,0.14826470613479614,0.08017973601818085,0.2027195245027542,0.21270893514156342,0.18530094623565674
observer,0.2622354030609131,0.13900133967399597,0.23933495581150055,0.19511137902736664,0.1930842250585556,0.2843594253063202,0.19288551807403564,0.21484766900539398,0.23315496742725372,0.18276548385620117,0.2155108004808426,0.2843594253063202,0.16720817983150482,0.22257691621780396,0.23933495581150055,0.17178522050380707,0.16830213367938995
status,0.1975356787443161,0.16269725561141968,0.20139996707439423,1.0000001192092896,0.19024446606636047,0.23601171374320984,0.1695455014705658,0.24074062705039978,0.268886923789978,0.22124913334846497,0.20590373873710632,0.23601171374320984,0.10458609461784363,0.14473281800746918,0.20139996707439423,0.1480918526649475,0.16403266787528992
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.20590373873710632,0.2593238651752472,0.6662389636039734,0.15436193346977234,0.21458156406879425,0.45010748505592346,0.1813114583492279,1.0,0.6662389636039734,0.28915393352508545,0.23660005629062653,0.5696388483047485,0.2116623967885971,0.20430970191955566
