,when,did,the,rivalry,between,westinghouse,and,edison,reach,its,peak,?
tesla,0.1504557579755783,0.09757418930530548,0.1324402391910553,0.07532729208469391,0.13727053999900818,0.35764777660369873,0.19560420513153076,0.35526686906814575,0.08569863438606262,0.20526613295078278,0.14431694149971008,0.10250775516033173
's,-0.03368149697780609,0.05069678649306297,-0.01540423184633255,0.006833324208855629,0.006096371449530125,-0.008012998849153519,0.06895173341035843,0.0115949846804142,0.019294504076242447,0.03202139586210251,-0.014490196481347084,-0.023395681753754616
demonstration,0.26713764667510986,0.1724037379026413,0.2881111800670624,0.12851539254188538,0.2241966873407364,0.27268123626708984,0.238117516040802,0.20046783983707428,0.15429311990737915,0.2184026539325714,0.1394399106502533,0.13217706978321075
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.22575128078460693,0.3737983703613281,0.28119996190071106,0.5116966962814331,0.221283957362175,0.20552729070186615,0.48690423369407654,0.13134954869747162,0.1826142966747284
his,0.37120407819747925,0.3546801507472992,0.4394008219242096,0.26796266436576843,0.15603972971439362,0.2343376725912094,0.4234102666378021,0.23870864510536194,0.17150633037090302,0.37344956398010254,0.11158504337072372,0.18075084686279297
induction,0.2217346578836441,0.09851984679698944,0.26266005635261536,0.15306571125984192,0.14623384177684784,0.3256383240222931,0.1685180962085724,0.3081046938896179,0.12575407326221466,0.20223058760166168,0.11863494664430618,0.1510571390390396
motor,0.2386704683303833,0.13840025663375854,0.26024484634399414,0.074644535779953,0.16788926720619202,0.3054238557815552,0.20162664353847504,0.24692992866039276,0.1482183337211609,0.2535884380340576,0.07745584845542908,0.0637441948056221
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2228763997554779,0.40645647048950195,0.2865493595600128,1.0,0.13864636421203613,0.25625354051589966,0.3841775357723236,0.1847066879272461,0.20544172823429108
westinghouse,0.19033551216125488,0.1608617752790451,0.3101098835468292,0.1629820317029953,0.18826159834861755,0.9999999403953552,0.2865493595600128,0.3855430483818054,0.11944534629583359,0.24483151733875275,0.17170897126197815,0.17307911813259125
's,-0.03368149697780609,0.05069678649306297,-0.01540423184633255,0.006833324208855629,0.006096371449530125,-0.008012998849153519,0.06895173341035843,0.0115949846804142,0.019294504076242447,0.03202139586210251,-0.014490196481347084,-0.023395681753754616
subsequent,0.20265498757362366,0.27863436937332153,0.2562725245952606,0.0768558457493782,0.1401686817407608,0.1484045833349228,0.18461504578590393,0.12535886466503143,0.1327720433473587,0.15627521276474,0.18852686882019043,0.13111010193824768
licensing,0.18448807299137115,0.2698881924152374,0.24331648647785187,0.13149988651275635,0.18699465692043304,0.3373691439628601,0.23155921697616577,0.22113171219825745,0.16148406267166138,0.1738211214542389,0.059776391834020615,0.23048727214336395
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.22575128078460693,0.3737983703613281,0.28119996190071106,0.5116966962814331,0.221283957362175,0.20552729070186615,0.48690423369407654,0.13134954869747162,0.1826142966747284
