,semen,contains,what,in,order,to,kill,pathogens,?
vaginal,0.5523473620414734,0.1910123974084854,0.18285365402698517,0.16280138492584229,0.14134728908538818,0.2602587640285492,0.12953074276447296,0.48292267322540283,0.19403772056102753
secretions,0.36460697650909424,0.2428605705499649,0.19176721572875977,0.1492629051208496,0.21214798092842102,0.2204957902431488,0.2727952003479004,0.5555742383003235,0.15847201645374298
serve,0.1500999629497528,0.18089474737644196,0.23061832785606384,0.20702329277992249,0.17423969507217407,0.3411368131637573,0.22609300911426544,0.19482843577861786,0.19925682246685028
as,0.1366165578365326,0.24164676666259766,0.31749409437179565,0.3887844979763031,0.21579164266586304,0.42092081904411316,0.25097718834877014,0.22061175107955933,0.27043893933296204
a,0.1875317096710205,0.3092464506626129,0.3320399522781372,0.539380669593811,0.24138490855693817,0.45503583550453186,0.25388583540916443,0.21121124923229218,0.23916715383529663
chemical,0.2783893346786499,0.3229844570159912,0.26249468326568604,0.23203688859939575,0.1466440111398697,0.19030416011810303,0.2621866762638092,0.4300548732280731,0.2040288895368576
barrier,0.1666271835565567,0.1406307965517044,0.22869759798049927,0.21822910010814667,0.12762217223644257,0.24477796256542206,0.1549830287694931,0.3525397777557373,0.11772116273641586
following,0.13450948894023895,0.24447335302829742,0.2506418824195862,0.355264812707901,0.26139435172080994,0.31711265444755554,0.14064686000347137,0.15212282538414001,0.1555173695087433
menarche,0.32381078600883484,0.18705464899539948,0.24785517156124115,0.2851056754589081,0.14546239376068115,0.2193729430437088,0.18722409009933472,0.3262447416782379,0.24873824417591095
",",0.12442672997713089,0.2243606001138687,0.3087472915649414,0.5201468467712402,0.22478096187114716,0.44245919585227966,0.30406463146209717,0.20320750772953033,0.31091248989105225
when,0.32953351736068726,0.16128285229206085,0.4700249433517456,0.4431333839893341,0.2338472604751587,0.5423505902290344,0.30636289715766907,0.23183007538318634,0.22841128706932068
they,0.20311671495437622,0.20228736102581024,0.4431931674480438,0.4330179989337921,0.30929040908813477,0.5452046394348145,0.27330073714256287,0.36185428500175476,0.2753053903579712
become,0.22290651500225067,0.1616145372390747,0.27134042978286743,0.23238378763198853,0.1796594113111496,0.36996012926101685,0.27082499861717224,0.1991378366947174,0.19511328637599945
slightly,0.20958323776721954,0.28150391578674316,0.30401676893234253,0.22947166860103607,0.18884770572185516,0.31794729828834534,0.052373822778463364,0.21628545224666595,0.15424269437789917
acidic,0.32472464442253113,0.343733012676239,0.20120957493782043,0.20276252925395966,0.15039323270320892,0.21888871490955353,0.24522069096565247,0.4680827558040619,0.16853316128253937
",",0.12442672997713089,0.2243606001138687,0.3087472915649414,0.5201468467712402,0.22478096187114716,0.44245919585227966,0.30406463146209717,0.20320750772953033,0.31091248989105225
while,0.2007521241903305,0.15094631910324097,0.35511791706085205,0.3399278521537781,0.21793612837791443,0.43899232149124146,0.19120851159095764,0.17669670283794403,0.21076419949531555
semen,1.0000001192092896,0.19066210091114044,0.18875136971473694,0.12549105286598206,0.10585904866456985,0.20777851343154907,0.22140613198280334,0.3593110740184784,0.21410374343395233
contains,0.19066210091114044,1.0,0.14236655831336975,0.28116101026535034,0.18890202045440674,0.22413384914398193,0.14678435027599335,0.22572314739227295,0.15215006470680237
defensins,0.18571513891220093,0.19942283630371094,0.20736607909202576,0.2402944713830948,0.16474997997283936,0.2727210223674774,0.2678322494029999,0.37931111454963684,0.24842989444732666
and,0.17193885147571564,0.27121078968048096,0.31309178471565247,0.4954058527946472,0.2671266496181488,0.48971283435821533,0.2698296904563904,0.21800068020820618,0.20544172823429108
zinc,0.31619441509246826,0.30729371309280396,0.1709851622581482,0.18602591753005981,0.10863074660301208,0.2381058782339096,0.21298745274543762,0.35672178864479065,0.16904288530349731
to,0.20777851343154907,0.22413384914398193,0.455847829580307,0.45010748505592346,0.35544881224632263,1.0,0.328944593667984,0.26178881525993347,0.29463258385658264
kill,0.22140613198280334,0.14678435027599335,0.2582238018512726,0.1590711623430252,0.13982655107975006,0.328944593667984,0.9999999403953552,0.32226428389549255,0.1932259500026703
pathogens,0.3593110740184784,0.22572314739227295,0.24503889679908752,0.17208784818649292,0.22059889137744904,0.26178881525993347,0.32226428389549255,1.0,0.21364152431488037
.,0.17044393718242645,0.22984972596168518,0.3567904531955719,0.5591574311256409,0.20712141692638397,0.4645031690597534,0.29428622126579285,0.2375609129667282,0.4130953550338745
