,what,increased,in,the,rhine,because,of,the,land,clearance,in,the,upland,areas,?
as,0.31749409437179565,0.21772481501102448,0.3887844979763031,0.48381632566452026,0.18380387127399445,0.42073941230773926,0.3886612355709076,0.48381632566452026,0.17944268882274628,0.27128323912620544,0.3887844979763031,0.48381632566452026,0.20008449256420135,0.24697712063789368,0.27043893933296204
a,0.3320399522781372,0.22370080649852753,0.539380669593811,0.5829201340675354,0.1823403388261795,0.42230045795440674,0.5052502155303955,0.5829201340675354,0.247930645942688,0.2537649869918823,0.539380669593811,0.5829201340675354,0.2523394525051117,0.24730755388736725,0.23916715383529663
result,0.19945499300956726,0.2966756820678711,0.25670310854911804,0.27778977155685425,0.12036608904600143,0.4216892719268799,0.231380432844162,0.27778977155685425,0.10512637346982956,0.3075984716415405,0.25670310854911804,0.27778977155685425,0.18807056546211243,0.26092055439949036,0.17218433320522308
of,0.33290785551071167,0.3371390700340271,0.5696388483047485,0.733189046382904,0.2548927664756775,0.4075504541397095,1.0,0.733189046382904,0.3057127296924591,0.22343243658542633,0.5696388483047485,0.733189046382904,0.24049733579158783,0.2803763747215271,0.1826142966747284
increasing,0.2066856026649475,0.767708957195282,0.2580164670944214,0.34958165884017944,0.16668644547462463,0.38430356979370117,0.3524707853794098,0.34958165884017944,0.15266478061676025,0.3324551582336426,0.2580164670944214,0.34958165884017944,0.1737103909254074,0.284729927778244,0.0681626945734024
land,0.23411516845226288,0.18053804337978363,0.22871792316436768,0.28587454557418823,0.2627701461315155,0.2484036535024643,0.3057127296924591,0.28587454557418823,1.0000001192092896,0.2869654595851898,0.22871792316436768,0.28587454557418823,0.4123837351799011,0.3068152666091919,0.1432059109210968
clearance,0.2734643816947937,0.3441495895385742,0.21589328348636627,0.3103383779525757,0.2114233821630478,0.23580899834632874,0.22343243658542633,0.3103383779525757,0.2869654595851898,1.0000001192092896,0.21589328348636627,0.3103383779525757,0.28896766901016235,0.2929655909538269,0.19940367341041565
(,0.2411840260028839,0.15970994532108307,0.3087427020072937,0.33289089798927307,0.12381801009178162,0.2131619155406952,0.35032153129577637,0.33289089798927307,0.15432493388652802,0.21581584215164185,0.3087427020072937,0.33289089798927307,0.1980806142091751,0.19302652776241302,0.40561532974243164
bronze,0.09919140487909317,0.15785188972949982,0.1848762184381485,0.2526973485946655,0.1377461701631546,0.19330132007598877,0.2355436533689499,0.2526973485946655,0.067073754966259,0.1942630559206009,0.1848762184381485,0.2526973485946655,0.16420358419418335,0.08384983986616135,0.12390820682048798
age,0.1895245760679245,0.19808931648731232,0.30576348304748535,0.24711290001869202,0.14115528762340546,0.2256145477294922,0.2372717410326004,0.24711290001869202,0.1354348063468933,0.12833423912525177,0.30576348304748535,0.24711290001869202,0.1263226866722107,0.13528066873550415,0.16859300434589386
