,when,did,martin,luther,receive,his,doctor,of,theology,?
on,0.37706470489501953,0.2670976221561432,0.212642639875412,0.19090485572814941,0.2056528776884079,0.32064297795295715,0.1636410653591156,0.3966929316520691,0.1613156795501709,0.2714994251728058
19,-0.114084392786026,-0.056934259831905365,-0.12004967033863068,-0.005236808676272631,-0.012704543769359589,-0.09542001038789749,-0.08801789581775665,-0.18954584002494812,0.015947168692946434,0.008002291433513165
october,0.273419588804245,0.2746104896068573,0.1869964599609375,0.1806728094816208,0.18322424590587616,0.28277039527893066,0.20583423972129822,0.20846129953861237,0.22386275231838226,0.29706719517707825
1512,0.3112803101539612,0.15409989655017853,0.13845156133174896,0.0697980523109436,0.17145021259784698,0.1776769608259201,0.06483855843544006,0.4531100392341614,0.0974297747015953,0.1460285484790802
",",0.36674630641937256,0.3015086054801941,0.27058324217796326,0.23255878686904907,0.26574233174324036,0.3378419280052185,0.20407600700855255,0.4946078956127167,0.23964712023735046,0.31091248989105225
he,0.39115971326828003,0.3292143940925598,0.24538953602313995,0.2454872578382492,0.21994081139564514,0.7171558737754822,0.3197924494743347,0.38706058263778687,0.2784007787704468,0.2089974731206894
was,0.37326499819755554,0.41399896144866943,0.2089129239320755,0.19185513257980347,0.210550457239151,0.4405253231525421,0.19672659039497375,0.4069072902202606,0.21140047907829285,0.18412111699581146
awarded,0.1420624703168869,0.20935551822185516,0.176742821931839,0.1545739322900772,0.47609686851501465,0.32163095474243164,0.2139544039964676,0.2630610167980194,0.15570710599422455,0.1431703418493271
his,0.37120407819747925,0.3546801507472992,0.23498685657978058,0.27093374729156494,0.29452115297317505,0.9999998807907104,0.2365143597126007,0.38364991545677185,0.25988489389419556,0.18075084686279297
doctor,0.16867952048778534,0.18673314154148102,0.2084195911884308,0.22596125304698944,0.21992804110050201,0.2365143597126007,0.9999999403953552,0.16895952820777893,0.3240536153316498,0.1462511420249939
of,0.3757161796092987,0.2513895630836487,0.13722093403339386,0.1719115972518921,0.25992685556411743,0.38364991545677185,0.16895952820777893,1.0,0.274120032787323,0.1826142966747284
theology,0.18232505023479462,0.13569064438343048,0.26650112867355347,0.3810495138168335,0.16007885336875916,0.25988489389419556,0.3240536153316498,0.274120032787323,1.0000001192092896,0.1560962051153183
and,0.4716290831565857,0.34479495882987976,0.2544763386249542,0.20796556770801544,0.27304521203041077,0.4234102666378021,0.21673844754695892,0.5116966962814331,0.22933346033096313,0.20544172823429108
",",0.36674630641937256,0.3015086054801941,0.27058324217796326,0.23255878686904907,0.26574233174324036,0.3378419280052185,0.20407600700855255,0.4946078956127167,0.23964712023735046,0.31091248989105225
on,0.37706470489501953,0.2670976221561432,0.212642639875412,0.19090485572814941,0.2056528776884079,0.32064297795295715,0.1636410653591156,0.3966929316520691,0.1613156795501709,0.2714994251728058
21,-0.13404759764671326,-0.051883723586797714,0.03803841024637222,0.017629003152251244,-0.11460215598344803,-0.11368070542812347,0.0028053957503288984,-0.0006609548581764102,0.05363136902451515,-0.01186173316091299
october,0.273419588804245,0.2746104896068573,0.1869964599609375,0.1806728094816208,0.18322424590587616,0.28277039527893066,0.20583423972129822,0.20846129953861237,0.22386275231838226,0.29706719517707825
1512,0.3112803101539612,0.15409989655017853,0.13845156133174896,0.0697980523109436,0.17145021259784698,0.1776769608259201,0.06483855843544006,0.4531100392341614,0.0974297747015953,0.1460285484790802
",",0.36674630641937256,0.3015086054801941,0.27058324217796326,0.23255878686904907,0.26574233174324036,0.3378419280052185,0.20407600700855255,0.4946078956127167,0.23964712023735046,0.31091248989105225
was,0.37326499819755554,0.41399896144866943,0.2089129239320755,0.19185513257980347,0.210550457239151,0.4405253231525421,0.19672659039497375,0.4069072902202606,0.21140047907829285,0.18412111699581146
received,0.17342817783355713,0.3125181496143341,0.17191408574581146,0.1771141141653061,0.7047652006149292,0.3627238869667053,0.16980679333209991,0.2628524899482727,0.22235731780529022,0.11905962228775024
into,0.389646977186203,0.14888085424900055,0.08317147195339203,0.12939998507499695,0.18234646320343018,0.22944098711013794,0.09970156848430634,0.32255905866622925,0.1441497504711151,0.15662476420402527
the,0.5091903209686279,0.34736719727516174,0.22029393911361694,0.1759674996137619,0.2726488411426544,0.4394008219242096,0.2820442318916321,0.733189046382904,0.1939574033021927,0.22068053483963013
senate,0.17796114087104797,0.11589532345533371,0.16392487287521362,0.20684945583343506,0.18702326714992523,0.21329081058502197,0.1726159304380417,0.2684692442417145,0.20956149697303772,0.18454359471797943
of,0.3757161796092987,0.2513895630836487,0.13722093403339386,0.1719115972518921,0.25992685556411743,0.38364991545677185,0.16895952820777893,1.0,0.274120032787323,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,0.22029393911361694,0.1759674996137619,0.2726488411426544,0.4394008219242096,0.2820442318916321,0.733189046382904,0.1939574033021927,0.22068053483963013
