,what,hit,reality,series,debuted,for,abc,in,2002,?
2002,0.02542238123714924,-0.045458320528268814,0.08362507820129395,0.02965402603149414,0.05956244841217995,-0.03412793204188347,-0.03166643902659416,-0.15852214395999908,0.9999999403953552,0.045828185975551605
saw,0.24788837134838104,0.22000521421432495,0.18480932712554932,0.1828347146511078,0.23989202082157135,0.2966398596763611,0.09962060302495956,0.24892163276672363,-0.1072673350572586,0.14690998196601868
the,0.42745697498321533,0.2674407958984375,0.2677460014820099,0.31376904249191284,0.28418588638305664,0.4739971458911896,0.2068762183189392,0.6662389636039734,-0.07970229536294937,0.22068053483963013
debut,0.12330318242311478,0.3450588583946228,0.2037990391254425,0.2827463150024414,0.7086208462715149,0.2246619164943695,0.15660154819488525,0.23145294189453125,0.13646215200424194,0.10726679861545563
of,0.33290785551071167,0.1960723102092743,0.22407591342926025,0.22268271446228027,0.18094587326049805,0.4185989499092102,0.14607268571853638,0.5696388483047485,-0.05071645230054855,0.1826142966747284
the,0.42745697498321533,0.2674407958984375,0.2677460014820099,0.31376904249191284,0.28418588638305664,0.4739971458911896,0.2068762183189392,0.6662389636039734,-0.07970229536294937,0.22068053483963013
network,0.16917307674884796,0.12856529653072357,0.3653101325035095,0.38316288590431213,0.28641700744628906,0.253274142742157,0.4295894205570221,0.19496823847293854,-0.1037570983171463,0.17853789031505585
's,0.02692362666130066,-0.03361855819821358,0.10772097110748291,0.0006390819908119738,0.025340793654322624,-0.07241261005401611,0.06670809537172318,-0.037580832839012146,0.0019099946366623044,-0.023395681753754616
first,0.28086137771606445,0.24379001557826996,0.1906806081533432,0.3264976441860199,0.35306718945503235,0.3800288736820221,0.2403600513935089,0.4127444326877594,-0.012128324247896671,0.18701928853988647
hit,0.22790727019309998,1.0000001192092896,0.1785811483860016,0.16686764359474182,0.4101061522960663,0.17693012952804565,0.137809619307518,0.24006043374538422,-0.045458320528268814,0.14460130035877228
