,the,southern,part,of,the,amazon,forest,was,mainly,impacted,by,drought,in,what,year,?
the,1.0,0.3282862603664398,0.527681291103363,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.48711544275283813,0.3790479004383087,0.2348020076751709,0.4408751428127289,0.33421388268470764,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.22068053483963013
2010,0.31722962856292725,0.27399176359176636,0.2441449761390686,0.26419875025749207,0.31722962856292725,0.1413584202528,0.1611773520708084,0.23825319111347198,0.3071272075176239,0.08278190344572067,0.20458245277404785,0.07527108490467072,0.2692960798740387,0.2741409242153168,0.14087317883968353,0.21232788264751434
drought,0.33421388268470764,0.27174636721611023,0.2089911699295044,0.26836544275283813,0.33421388268470764,0.21362802386283875,0.33272063732147217,0.22419406473636627,0.17079247534275055,0.4033200442790985,0.17479196190834045,0.9999998807907104,0.2705814242362976,0.17344513535499573,0.2592630982398987,0.1524890512228012
had,0.3875846862792969,0.19639550149440765,0.27259039878845215,0.37755560874938965,0.3875846862792969,0.171722412109375,0.14042310416698456,0.5927209258079529,0.1977909803390503,0.3345787227153778,0.37294110655784607,0.2546445429325104,0.385026752948761,0.23849567770957947,0.29678046703338623,0.20728366076946259
three,0.43452659249305725,0.14196376502513885,0.27905863523483276,0.3844621181488037,0.43452659249305725,0.12076811492443085,0.18422982096672058,0.2748996615409851,0.20095762610435486,0.19393745064735413,0.28754812479019165,0.19597917795181274,0.34828072786331177,0.24888746440410614,0.2806354761123657,0.20928427577018738
epicenters,0.34973692893981934,0.29303818941116333,0.2561969757080078,0.3172685205936432,0.34973692893981934,0.2994309663772583,0.21745607256889343,0.24406251311302185,0.26261624693870544,0.39011430740356445,0.26295411586761475,0.32425427436828613,0.3229997456073761,0.2979116439819336,0.19757027924060822,0.19176211953163147
where,0.5003893971443176,0.2580642104148865,0.3328706920146942,0.38066378235816956,0.5003893971443176,0.15229910612106323,0.17165489494800568,0.20731619000434875,0.3845270276069641,0.20873679220676422,0.2641284465789795,0.22265876829624176,0.5344807505607605,0.4457937180995941,0.20427323877811432,0.24793872237205505
vegetation,0.27478766441345215,0.25848230719566345,0.2327055037021637,0.2547335922718048,0.27478766441345215,0.36174994707107544,0.47535499930381775,0.117296501994133,0.3612230122089386,0.35590389370918274,0.18397663533687592,0.492575079202652,0.25661489367485046,0.2184489667415619,0.13383571803569794,0.10736152529716492
died,0.18710990250110626,0.17717106640338898,0.12184571474790573,0.25637882947921753,0.18710990250110626,0.07450996339321136,0.15912744402885437,0.4570699632167816,0.1069498360157013,0.24505040049552917,0.14783190190792084,0.21294870972633362,0.25881269574165344,0.11138711869716644,0.23179858922958374,0.15254227817058563
off,0.2773582935333252,0.1331864893436432,0.2968405485153198,0.20023372769355774,0.2773582935333252,0.1833217442035675,0.13443602621555328,0.15734454989433289,0.21925102174282074,0.241067573428154,0.28998351097106934,0.16072168946266174,0.25627145171165466,0.2350364625453949,0.15357206761837006,0.12937544286251068
