,which,nation,contains,the,majority,of,the,amazon,forest,?
the,0.6521818041801453,0.39486879110336304,0.2846323549747467,1.0,0.28757327795028687,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
majority,0.2740524113178253,0.2936471700668335,0.11337969452142715,0.28757327795028687,0.9999998807907104,0.29706597328186035,0.28757327795028687,0.14890789985656738,0.1601882427930832,0.220119908452034
of,0.5011631846427917,0.3102196156978607,0.34575599431991577,0.733189046382904,0.29706597328186035,1.0,0.733189046382904,0.20143137872219086,0.2309139519929886,0.1826142966747284
the,0.6521818041801453,0.39486879110336304,0.2846323549747467,1.0,0.28757327795028687,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
forest,0.20571978390216827,0.19587945938110352,0.11869275569915771,0.24134553968906403,0.1601882427930832,0.2309139519929886,0.24134553968906403,0.26471444964408875,1.0000001192092896,0.1214437186717987
is,0.4457404911518097,0.2303507775068283,0.4272567629814148,0.5823672413825989,0.19749082624912262,0.4854315221309662,0.5823672413825989,0.15197539329528809,0.209678515791893,0.22961433231830597
contained,0.4173591434955597,0.1576254963874817,0.7314445376396179,0.31440216302871704,0.19082729518413544,0.37918418645858765,0.31440216302871704,0.16521644592285156,0.1288134902715683,0.171995609998703
within,0.43539655208587646,0.2580423951148987,0.34257739782333374,0.39827480912208557,0.28267979621887207,0.39594778418540955,0.39827480912208557,0.09349033236503601,0.159495547413826,0.1870293766260147
brazil,0.22363917529582977,0.21542443335056305,0.15045449137687683,0.21643289923667908,0.165404811501503,0.2030242383480072,0.21643289923667908,0.47757160663604736,0.22010748088359833,0.14306876063346863
",",0.3658004403114319,0.2516145408153534,0.2243606001138687,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
with,0.46403205394744873,0.2163824439048767,0.2956719696521759,0.4223487675189972,0.25476717948913574,0.41827285289764404,0.4223487675189972,0.21287250518798828,0.16664531826972961,0.2433311939239502
60,0.09554819762706757,0.0496910959482193,-0.0015588662354275584,0.04635925963521004,-0.04324936121702194,0.05524682253599167,0.04635925963521004,-0.015416616573929787,0.03246576711535454,0.06999651342630386
%,0.19622854888439178,0.2503077983856201,0.14431168138980865,0.21490740776062012,0.4637562930583954,0.19953428208827972,0.21490740776062012,0.17626920342445374,0.18021099269390106,0.21441808342933655
of,0.5011631846427917,0.3102196156978607,0.34575599431991577,0.733189046382904,0.29706597328186035,1.0,0.733189046382904,0.20143137872219086,0.2309139519929886,0.1826142966747284
the,0.6521818041801453,0.39486879110336304,0.2846323549747467,1.0,0.28757327795028687,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.22068053483963013
rainforest,0.2796969711780548,0.22852961719036102,0.21328094601631165,0.2571161389350891,0.1759079247713089,0.22522282600402832,0.2571161389350891,0.48046615719795227,0.664979100227356,0.1917492002248764
",",0.3658004403114319,0.2516145408153534,0.2243606001138687,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
followed,0.3234761655330658,0.19757898151874542,0.17228315770626068,0.3567860722541809,0.13065727055072784,0.3060508966445923,0.3567860722541809,0.12844496965408325,0.12071028351783752,0.20567169785499573
by,0.40543368458747864,0.2220620959997177,0.21414010226726532,0.4408751428127289,0.21340490877628326,0.3646814823150635,0.4408751428127289,0.16320857405662537,0.16046150028705597,0.17966607213020325
peru,0.18458238244056702,0.283395379781723,0.12930184602737427,0.2077382355928421,0.11610221117734909,0.2344529628753662,0.2077382355928421,0.37590137124061584,0.23897087574005127,0.13233628869056702
with,0.46403205394744873,0.2163824439048767,0.2956719696521759,0.4223487675189972,0.25476717948913574,0.41827285289764404,0.4223487675189972,0.21287250518798828,0.16664531826972961,0.2433311939239502
13,0.020414112135767937,0.0011219978332519531,0.02811524085700512,-0.007407139986753464,0.017321130260825157,0.019282439723610878,-0.007407139986753464,-0.10010803490877151,0.07201839238405228,-0.11384815722703934
%,0.19622854888439178,0.2503077983856201,0.14431168138980865,0.21490740776062012,0.4637562930583954,0.19953428208827972,0.21490740776062012,0.17626920342445374,0.18021099269390106,0.21441808342933655
",",0.3658004403114319,0.2516145408153534,0.2243606001138687,0.4933079481124878,0.30214112997055054,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.31091248989105225
colombia,0.18654583394527435,0.24475261569023132,0.10024747997522354,0.2016514539718628,0.149465411901474,0.22640757262706757,0.2016514539718628,0.41947829723358154,0.2205190360546112,0.1405753791332245
with,0.46403205394744873,0.2163824439048767,0.2956719696521759,0.4223487675189972,0.25476717948913574,0.41827285289764404,0.4223487675189972,0.21287250518798828,0.16664531826972961,0.2433311939239502
10,0.15415236353874207,0.2829757630825043,0.09670037031173706,0.2880653440952301,0.29905182123184204,0.2777891755104065,0.2880653440952301,0.12681163847446442,0.11639054864645004,0.022911956533789635
