,who,tackled,mike,tolbert,and,caused,a,fumble,?
on,0.2340552806854248,0.1872648149728775,0.23540258407592773,0.2035236656665802,0.4077630043029785,0.25160422921180725,0.3848365545272827,0.16300038993358612,0.2714994251728058
carolina,0.1409980058670044,0.17144812643527985,0.23015210032463074,0.18042662739753723,0.22423055768013,0.13405679166316986,0.1979188621044159,0.24233470857143402,0.11847445368766785
's,0.05599616840481758,-0.04593997448682785,0.07197532057762146,0.013141957111656666,0.06895173341035843,-0.0389891043305397,0.04866964742541313,0.02591221034526825,-0.023395681753754616
next,0.19192104041576385,0.14884646236896515,0.14187107980251312,0.2492164969444275,0.22333113849163055,0.19989146292209625,0.3054417371749878,0.2307572215795517,0.167460098862648
possession,0.25850099325180054,0.21546520292758942,0.14983107149600983,0.11363523453474045,0.2694222033023834,0.13618195056915283,0.2872699797153473,0.21473029255867004,0.06212200969457626
fullback,0.1907532960176468,0.3721490800380707,0.35087233781814575,0.24210317432880402,0.23952656984329224,0.04292982816696167,0.22832299768924713,0.4773712158203125,0.2015429437160492
mike,0.24931035935878754,0.19145405292510986,1.0,0.28715386986732483,0.22595345973968506,0.08686916530132294,0.2168344259262085,0.2541225552558899,0.1076895147562027
tolbert,0.2873324751853943,0.24379391968250275,0.28715386986732483,0.9999999403953552,0.30259573459625244,0.19125580787658691,0.25253474712371826,0.22261083126068115,0.24125076830387115
lost,0.2206452637910843,0.18812963366508484,0.21191371977329254,0.1507825404405594,0.25558507442474365,0.24277208745479584,0.24504798650741577,0.3078124225139618,0.15261413156986237
a,0.36608949303627014,0.18400587141513824,0.2168344259262085,0.25253474712371826,0.3739250600337982,0.22472180426120758,1.0,0.17153340578079224,0.23916715383529663
fumble,0.18392837047576904,0.47546592354774475,0.2541225552558899,0.22261083126068115,0.24104192852973938,0.13926678895950317,0.17153340578079224,1.0000001192092896,0.17646178603172302
while,0.4068111777305603,0.2535724937915802,0.21527214348316193,0.14273037016391754,0.45699796080589294,0.2611788809299469,0.3733035624027252,0.25433874130249023,0.21076419949531555
being,0.44037187099456787,0.24829702079296112,0.2145756036043167,0.1823953092098236,0.4286794066429138,0.23100005090236664,0.3727131485939026,0.22508375346660614,0.26743772625923157
tackled,0.2225686013698578,0.9999998807907104,0.19145405292510986,0.24379391968250275,0.22686438262462616,0.23269732296466827,0.18400587141513824,0.47546592354774475,0.20976905524730682
by,0.39727845788002014,0.15039530396461487,0.20586514472961426,0.28540655970573425,0.4289871156215668,0.30491310358047485,0.32094135880470276,0.15994788706302643,0.17966607213020325
safety,0.20537976920604706,0.33585312962532043,0.14579403400421143,0.12321735173463821,0.27546536922454834,0.16065582633018494,0.18158207833766937,0.34256511926651,0.1443338692188263
darian,0.362669974565506,0.15635693073272705,0.3240593373775482,0.21901872754096985,0.23653031885623932,0.17346079647541046,0.17722506821155548,0.21498897671699524,0.15779580175876617
stewart,0.27337461709976196,0.2192728966474533,0.27969247102737427,0.422512412071228,0.27138739824295044,0.1695399135351181,0.1547141820192337,0.2529706358909607,0.11473192274570465
",",0.3365725874900818,0.24003246426582336,0.23431283235549927,0.3274385631084442,0.6633074283599854,0.2600580155849457,0.427140474319458,0.30810612440109253,0.31091248989105225
which,0.3688730001449585,0.18560317158699036,0.1683032363653183,0.19098901748657227,0.506277859210968,0.310800164937973,0.56894451379776,0.15365509688854218,0.25814583897590637
linebacker,0.18917565047740936,0.5095818042755127,0.31517839431762695,0.24565765261650085,0.2321299910545349,0.10584113746881485,0.20977157354354858,0.5103139877319336,0.15540370345115662
danny,0.34686461091041565,0.18367068469524384,0.43526825308799744,0.30625230073928833,0.21257284283638,0.11455447226762772,0.24407438933849335,0.22493745386600494,0.12230359762907028
trevathan,0.314143568277359,0.22706733644008636,0.2610848546028137,0.4015060067176819,0.28391045331954956,0.21136173605918884,0.2424376755952835,0.3047519326210022,0.19781902432441711
recovered,0.19365158677101135,0.34646865725517273,0.17488068342208862,0.18581773340702057,0.25687822699546814,0.35491707921028137,0.2461796998977661,0.35254186391830444,0.08912046253681183
on,0.2340552806854248,0.1872648149728775,0.23540258407592773,0.2035236656665802,0.4077630043029785,0.25160422921180725,0.3848365545272827,0.16300038993358612,0.2714994251728058
the,0.3733934462070465,0.19332660734653473,0.1855325549840927,0.2572346329689026,0.5171257257461548,0.24990202486515045,0.5829201340675354,0.16197896003723145,0.22068053483963013
broncos,0.1763724684715271,0.4016881287097931,0.3365124762058258,0.27460938692092896,0.20959050953388214,0.15698380768299103,0.19771797955036163,0.4964665174484253,0.18377114832401276
40-yard,0.2668170928955078,0.3119750916957855,0.18001028895378113,0.37249234318733215,0.28488028049468994,0.1377989649772644,0.2733331322669983,0.3380183279514313,0.12339043617248535
line,0.1774713397026062,0.20293016731739044,0.09626001119613647,0.15259480476379395,0.24584348499774933,0.14441627264022827,0.23499317467212677,0.12082433700561523,0.16271452605724335
.,0.3541337847709656,0.21555671095848083,0.185272216796875,0.33135271072387695,0.588965117931366,0.2413787543773651,0.50484299659729,0.23846884071826935,0.4130953550338745
