,what,shakespeare,scholar,is,currently,on,the,university,'s,faculty,?
current,0.18294453620910645,0.10679766535758972,0.11538668721914291,0.2555285692214966,0.5213339328765869,0.27069616317749023,0.3314409554004669,0.18160270154476166,0.004145179875195026,0.14183376729488373,0.12074550241231918
faculty,0.17261409759521484,0.09910226613283157,0.3727394938468933,0.15048952400684357,0.18929000198841095,0.1844133585691452,0.19605974853038788,0.6468125581741333,-0.007807043846696615,1.0,0.04951627925038338
include,0.1535889357328415,0.19191697239875793,0.10378392040729523,0.28863582015037537,0.22678527235984802,0.2332274466753006,0.2951717972755432,0.09942364692687988,-0.07849370688199997,0.14791926741600037,0.14925788342952728
the,0.42745697498321533,0.19480109214782715,0.16383583843708038,0.5823672413825989,0.2945235073566437,0.5107308030128479,1.0,0.263973206281662,-0.01540423184633255,0.19605974853038788,0.22068053483963013
anthropologist,0.24547387659549713,0.20140644907951355,0.45715072751045227,0.13864217698574066,0.1540001481771469,0.15306949615478516,0.16061320900917053,0.37364935874938965,0.06477395445108414,0.3372592628002167,0.17604398727416992
marshall,0.17371580004692078,0.23726437985897064,0.19249045848846436,0.18521100282669067,0.191278874874115,0.15066194534301758,0.22928133606910706,0.2478753626346588,0.014617709442973137,0.16911830008029938,0.18167579174041748
sahlins,0.11124920845031738,0.2975468635559082,0.31704410910606384,0.26028355956077576,0.26322850584983826,0.268532931804657,0.29118847846984863,0.33104413747787476,0.08288310468196869,0.2839464843273163,0.1920129954814911
",",0.3087472915649414,0.211819127202034,0.27968740463256836,0.4691906273365021,0.33041635155677795,0.49057599902153015,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.24666790664196014,0.31091248989105225
historian,0.21019703149795532,0.2660624384880066,0.5495408177375793,0.12325379997491837,0.08263007551431656,0.1466064304113388,0.17690813541412354,0.25014713406562805,0.022088583558797836,0.2776077091693878,0.14715451002120972
dipesh,0.23176486790180206,0.2736089825630188,0.24917373061180115,0.2535039782524109,0.11482888460159302,0.15472976863384247,0.26763924956321716,0.1721453219652176,0.04483676329255104,0.15239353477954865,0.18075904250144958
chakrabarty,0.27810317277908325,0.2025587409734726,0.23365706205368042,0.297188401222229,0.1360922008752823,0.3125034272670746,0.3633680045604706,0.19077914953231812,0.0047697885893285275,0.19385895133018494,0.23590245842933655
",",0.3087472915649414,0.211819127202034,0.27968740463256836,0.4691906273365021,0.33041635155677795,0.49057599902153015,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.24666790664196014,0.31091248989105225
paleontologists,0.30779901146888733,0.17757637798786163,0.283812016248703,0.19004647433757782,0.15186159312725067,0.13514594733715057,0.24533379077911377,0.24693502485752106,0.03741203248500824,0.25580230355262756,0.16619890928268433
neil,0.10462997853755951,0.18851709365844727,0.16969579458236694,0.13933435082435608,0.13759681582450867,0.21471624076366425,0.15498113632202148,0.153484046459198,-0.020640205591917038,0.14190888404846191,0.08238664269447327
shubin,0.16399919986724854,0.25030991435050964,0.2892392575740814,0.2377748042345047,0.2003476470708847,0.19167624413967133,0.20982502400875092,0.3088958263397217,-0.06755708158016205,0.286673367023468,0.21434341371059418
and,0.31309178471565247,0.22816802561283112,0.2512432336807251,0.3859752118587494,0.2922934591770172,0.4077630043029785,0.5171257257461548,0.2665814459323883,0.06895173341035843,0.21924199163913727,0.20544172823429108
paul,0.11217030137777328,0.15230615437030792,0.2153850942850113,0.18022699654102325,0.14834332466125488,0.1803305596113205,0.19191958010196686,0.21659784018993378,-0.028859924525022507,0.12052705138921738,0.16611461341381073
sereno,0.14897421002388,0.24346105754375458,0.19243724644184113,0.1967640072107315,0.17360363900661469,0.16243992745876312,0.24678297340869904,0.2170877754688263,-0.12576261162757874,0.20321936905384064,0.1824866086244583
",",0.3087472915649414,0.211819127202034,0.27968740463256836,0.4691906273365021,0.33041635155677795,0.49057599902153015,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.24666790664196014,0.31091248989105225
evolutionary,0.23857757449150085,0.16687680780887604,0.2397289276123047,0.20621788501739502,0.10123292356729507,0.17596735060214996,0.24718289077281952,0.21333040297031403,-0.05610675364732742,0.1876254677772522,0.22123169898986816
biologist,0.18255768716335297,0.10159003734588623,0.3823331296443939,0.19515138864517212,0.1517549753189087,0.18105949461460114,0.17062292993068695,0.3206222653388977,-0.012244239449501038,0.3002142012119293,0.176077201962471
jerry,0.13617311418056488,0.1640787124633789,0.15621735155582428,0.1482471078634262,0.13928836584091187,0.15426179766654968,0.17205314338207245,0.2127564549446106,0.023170113563537598,0.1124335378408432,0.12069317698478699
coyne,0.17026287317276,0.24502044916152954,0.2227865606546402,0.20849820971488953,0.23858870565891266,0.21669241786003113,0.24600128829479218,0.23285461962223053,0.05251602828502655,0.10033904761075974,0.1997734159231186
",",0.3087472915649414,0.211819127202034,0.27968740463256836,0.4691906273365021,0.33041635155677795,0.49057599902153015,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.24666790664196014,0.31091248989105225
nobel,0.20388969779014587,0.17821943759918213,0.2910799980163574,0.1316506415605545,0.10848280042409897,0.18425551056861877,0.1909446120262146,0.2923794984817505,-0.1214783638715744,0.3097632825374603,0.15008176863193512
prize,0.1654435694217682,0.15171891450881958,0.2635977864265442,0.13773074746131897,0.11378154903650284,0.1964096873998642,0.18969248235225677,0.2631310522556305,-0.10169786214828491,0.28145381808280945,0.14158497750759125
