,bacteria,often,secrete,what,kind,of,proteins,to,ingest,a,physical,barrier,?
bacteria,0.9999998807907104,0.23397623002529144,0.4836280941963196,0.1863701492547989,0.2299574464559555,0.17966590821743011,0.5631616711616516,0.19413231313228607,0.33169591426849365,0.19924654066562653,0.24035656452178955,0.2340957373380661,0.18786604702472687
often,0.23397623002529144,1.0000001192092896,0.3082370162010193,0.3849453330039978,0.43886423110961914,0.3351972997188568,0.28729236125946045,0.4351843297481537,0.20031152665615082,0.3930865228176117,0.29466304183006287,0.1947067677974701,0.23748154938220978
overcome,0.18279840052127838,0.3262786865234375,0.3152451515197754,0.20512010157108307,0.3241736888885498,0.2338653802871704,0.21015620231628418,0.3601366877555847,0.23043757677078247,0.19731786847114563,0.35016652941703796,0.27728527784347534,0.17361730337142944
physical,0.24035656452178955,0.29466304183006287,0.2606371343135834,0.27895045280456543,0.23275212943553925,0.3124530017375946,0.24423721432685852,0.24461913108825684,0.2060302495956421,0.2210949957370758,0.9999999403953552,0.24302515387535095,0.11781801283359528
barriers,0.28825026750564575,0.2652169167995453,0.32237306237220764,0.22092224657535553,0.24513287842273712,0.20672127604484558,0.37205925583839417,0.2852611541748047,0.2679300010204315,0.23114445805549622,0.24861323833465576,0.8158993721008301,0.12831342220306396
by,0.22791919112205505,0.32333052158355713,0.1962575763463974,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.2186184525489807,0.33534231781959534,0.16183342039585114,0.32094135880470276,0.20059843361377716,0.21963214874267578,0.17966607213020325
secreting,0.4033210873603821,0.3635987937450409,0.7521030306816101,0.2810404300689697,0.3060877025127411,0.2615695893764496,0.48701414465904236,0.23495635390281677,0.40148594975471497,0.25023266673088074,0.26642149686813354,0.3308694660663605,0.16538850963115692
enzymes,0.6097476482391357,0.22179360687732697,0.5437445044517517,0.21391288936138153,0.19716618955135345,0.2474622130393982,0.7802382707595825,0.24462898075580597,0.3952528238296509,0.22553952038288116,0.2544831335544586,0.31303590536117554,0.19847454130649567
that,0.2798275947570801,0.43873903155326843,0.2855227589607239,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.2839849293231964,0.5436353087425232,0.2556692957878113,0.47537946701049805,0.30393490195274353,0.3145255446434021,0.32716336846351624
digest,0.3228347897529602,0.1391712725162506,0.3952903747558594,0.1574338972568512,0.17000438272953033,0.1874910295009613,0.393633097410202,0.17568309605121613,0.500727653503418,0.15141786634922028,0.1676812618970871,0.12054916471242905,0.22005607187747955
the,0.1839996725320816,0.38004449009895325,0.2710142731666565,0.42745697498321533,0.2516445517539978,0.733189046382904,0.23576003313064575,0.535392165184021,0.2945249378681183,0.5829201340675354,0.20230218768119812,0.32808300852775574,0.22068053483963013
barrier,0.2340957373380661,0.1947067677974701,0.34560322761535645,0.22869759798049927,0.2259574830532074,0.24921740591526031,0.3266461491584778,0.24477796256542206,0.3082481026649475,0.2609435021877289,0.24302515387535095,0.9999998807907104,0.11772116273641586
",",0.2358950972557068,0.24139221012592316,0.20447513461112976,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.1900382786989212,0.44245919585227966,0.27416542172431946,0.427140474319458,0.2047225534915924,0.23170435428619385,0.31091248989105225
for,0.191389262676239,0.37495917081832886,0.15256662666797638,0.3017193675041199,0.28053680062294006,0.4185989499092102,0.22488538920879364,0.4451248347759247,0.17416754364967346,0.44038116931915283,0.2650330066680908,0.14429989457130432,0.264628142118454
example,0.2536773085594177,0.48267167806625366,0.2892892062664032,0.3456268310546875,0.4014129340648651,0.3570667505264282,0.27391332387924194,0.3451666533946991,0.23468811810016632,0.40234753489494324,0.27471688389778137,0.2062155157327652,0.30374911427497864
",",0.2358950972557068,0.24139221012592316,0.20447513461112976,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.1900382786989212,0.44245919585227966,0.27416542172431946,0.427140474319458,0.2047225534915924,0.23170435428619385,0.31091248989105225
by,0.22791919112205505,0.32333052158355713,0.1962575763463974,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.2186184525489807,0.33534231781959534,0.16183342039585114,0.32094135880470276,0.20059843361377716,0.21963214874267578,0.17966607213020325
using,0.22231441736221313,0.3929809629917145,0.2507389485836029,0.27984681725502014,0.31312650442123413,0.24298200011253357,0.2476567029953003,0.3678804934024811,0.23708422482013702,0.32226553559303284,0.1935468167066574,0.22731216251850128,0.2804589569568634
a,0.19924654066562653,0.3930865228176117,0.2698777914047241,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.23701471090316772,0.45503583550453186,0.2642928957939148,1.0,0.2210949957370758,0.2609435021877289,0.23916715383529663
type,0.2154657542705536,0.29205119609832764,0.24804019927978516,0.2722663879394531,0.6051733493804932,0.18112817406654358,0.23084615170955658,0.19930607080459595,0.1813131421804428,0.3813284635543823,0.22469283640384674,0.14680922031402588,0.17536182701587677
ii,0.17227999866008759,0.16840682923793793,0.22881631553173065,0.13866674900054932,0.11766240745782852,0.2844806909561157,0.1292087733745575,0.20368696749210358,0.2215442657470703,0.2111874669790268,0.073341004550457,0.16701911389827728,0.11928234249353409
secretion,0.37852421402931213,0.24730971455574036,0.6285947561264038,0.19024023413658142,0.28054898977279663,0.17848660051822662,0.4128362536430359,0.21997305750846863,0.3323899507522583,0.17604748904705048,0.18859919905662537,0.27441343665122986,0.13670313358306885
system,0.196626216173172,0.20662763714790344,0.28271350264549255,0.23557309806346893,0.22309651970863342,0.25597915053367615,0.2429831176996231,0.26662686467170715,0.22137416899204254,0.2589043080806732,0.23262883722782135,0.2783268392086029,0.15556083619594574
.,0.24264462292194366,0.30710849165916443,0.27971065044403076,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.2492533177137375,0.4645031690597534,0.27493157982826233,0.50484299659729,0.20608092844486237,0.22136561572551727,0.4130953550338745
