,how,many,schools,of,medicine,were,recognized,in,china,?
all,0.3725806474685669,0.5443700551986694,0.31516021490097046,0.42798417806625366,0.1450733095407486,0.4387909770011902,0.2591323256492615,0.3335905969142914,0.2396208494901657,0.29575422406196594
four,0.1955733299255371,0.4139232039451599,0.22219513356685638,0.36293646693229675,0.08809544891119003,0.3769223988056183,0.2331128865480423,0.3085027039051056,0.17803063988685608,0.14532537758350372
schools,0.12874440848827362,0.3108086585998535,1.0,0.265506386756897,0.21150217950344086,0.2387605458498001,0.21888026595115662,0.2632134258747101,0.20824384689331055,0.18349280953407288
were,0.2082374095916748,0.4804460406303406,0.2387605458498001,0.34038281440734863,0.10519751161336899,1.0000001192092896,0.2519722282886505,0.3815755248069763,0.2312094271183014,0.17890112102031708
based,0.29692843556404114,0.29395660758018494,0.20668327808380127,0.3033197224140167,0.10833023488521576,0.2693869471549988,0.12927046418190002,0.3070422410964966,0.107951320707798,0.134929820895195
on,0.32655060291290283,0.32520127296447754,0.18452578783035278,0.3966929316520691,0.14022082090377808,0.2774328887462616,0.16710613667964935,0.46853652596473694,0.15178346633911133,0.2714994251728058
the,0.33890387415885925,0.4335206151008606,0.22905772924423218,0.733189046382904,0.19564834237098694,0.3906462490558624,0.31571096181869507,0.6662389636039734,0.3110525608062744,0.22068053483963013
same,0.28913575410842896,0.3821374177932739,0.19777627289295197,0.3808329105377197,0.09127110987901688,0.27093493938446045,0.19471247494220734,0.3692481815814972,0.14773675799369812,0.22649677097797394
intellectual,0.24660485982894897,0.23857951164245605,0.21499429643154144,0.23385179042816162,0.18202494084835052,0.14540550112724304,0.24206045269966125,0.19953086972236633,0.2217896282672882,0.16475045680999756
foundation,0.20461364090442657,0.18052014708518982,0.18928968906402588,0.26611822843551636,0.19789332151412964,0.11762060225009918,0.21060769259929657,0.2082953006029129,0.199296236038208,0.1791457086801529
",",0.22659391164779663,0.40610817074775696,0.2760516405105591,0.4946078956127167,0.2526143491268158,0.36755475401878357,0.2936757206916809,0.5201468467712402,0.27650898694992065,0.31091248989105225
