,what,is,michael,carrick,and,alan,shearer,'s,profession,?
hank,0.14234472811222076,0.18898773193359375,0.31535953283309937,0.3971366882324219,0.2761320471763611,0.304406076669693,0.43306398391723633,-0.006417790427803993,0.16327106952667236,0.17129042744636536
marvin,0.1709521859884262,0.12575164437294006,0.2747524380683899,0.30476945638656616,0.20632953941822052,0.31491807103157043,0.29362404346466064,0.022027866914868355,0.11573813110589981,0.18246011435985565
and,0.31309178471565247,0.3859752118587494,0.15943403542041779,0.2711184620857239,1.0,0.20941360294818878,0.29938143491744995,0.06895173341035843,0.2738117277622223,0.20544172823429108
bruce,0.12445461004972458,0.19918781518936157,0.2761814594268799,0.2851654589176178,0.2643289566040039,0.3637129068374634,0.31414467096328735,0.012418774887919426,0.1706162393093109,0.06869585812091827
welch,0.16532623767852783,0.13093115389347076,0.29209601879119873,0.3776613175868988,0.29832378029823303,0.2793501913547516,0.42697224020957947,0.01447325199842453,0.18384329974651337,0.19623346626758575
were,0.22298263013362885,0.29386836290359497,0.15896406769752502,0.17944453656673431,0.42175528407096863,0.14903970062732697,0.18478721380233765,0.007088581565767527,0.1000848263502121,0.17890112102031708
both,0.3361809551715851,0.31409940123558044,0.11624940484762192,0.14805710315704346,0.5503310561180115,0.16485151648521423,0.1830442100763321,0.03109198436141014,0.21807155013084412,0.19455738365650177
former,0.13598288595676422,0.2175939530134201,0.17541763186454773,0.2578728497028351,0.2516189515590668,0.17887701094150543,0.17934417724609375,0.032462362200021744,0.25302451848983765,0.10570605844259262
pupils,0.180222749710083,0.1490861177444458,0.04310194030404091,0.10154230892658234,0.29847007989883423,0.0767236202955246,0.1705152988433838,0.0829528421163559,0.24613671004772186,0.06499303877353668
of,0.33290785551071167,0.4854315221309662,0.18215155601501465,0.24497269093990326,0.5116966962814331,0.13826394081115723,0.16276401281356812,-0.03817026689648628,0.248733788728714,0.1826142966747284
rutherford,0.21765227615833282,0.19056178629398346,0.2045736014842987,0.3504200577735901,0.23457537591457367,0.2443779706954956,0.2720199227333069,-0.0366831049323082,0.13430450856685638,0.11082080751657486
grammar,0.24915918707847595,0.2164469212293625,0.1530131697654724,0.07665786892175674,0.23548029363155365,0.15505540370941162,0.1968211531639099,0.0010644665453583002,0.2231377512216568,0.19932536780834198
school,0.18774057924747467,0.19488026201725006,0.14590999484062195,0.18996520340442657,0.2752758264541626,0.1692294329404831,0.14243917167186737,-0.017113132402300835,0.27860158681869507,0.15091250836849213
",",0.3087472915649414,0.4691906273365021,0.23383702337741852,0.2926950454711914,0.6633074283599854,0.240205317735672,0.28535112738609314,-0.0016132977325469255,0.28053703904151917,0.31091248989105225
actors,0.19468875229358673,0.19229048490524292,0.1930796355009079,0.17304565012454987,0.22122350335121155,0.21652011573314667,0.2788422107696533,0.06737196445465088,0.18806372582912445,0.16258424520492554
