,who,was,an,important,figure,in,the,twentieth-century,islamic,revival,in,india,?
sayyid,0.33419591188430786,0.366380900144577,0.1950927972793579,0.22871674597263336,0.2656197249889374,0.17322950065135956,0.24121446907520294,0.31525009870529175,0.5639821290969849,0.24950847029685974,0.17322950065135956,0.35738226771354675,0.2468435913324356
abul,0.1799582690000534,0.17947259545326233,0.18913763761520386,0.17391346395015717,0.18140649795532227,0.13981993496418,0.17270125448703766,0.2115713655948639,0.4698579013347626,0.13853494822978973,0.13981993496418,0.38253071904182434,0.15267497301101685
ala,0.12998871505260468,0.13117638230323792,0.18828514218330383,0.14153987169265747,0.09046820551156998,0.12429206073284149,0.13875967264175415,0.11648611724376678,0.30538323521614075,0.05961267277598381,0.12429206073284149,0.2600964307785034,0.2293235808610916
maududi,0.3857671022415161,0.34553927183151245,0.25845959782600403,0.2538798153400421,0.16419562697410583,0.2965894043445587,0.30155912041664124,0.31927770376205444,0.3724023997783661,0.21144071221351624,0.2965894043445587,0.39344656467437744,0.2149532437324524
was,0.3318818509578705,1.0000001192092896,0.3694365322589874,0.24924467504024506,0.2638653516769409,0.45514053106307983,0.48711544275283813,0.3554466664791107,0.19776177406311035,0.3003317415714264,0.45514053106307983,0.22117909789085388,0.18412111699581146
an,0.2848317325115204,0.3694365322589874,1.0,0.2662794589996338,0.17891916632652283,0.2605783939361572,0.4207492768764496,0.20460455119609833,0.19264791905879974,0.2065889537334442,0.2605783939361572,0.13356243073940277,0.19793890416622162
important,0.23735733330249786,0.24924467504024506,0.2662794589996338,1.0000001192092896,0.25907155871391296,0.3796374499797821,0.39348116517066956,0.32685917615890503,0.21198730170726776,0.1743108332157135,0.3796374499797821,0.20230931043624878,0.17812499403953552
early,0.23985694348812103,0.4148794412612915,0.21947315335273743,0.3426573574542999,0.1241435557603836,0.34672921895980835,0.34442198276519775,0.5155144333839417,0.23090092837810516,0.3248494863510132,0.34672921895980835,0.21148991584777832,0.15272949635982513
twentieth-century,0.3260436952114105,0.3554466664791107,0.20460455119609833,0.32685917615890503,0.19380101561546326,0.3110443353652954,0.34475818276405334,0.9999998807907104,0.2604021728038788,0.3406444787979126,0.3110443353652954,0.23619487881660461,0.08064086735248566
figure,0.2256491780281067,0.2638653516769409,0.17891916632652283,0.25907155871391296,1.0,0.17097173631191254,0.24786046147346497,0.19380101561546326,0.20660220086574554,0.1991785317659378,0.17097173631191254,0.1516389697790146,0.21107101440429688
in,0.2792111933231354,0.45514053106307983,0.2605783939361572,0.3796374499797821,0.17097173631191254,1.0,0.6662389636039734,0.3110443353652954,0.19633598625659943,0.2631177604198456,1.0,0.27070173621177673,0.20430970191955566
