,the,university,was,a,founding,force,behind,what,conference,?
the,1.0,0.263973206281662,0.48711544275283813,0.5829201340675354,0.34138360619544983,0.2800885736942291,0.38928431272506714,0.42745697498321533,0.25393402576446533,0.22068053483963013
university,0.263973206281662,1.0,0.290752112865448,0.20256656408309937,0.3165207505226135,0.14617149531841278,0.11922674626111984,0.20256435871124268,0.3523830771446228,0.11887256056070328
was,0.48711544275283813,0.290752112865448,1.0000001192092896,0.4508470594882965,0.36926978826522827,0.20879842340946198,0.27558037638664246,0.22111038863658905,0.1537582278251648,0.18412111699581146
a,0.5829201340675354,0.20256656408309937,0.4508470594882965,1.0,0.2064124047756195,0.2451154738664627,0.26228266954421997,0.3320399522781372,0.1375192254781723,0.23916715383529663
founding,0.34138360619544983,0.3165207505226135,0.36926978826522827,0.2064124047756195,1.0,0.1431996077299118,0.15905725955963135,0.2093554586172104,0.24825596809387207,0.1416333168745041
member,0.2806392312049866,0.20716828107833862,0.31559354066848755,0.24081070721149445,0.5388715267181396,0.1044611930847168,0.11757946014404297,0.09932345896959305,0.23268674314022064,0.06826172769069672
of,0.733189046382904,0.30646374821662903,0.4069072902202606,0.5052502155303955,0.3665546774864197,0.27094775438308716,0.2801654636859894,0.33290785551071167,0.19579021632671356,0.1826142966747284
the,1.0,0.263973206281662,0.48711544275283813,0.5829201340675354,0.34138360619544983,0.2800885736942291,0.38928431272506714,0.42745697498321533,0.25393402576446533,0.22068053483963013
big,0.308749794960022,0.17987342178821564,0.179094597697258,0.29998910427093506,0.18081137537956238,0.16745290160179138,0.19659774005413055,0.2788069546222687,0.2996002435684204,0.20497842133045197
ten,0.3256247341632843,0.16121917963027954,0.27622097730636597,0.23545676469802856,0.17357850074768066,0.15311741828918457,0.1430961936712265,0.1616830825805664,0.2045573592185974,0.14471080899238586
conference,0.25393402576446533,0.3523830771446228,0.1537582278251648,0.1375192254781723,0.24825596809387207,0.11121772974729538,0.17030437290668488,0.15329721570014954,0.9999999403953552,0.11172781884670258
and,0.5171257257461548,0.2665814459323883,0.3740963041782379,0.3739250600337982,0.28134027123451233,0.24372100830078125,0.3094099164009094,0.31309178471565247,0.21613861620426178,0.20544172823429108
participated,0.2627280354499817,0.14258451759815216,0.27373114228248596,0.18594463169574738,0.27339309453964233,0.13958892226219177,0.15354424715042114,0.1606026291847229,0.19253958761692047,0.11681767553091049
in,0.6662389636039734,0.3201795518398285,0.45514053106307983,0.539380669593811,0.2295561581850052,0.21744468808174133,0.3174246549606323,0.30808621644973755,0.2199791669845581,0.20430970191955566
