,when,did,the,1973,oil,crisis,begin,?
the,0.5091903209686279,0.34736719727516174,1.0,-0.22297891974449158,0.21849922835826874,0.263981431722641,0.34293439984321594,0.22068053483963013
1973,-0.26069384813308716,-0.23175965249538422,-0.22297891974449158,1.0,-0.11623536795377731,-0.166395902633667,-0.23525282740592957,-0.07644321769475937
oil,0.2048342078924179,0.10956666618585587,0.21849922835826874,-0.11623536795377731,1.0,0.2694509029388428,0.1866052746772766,0.14867261052131653
crisis,0.24111725389957428,0.12736287713050842,0.263981431722641,-0.166395902633667,0.2694509029388428,1.0,0.23482279479503632,0.17902959883213043
began,0.25673019886016846,0.4415510594844818,0.3059147596359253,-0.19213934242725372,0.15440668165683746,0.21259084343910217,0.49711355566978455,0.1370266228914261
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,-0.18588787317276,0.21800900995731354,0.19426369667053223,0.2903634011745453,0.20430970191955566
october,0.273419588804245,0.2746104896068573,0.2621108889579773,-0.08414607495069504,0.12903504073619843,0.17807206511497498,0.16996686160564423,0.29706719517707825
1973,-0.26069384813308716,-0.23175965249538422,-0.22297891974449158,1.0,-0.11623536795377731,-0.166395902633667,-0.23525282740592957,-0.07644321769475937
when,0.9999999403953552,0.3228907287120819,0.5091903209686279,-0.26069384813308716,0.2048342078924179,0.24111725389957428,0.3341256082057953,0.22841128706932068
the,0.5091903209686279,0.34736719727516174,1.0,-0.22297891974449158,0.21849922835826874,0.263981431722641,0.34293439984321594,0.22068053483963013
members,0.2236606478691101,0.21391335129737854,0.3321719169616699,-0.10526932775974274,0.08086920529603958,0.11208746582269669,0.19131164252758026,0.10212311148643494
of,0.3757161796092987,0.2513895630836487,0.733189046382904,-0.15240907669067383,0.22900764644145966,0.2267792969942093,0.24830074608325958,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,-0.22297891974449158,0.21849922835826874,0.263981431722641,0.34293439984321594,0.22068053483963013
organization,0.23174281418323517,0.15187452733516693,0.311172217130661,-0.12827269732952118,0.10697992146015167,0.2732926309108734,0.14144696295261383,0.2069297879934311
of,0.3757161796092987,0.2513895630836487,0.733189046382904,-0.15240907669067383,0.22900764644145966,0.2267792969942093,0.24830074608325958,0.1826142966747284
arab,0.16604845225811005,0.16366532444953918,0.2674407660961151,-0.03820205107331276,0.2262253612279892,0.24019919335842133,0.19513311982154846,0.18450474739074707
petroleum,0.2224719226360321,0.0999034121632576,0.2209315299987793,-0.15775243937969208,0.6149928569793701,0.30668550729751587,0.14226527512073517,0.1417868286371231
exporting,0.1934594362974167,0.16100935637950897,0.252695232629776,-0.11961939185857773,0.35321342945098877,0.2717413008213043,0.16513921320438385,0.17864851653575897
