,how,did,luther,describe,his,learning,at,the,university,?
he,0.2594625651836395,0.3292143940925598,0.2454872578382492,0.14869676530361176,0.7171558737754822,0.2358267903327942,0.3280475437641144,0.4571082592010498,0.31377843022346497,0.2089974731206894
was,0.16678167879581451,0.41399896144866943,0.19185513257980347,0.1964888870716095,0.4405253231525421,0.13929663598537445,0.36707764863967896,0.48711544275283813,0.290752112865448,0.18412111699581146
made,0.2655200958251953,0.3068731725215912,0.15519264340400696,0.2342292219400406,0.29201897978782654,0.08877524733543396,0.20185844600200653,0.3885267674922943,0.143972709774971,0.17218779027462006
to,0.44169697165489197,0.4452643394470215,0.18029534816741943,0.3167092204093933,0.3715193271636963,0.2609867453575134,0.36524343490600586,0.535392165184021,0.20192374289035797,0.29463258385658264
wake,0.2206467241048813,0.21557745337486267,0.11877557635307312,0.1807534098625183,0.14095908403396606,0.2017214298248291,0.12037622928619385,0.19048289954662323,0.20234271883964539,0.13995933532714844
at,0.2154216170310974,0.28390252590179443,0.13834704458713531,0.15475328266620636,0.27659502625465393,0.22934198379516602,1.0,0.457212895154953,0.30386853218078613,0.21978627145290375
four,0.1955733299255371,0.20222175121307373,0.11592413485050201,0.13737264275550842,0.29882514476776123,0.14552147686481476,0.24268823862075806,0.40344667434692383,0.22242772579193115,0.14532537758350372
every,0.31805798411369324,0.21975891292095184,0.13942168653011322,0.2080012708902359,0.262839138507843,0.17449356615543365,0.3021482229232788,0.4023689329624176,0.10963435471057892,0.24066033959388733
morning,0.15919212996959686,0.2513515055179596,0.1071910560131073,0.10841942578554153,0.19985732436180115,0.24768929183483124,0.28032591938972473,0.23715223371982574,0.11888636648654938,0.17971698939800262
for,0.3308170735836029,0.318512886762619,0.12958186864852905,0.2845272719860077,0.39312878251075745,0.3046240508556366,0.34237727522850037,0.4739971458911896,0.18573740124702454,0.264628142118454
what,0.6468034982681274,0.4259131848812103,0.2134782373905182,0.3217031955718994,0.26976513862609863,0.29806870222091675,0.2838611304759979,0.42745697498321533,0.20256435871124268,0.5051238536834717
has,0.26820555329322815,0.2124989777803421,0.11117470264434814,0.191810742020607,0.2611220180988312,0.15350091457366943,0.2743658423423767,0.4177538752555847,0.21257302165031433,0.15994466841220856
been,0.26456597447395325,0.2835664749145508,0.14683249592781067,0.1950061023235321,0.2785126268863678,0.15566183626651764,0.2504468560218811,0.3563927710056305,0.1839655190706253,0.24354910850524902
described,0.2526073157787323,0.23657096922397614,0.14043772220611572,0.653712809085846,0.1998966485261917,0.2037225216627121,0.1767263114452362,0.2878154516220093,0.13307857513427734,0.1374269425868988
as,0.33782753348350525,0.3596470057964325,0.20242992043495178,0.32652774453163147,0.3146366477012634,0.22636070847511292,0.28092536330223083,0.48381632566452026,0.21858684718608856,0.27043893933296204
``,-0.01591024175286293,-0.029888948425650597,-0.013964727520942688,0.03843066468834877,0.008275155909359455,0.015908466652035713,-0.07642947137355804,0.029072100296616554,-0.05806000158190727,0.0685480609536171
a,0.29312583804130554,0.2552328109741211,0.17967689037322998,0.3062607944011688,0.3497250974178314,0.23662391304969788,0.3095070421695709,0.5829201340675354,0.20256656408309937,0.23916715383529663
day,0.20268619060516357,0.20275387167930603,0.19808611273765564,0.08691040426492691,0.24784664809703827,0.15073828399181366,0.27667680382728577,0.3062323033809662,0.17589150369167328,0.2141837179660797
of,0.2480744868516922,0.2513895630836487,0.1719115972518921,0.2764313519001007,0.38364991545677185,0.23709416389465332,0.42558613419532776,0.733189046382904,0.30646374821662903,0.1826142966747284
rote,0.09301137924194336,0.1313164085149765,0.21036487817764282,0.1485133320093155,0.1235121488571167,0.0975775197148323,0.17890994250774384,0.1879405379295349,0.15501855313777924,0.12538769841194153
learning,0.3268411159515381,0.22718432545661926,0.13097092509269714,0.2384280413389206,0.2547565698623657,0.9999998807907104,0.22934198379516602,0.2504628002643585,0.29980435967445374,0.25810256600379944
and,0.33647966384887695,0.34479495882987976,0.20796556770801544,0.24788004159927368,0.4234102666378021,0.2687397301197052,0.3571503460407257,0.5171257257461548,0.2665814459323883,0.20544172823429108
often,0.41107481718063354,0.26973026990890503,0.13597606122493744,0.49216532707214355,0.30419299006462097,0.29893597960472107,0.24406926333904266,0.38004449009895325,0.16729412972927094,0.23748154938220978
wearying,0.33652618527412415,0.29713353514671326,0.2123323529958725,0.30351945757865906,0.4009762108325958,0.3743710517883301,0.22774140536785126,0.35345304012298584,0.18733647465705872,0.20927129685878754
spiritual,0.18180760741233826,0.20156888663768768,0.2933351993560791,0.24918632209300995,0.29354363679885864,0.2984645664691925,0.12632715702056885,0.2149372547864914,0.18143613636493683,0.1801415979862213
exercises,0.23518964648246765,0.1745564043521881,0.08668014407157898,0.21895238757133484,0.23984162509441376,0.3571344017982483,0.14617717266082764,0.23629003763198853,0.13241344690322876,0.17081190645694733
.,0.3287222981452942,0.35288307070732117,0.24907569587230682,0.17917026579380035,0.3119256794452667,0.24872951209545135,0.4549728035926819,0.5934505462646484,0.290679007768631,0.4130953550338745
'',-0.0029843549709767103,0.01978493109345436,-0.04572787508368492,0.07821051776409149,0.016508836299180984,0.05786193534731865,0.04379578307271004,0.041273195296525955,0.0635535717010498,0.018684765323996544
