,how,much,time,was,left,in,the,quarter,when,stewart,got,the,touchdown,?
newton,0.2514588236808777,0.18355298042297363,0.24373620748519897,0.25264593958854675,0.03717528656125069,0.23639483749866486,0.1876603662967682,0.18165357410907745,0.16569024324417114,0.3106647729873657,0.13640323281288147,0.1876603662967682,0.29466405510902405,0.09645649790763855
completed,0.2009071707725525,0.19402572512626648,0.25892701745033264,0.3156263828277588,0.21439771354198456,0.2960484027862549,0.29278936982154846,0.18916314840316772,0.1893177628517151,0.15951001644134521,0.22905148565769196,0.29278936982154846,0.24650275707244873,0.08272653818130493
4,-0.09503452479839325,-0.06267263740301132,-0.017147652804851532,0.23394860327243805,0.08582615852355957,0.08310048282146454,0.15499350428581238,0.04650497063994408,0.06794765591621399,0.12183703482151031,0.12990136444568634,0.15499350428581238,-0.0011191320372745395,0.010515431873500347
of,0.2480744868516922,0.2671096920967102,0.35127586126327515,0.4069072902202606,0.2218635529279709,0.5696388483047485,0.733189046382904,0.30494412779808044,0.3757161796092987,0.19252897799015045,0.2380109280347824,0.733189046382904,0.15340197086334229,0.1826142966747284
4,-0.09503452479839325,-0.06267263740301132,-0.017147652804851532,0.23394860327243805,0.08582615852355957,0.08310048282146454,0.15499350428581238,0.04650497063994408,0.06794765591621399,0.12183703482151031,0.12990136444568634,0.15499350428581238,-0.0011191320372745395,0.010515431873500347
passes,0.2305745780467987,0.21145445108413696,0.18538381159305573,0.1631097048521042,0.11864467710256577,0.2780042290687561,0.3752402365207672,0.2123313695192337,0.27299174666404724,0.052904579788446426,0.15404118597507477,0.3752402365207672,0.431114137172699,0.09716983139514923
for,0.3308170735836029,0.2994346022605896,0.3992156386375427,0.3863949179649353,0.19966527819633484,0.4322226941585541,0.4739971458911896,0.23415552079677582,0.43402108550071716,0.18704523146152496,0.293374627828598,0.4739971458911896,0.26143357157707214,0.264628142118454
51,-0.0459023080766201,-0.03153356537222862,0.01911572925746441,0.1141124963760376,0.04614699259400368,0.12868954241275787,0.026102188974618912,0.07929418981075287,0.010360246524214745,-0.0023970254696905613,0.029205430299043655,0.026102188974618912,0.050676796585321426,-0.06252402067184448
yards,0.1345205456018448,0.10870033502578735,0.2100679725408554,0.1823360025882721,0.20534203946590424,0.14206624031066895,0.16070343554019928,0.32110607624053955,0.15404455363750458,0.17841756343841553,0.1256139725446701,0.16070343554019928,0.6753588914871216,0.12453813850879669
and,0.33647966384887695,0.38395699858665466,0.3025408685207367,0.3740963041782379,0.2571277916431427,0.4954058527946472,0.5171257257461548,0.24505728483200073,0.4716290831565857,0.27138739824295044,0.28609535098075867,0.5171257257461548,0.21398694813251495,0.20544172823429108
