,what,effort,was,luther,not,particularly,in,favor,of,?
``,0.008517155423760414,0.04928821697831154,-0.012679691426455975,-0.013964727520942688,0.09406080842018127,0.0989505872130394,0.04765888676047325,0.05903597176074982,0.06780257821083069,0.0685480609536171
regarding,0.36432263255119324,0.2751609683036804,0.19990648329257965,0.26201680302619934,0.37442684173583984,0.35961440205574036,0.2634240984916687,0.36117231845855713,0.2715161442756653,0.36967232823371887
the,0.42745697498321533,0.25344645977020264,0.48711544275283813,0.1759674996137619,0.4310511648654938,0.32132959365844727,0.6662389636039734,0.24460799992084503,0.733189046382904,0.22068053483963013
plan,0.2947953939437866,0.3768603205680847,0.2407723069190979,0.1809857338666916,0.30275988578796387,0.12798656523227692,0.23924663662910461,0.25866520404815674,0.2742128372192383,0.1961054503917694
to,0.455847829580307,0.39937761425971985,0.3636345863342285,0.18029534816741943,0.5149973034858704,0.33588847517967224,0.45010748505592346,0.28869640827178955,0.41548454761505127,0.29463258385658264
collect,0.3048895299434662,0.24569736421108246,0.0757865384221077,0.07448586821556091,0.2700701951980591,0.21107064187526703,0.17160189151763916,0.06578633189201355,0.23054981231689453,0.18531717360019684
my,0.3588488698005676,0.2703423798084259,0.21379706263542175,0.2192668318748474,0.302336722612381,0.21646937727928162,0.17660009860992432,0.2907108664512634,0.2089746594429016,0.4195883572101593
writings,0.31019967794418335,0.21198609471321106,0.21465790271759033,0.32714858651161194,0.23071597516536713,0.2347012460231781,0.2301568239927292,0.24591819941997528,0.24593348801136017,0.1770159751176834
in,0.30808621644973755,0.18001915514469147,0.45514053106307983,0.20523880422115326,0.3403114080429077,0.33242201805114746,1.0,0.2092810571193695,0.5696388483047485,0.20430970191955566
volumes,0.1425984501838684,0.14098255336284637,0.15308699011802673,0.1292167752981186,0.12295550107955933,0.1273260861635208,0.23068252205848694,0.1639573723077774,0.2531711161136627,0.11960393190383911
",",0.3087472915649414,0.21392761170864105,0.45456063747406006,0.23255878686904907,0.3769696354866028,0.3446059823036194,0.5201468467712402,0.2809197008609772,0.4946078956127167,0.31091248989105225
'',0.08143015950918198,-0.07003626227378845,0.04456103965640068,-0.04572787508368492,0.04262445494532585,-0.04785323888063431,0.07432962208986282,-0.061494749039411545,0.13035868108272552,0.018684765323996544
he,0.3114890456199646,0.2653455436229706,0.5410010814666748,0.2454872578382492,0.29440581798553467,0.27490246295928955,0.41690486669540405,0.14069893956184387,0.38706058263778687,0.2089974731206894
wrote,0.2664989233016968,0.1871948391199112,0.40092042088508606,0.24184277653694153,0.1716090738773346,0.2545282542705536,0.2898900806903839,0.1510845571756363,0.30241408944129944,0.19322504103183746
",",0.3087472915649414,0.21392761170864105,0.45456063747406006,0.23255878686904907,0.3769696354866028,0.3446059823036194,0.5201468467712402,0.2809197008609772,0.4946078956127167,0.31091248989105225
``,0.008517155423760414,0.04928821697831154,-0.012679691426455975,-0.013964727520942688,0.09406080842018127,0.0989505872130394,0.04765888676047325,0.05903597176074982,0.06780257821083069,0.0685480609536171
