,how,many,teams,have,had,a,15-1,record,for,the,regular,season,?
the,0.33890387415885925,0.4335206151008606,0.3164927661418915,0.40389683842658997,0.3875846862792969,0.5829201340675354,0.18179646134376526,0.23569516837596893,0.4739971458911896,1.0,0.3214086890220642,0.2507155239582062,0.22068053483963013
carolina,0.1482512354850769,0.12399670481681824,0.2294551134109497,0.14125782251358032,0.20392835140228271,0.1979188621044159,0.23832550644874573,0.18296502530574799,0.17749637365341187,0.24749229848384857,0.14601212739944458,0.2196287363767624,0.11847445368766785
panthers,0.1117783859372139,0.14744015038013458,0.41004884243011475,0.2049359530210495,0.1570805162191391,0.2255268394947052,0.1262941211462021,0.218548983335495,0.25358447432518005,0.2602776288986206,0.2117871195077896,0.3867887854576111,0.16608978807926178
became,0.10954522341489792,0.25642040371894836,0.16736291348934174,0.16746708750724792,0.4615839719772339,0.28774285316467285,0.14768581092357635,0.20369283854961395,0.3017078936100006,0.36325156688690186,0.1131877601146698,0.22485962510108948,0.11374033987522125
one,0.3213292360305786,0.4223630726337433,0.30337628722190857,0.4507926106452942,0.3595404326915741,0.4910551905632019,0.12775918841362,0.26469558477401733,0.384836345911026,0.5514441132545471,0.3271937370300293,0.24332979321479797,0.2673267424106598
of,0.2480744868516922,0.37253960967063904,0.27933305501937866,0.3802283704280853,0.37755560874938965,0.5052502155303955,0.19267389178276062,0.19289259612560272,0.4185989499092102,0.733189046382904,0.22916868329048157,0.1598338931798935,0.1826142966747284
only,0.36590442061424255,0.4670507609844208,0.2170780897140503,0.5199421048164368,0.3839550316333771,0.47549712657928467,0.11193782836198807,0.2610468566417694,0.49157920479774475,0.5497692227363586,0.34113046526908875,0.23518846929073334,0.2767370045185089
ten,0.26821833848953247,0.340677946805954,0.22380289435386658,0.28732630610466003,0.33391860127449036,0.23545676469802856,0.14118075370788574,0.24815617501735687,0.25671905279159546,0.3256247341632843,0.2104959785938263,0.2591884732246399,0.14471080899238586
teams,0.11085164546966553,0.1992911547422409,1.0,0.27656877040863037,0.19225463271141052,0.21163642406463623,0.18377935886383057,0.1979433000087738,0.25904974341392517,0.3164927661418915,0.3347216546535492,0.44570213556289673,0.11150168627500534
to,0.44169697165489197,0.40243685245513916,0.2634691894054413,0.4544740617275238,0.37984350323677063,0.45503583550453186,0.11846543103456497,0.22007153928279877,0.4451248347759247,0.535392165184021,0.30861178040504456,0.22382742166519165,0.29463258385658264
have,0.4370637536048889,0.5841760635375977,0.27656877040863037,0.9999999403953552,0.6263401508331299,0.338716596364975,0.1540241539478302,0.23839209973812103,0.41175219416618347,0.40389683842658997,0.3675557076931,0.20235268771648407,0.32991164922714233
completed,0.2009071707725525,0.13555161654949188,0.2166958600282669,0.16230647265911102,0.285506933927536,0.2692357301712036,0.17070633172988892,0.1747547686100006,0.252206027507782,0.29278936982154846,0.14213715493679047,0.19156087934970856,0.08272653818130493
a,0.29312583804130554,0.2872205972671509,0.21163642406463623,0.338716596364975,0.34897568821907043,1.0,0.19046682119369507,0.2588478624820709,0.44038116931915283,0.5829201340675354,0.313107967376709,0.1855505406856537,0.23916715383529663
regular,0.2358456701040268,0.31490984559059143,0.3347216546535492,0.3675557076931,0.2647917866706848,0.313107967376709,0.07973146438598633,0.2587777376174927,0.3314341604709625,0.3214086890220642,1.0,0.4002528786659241,0.18334713578224182
season,0.13036081194877625,0.14251810312271118,0.44570213556289673,0.20235268771648407,0.1978970468044281,0.1855505406856537,0.11033152788877487,0.2865971624851227,0.24490800499916077,0.2507155239582062,0.4002528786659241,1.0,0.16793298721313477
with,0.3525622487068176,0.35744401812553406,0.20248530805110931,0.48046383261680603,0.4739086329936981,0.3783375024795532,0.10393177717924118,0.19528687000274658,0.39140474796295166,0.4223487675189972,0.3385944962501526,0.26700887084007263,0.2433311939239502
only,0.36590442061424255,0.4670507609844208,0.2170780897140503,0.5199421048164368,0.3839550316333771,0.47549712657928467,0.11193782836198807,0.2610468566417694,0.49157920479774475,0.5497692227363586,0.34113046526908875,0.23518846929073334,0.2767370045185089
one,0.3213292360305786,0.4223630726337433,0.30337628722190857,0.4507926106452942,0.3595404326915741,0.4910551905632019,0.12775918841362,0.26469558477401733,0.384836345911026,0.5514441132545471,0.3271937370300293,0.24332979321479797,0.2673267424106598
