,in,what,century,was,the,yarrow-schlick-tweedy,balancing,system,used,?
in,1.0,0.30808621644973755,0.3174034655094147,0.45514053106307983,0.6662389636039734,0.2656446099281311,0.25563758611679077,0.21978288888931274,0.3090210556983948,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.48711544275283813,1.0,0.3265240788459778,0.34238383173942566,0.3233085572719574,0.3718377649784088,0.22068053483963013
late,0.3439198434352875,0.1576872020959854,0.42292845249176025,0.4393066465854645,0.31481194496154785,0.26180341839790344,0.1775761991739273,0.2290036529302597,0.16762472689151764,0.11339222639799118
19th,0.15408828854560852,0.11525199562311172,0.25699272751808167,0.24231374263763428,0.24964287877082825,0.23014326393604279,0.14966829121112823,0.13870440423488617,0.19127248227596283,0.004712673369795084
century,0.3174034655094147,0.20422613620758057,1.0,0.3521432876586914,0.3617299497127533,0.2634422481060028,0.17638684809207916,0.17907974123954773,0.29442450404167175,0.1026201918721199
",",0.5201468467712402,0.3087472915649414,0.24487493932247162,0.45456063747406006,0.4933079481124878,0.37509575486183167,0.2565169334411621,0.18439900875091553,0.3120402991771698,0.31091248989105225
the,0.6662389636039734,0.42745697498321533,0.3617299497127533,0.48711544275283813,1.0,0.3265240788459778,0.34238383173942566,0.3233085572719574,0.3718377649784088,0.22068053483963013
yarrow-schlick-tweedy,0.2656446099281311,0.2421625703573227,0.2634422481060028,0.25663259625434875,0.3265240788459778,1.0,0.22049766778945923,0.16915343701839447,0.2713063657283783,0.23404917120933533
balancing,0.25563758611679077,0.26671549677848816,0.17638684809207916,0.20200280845165253,0.34238383173942566,0.22049766778945923,0.9999999403953552,0.2562384307384491,0.27658262848854065,0.24258258938789368
'system,0.17968574166297913,0.2265632003545761,0.16245581209659576,0.1793411523103714,0.27583110332489014,0.2735500931739807,0.2765128016471863,0.8882012963294983,0.32143333554267883,0.2222968190908432
',0.4158826768398285,0.3245812654495239,0.15120624005794525,0.33675912022590637,0.474788099527359,0.2867121398448944,0.17410868406295776,0.15434524416923523,0.24871127307415009,0.330942302942276
was,0.45514053106307983,0.22111038863658905,0.3521432876586914,1.0000001192092896,0.48711544275283813,0.25663259625434875,0.20200280845165253,0.2147521674633026,0.23679393529891968,0.18412111699581146
used,0.3090210556983948,0.27546408772468567,0.29442450404167175,0.23679393529891968,0.3718377649784088,0.2713063657283783,0.27658262848854065,0.27983206510543823,0.9999998807907104,0.22430120408535004
on,0.46853652596473694,0.34226128458976746,0.14449788630008698,0.3909217119216919,0.5107308030128479,0.26454588770866394,0.25562915205955505,0.21675898134708405,0.24785758554935455,0.2714994251728058
some,0.4010399878025055,0.4491020441055298,0.2587970793247223,0.21528802812099457,0.4566698372364044,0.31507179141044617,0.3290216326713562,0.26198622584342957,0.43712347745895386,0.2562315762042999
marine,0.24858763813972473,0.15737493336200714,0.15417319536209106,0.14990459382534027,0.2547752857208252,0.3006550669670105,0.1322513371706009,0.14977160096168518,0.22811582684516907,0.1407923698425293
triple,0.18327002227306366,0.1699010133743286,0.13219068944454193,0.20607773959636688,0.23220868408679962,0.23247846961021423,0.17368818819522858,0.15044809877872467,0.13288719952106476,0.10550399124622345
expansion,0.20021484792232513,0.2671823799610138,0.19096499681472778,0.16902519762516022,0.31353142857551575,0.1497722715139389,0.24743227660655975,0.24165496230125427,0.17978183925151825,0.18286365270614624
engines,0.18084456026554108,0.1634974628686905,0.15469561517238617,0.18948708474636078,0.2245008647441864,0.2270723432302475,0.2546047866344452,0.2097284197807312,0.2519303560256958,0.18940703570842743
.,0.5591574311256409,0.3567904531955719,0.27413639426231384,0.40146201848983765,0.5934505462646484,0.34455606341362,0.2721911072731018,0.2277725487947464,0.33111312985420227,0.4130953550338745
