,what,did,mlolongo,system,lead,to,?
this,0.5489566326141357,0.3609912693500519,0.23977908492088318,0.3294329345226288,0.22887954115867615,0.5759071707725525,0.3155723512172699
was,0.22111038863658905,0.41399896144866943,0.2526005506515503,0.2147521674633026,0.1970783770084381,0.3636345863342285,0.18412111699581146
seen,0.3087027072906494,0.23731118440628052,0.16060000658035278,0.1774182766675949,0.1826418936252594,0.2634880542755127,0.2567344307899475
as,0.31749409437179565,0.3596470057964325,0.23445647954940796,0.1973835676908493,0.2644319534301758,0.42092081904411316,0.27043893933296204
the,0.42745697498321533,0.34736719727516174,0.3588796555995941,0.3233085572719574,0.21995973587036133,0.535392165184021,0.22068053483963013
climax,0.2561795711517334,0.12318861484527588,0.2399970144033432,0.0853516086935997,0.18840551376342773,0.21382184326648712,0.175149604678154
of,0.33290785551071167,0.2513895630836487,0.2946107089519501,0.25597915053367615,0.19835850596427917,0.41548454761505127,0.1826142966747284
a,0.3320399522781372,0.2552328109741211,0.2735391855239868,0.2589043080806732,0.20661775767803192,0.45503583550453186,0.23916715383529663
very,0.37053924798965454,0.3388260006904602,0.12297380715608597,0.1921422928571701,0.2065478265285492,0.3902553617954254,0.20864155888557434
undemocratic,0.2257508784532547,0.1601661890745163,0.3364602327346802,0.2075333148241043,0.18566080927848816,0.21718405187129974,0.17462058365345
regime,0.17682157456874847,0.18920215964317322,0.21447184681892395,0.16655129194259644,0.20332084596157074,0.25591278076171875,0.15561191737651825
and,0.31309178471565247,0.34479495882987976,0.27657556533813477,0.231138214468956,0.31077226996421814,0.48971283435821533,0.20544172823429108
it,0.45803478360176086,0.2993364930152893,0.2333499640226364,0.30691424012184143,0.22755342721939087,0.513711154460907,0.25732165575027466
led,0.12112844735383987,0.3213953971862793,0.2293636053800583,0.13401129841804504,0.3712044358253479,0.21815308928489685,0.09273858368396759
to,0.455847829580307,0.4452643394470215,0.20948578417301178,0.26662686467170715,0.23490607738494873,1.0,0.29463258385658264
widespread,0.236628457903862,0.23944862186908722,0.2912519574165344,0.2480463981628418,0.23326635360717773,0.2658514082431793,0.16958627104759216
agitation,0.20616403222084045,0.1456533819437027,0.22456538677215576,0.2569335401058197,0.17667162418365479,0.2735937237739563,0.2258286476135254
for,0.3017193675041199,0.318512886762619,0.23812533915042877,0.2630598843097687,0.29822173714637756,0.4451248347759247,0.264628142118454
constitutional,0.24835939705371857,0.2400074154138565,0.22942975163459778,0.23049718141555786,0.15941421687602997,0.2574991285800934,0.2199033498764038
reform,0.20049384236335754,0.2208065688610077,0.20439079403877258,0.2521553635597229,0.17259712517261505,0.30886903405189514,0.14216484129428864
.,0.3567904531955719,0.35288307070732117,0.34179556369781494,0.2277725487947464,0.2305188626050949,0.4645031690597534,0.4130953550338745
