,what,were,the,two,main,theories,of,immunity,at,the,end,of,the,19th,century,?
the,0.42745697498321533,0.3906462490558624,1.0,0.43858039379119873,0.38631999492645264,0.24012529850006104,0.733189046382904,0.25992491841316223,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
end,0.29234179854393005,0.199965700507164,0.39658910036087036,0.23784443736076355,0.18217483162879944,0.1290418803691864,0.2215006798505783,0.16075977683067322,0.3223728835582733,0.39658910036087036,1.0,0.2215006798505783,0.39658910036087036,0.19122819602489471,0.21640616655349731,0.12543344497680664
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.37726253271102905,0.3177044689655304,0.25074607133865356,1.0,0.17778201401233673,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.733189046382904,0.16605104506015778,0.2826060354709625,0.1826142966747284
the,0.42745697498321533,0.3906462490558624,1.0,0.43858039379119873,0.38631999492645264,0.24012529850006104,0.733189046382904,0.25992491841316223,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
19th,0.11525199562311172,0.13102512061595917,0.24964287877082825,0.14098335802555084,0.09929303824901581,0.14645005762577057,0.16605104506015778,0.16546481847763062,0.09796708077192307,0.24964287877082825,0.19122819602489471,0.16605104506015778,0.24964287877082825,1.0,0.25699272751808167,0.004712673369795084
century,0.20422613620758057,0.34997639060020447,0.3617299497127533,0.1838531643152237,0.19694574177265167,0.3019600808620453,0.2826060354709625,0.0900563970208168,0.16390062868595123,0.3617299497127533,0.21640616655349731,0.2826060354709625,0.3617299497127533,0.25699272751808167,1.0,0.1026201918721199
and,0.31309178471565247,0.42175528407096863,0.5171257257461548,0.4671151638031006,0.29831406474113464,0.2395821362733841,0.5116966962814331,0.19186724722385406,0.3571503460407257,0.5171257257461548,0.24708716571331024,0.5116966962814331,0.5171257257461548,0.2922728657722473,0.2726690471172333,0.20544172823429108
the,0.42745697498321533,0.3906462490558624,1.0,0.43858039379119873,0.38631999492645264,0.24012529850006104,0.733189046382904,0.25992491841316223,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
beginning,0.3351518511772156,0.31133952736854553,0.49622642993927,0.27757659554481506,0.27936580777168274,0.23432056605815887,0.36558160185813904,0.14962494373321533,0.3329997658729553,0.49622642993927,0.5749285817146301,0.36558160185813904,0.49622642993927,0.2265903353691101,0.4251898229122162,0.19413669407367706
of,0.33290785551071167,0.34038281440734863,0.733189046382904,0.37726253271102905,0.3177044689655304,0.25074607133865356,1.0,0.17778201401233673,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.733189046382904,0.16605104506015778,0.2826060354709625,0.1826142966747284
the,0.42745697498321533,0.3906462490558624,1.0,0.43858039379119873,0.38631999492645264,0.24012529850006104,0.733189046382904,0.25992491841316223,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,1.0,0.24964287877082825,0.3617299497127533,0.22068053483963013
20th,0.1850772649049759,0.10248053073883057,0.3097512125968933,0.16819386184215546,0.18832063674926758,0.1493327021598816,0.21726468205451965,0.0837155357003212,0.13187962770462036,0.3097512125968933,0.2590530514717102,0.21726468205451965,0.3097512125968933,0.7982053756713867,0.2968566119670868,0.14985637366771698
century,0.20422613620758057,0.34997639060020447,0.3617299497127533,0.1838531643152237,0.19694574177265167,0.3019600808620453,0.2826060354709625,0.0900563970208168,0.16390062868595123,0.3617299497127533,0.21640616655349731,0.2826060354709625,0.3617299497127533,0.25699272751808167,1.0,0.1026201918721199
saw,0.24788837134838104,0.4311434328556061,0.318278044462204,0.19763456284999847,0.2472994178533554,0.21237358450889587,0.28204935789108276,0.08873740583658218,0.2819630205631256,0.318278044462204,0.1767025589942932,0.28204935789108276,0.318278044462204,0.19280996918678284,0.268638014793396,0.14690998196601868
