,who,were,responsible,for,the,interior,decorations,of,the,green,dining,room,?
the,0.3733934462070465,0.3906462490558624,0.3305104374885559,0.4739971458911896,1.0,0.30233609676361084,0.30381208658218384,0.733189046382904,1.0,0.24099771678447723,0.311797171831131,0.2031363844871521,0.22068053483963013
green,0.13264280557632446,0.10825573652982712,0.07448988407850266,0.1723674237728119,0.24099771678447723,0.0930352732539177,0.20847702026367188,0.2225196659564972,0.24099771678447723,1.0,0.19945994019508362,0.08151448518037796,0.11409882456064224
dining,0.2001863420009613,0.2195723056793213,0.1825888603925705,0.29200977087020874,0.311797171831131,0.31674742698669434,0.3900950849056244,0.3001015782356262,0.311797171831131,0.19945994019508362,1.0,0.49505338072776794,0.13553477823734283
room,0.2733173370361328,0.18205173313617706,0.10415267199277878,0.23959091305732727,0.2031363844871521,0.279415100812912,0.24428793787956238,0.15195634961128235,0.2031363844871521,0.08151448518037796,0.49505338072776794,1.0000001192092896,0.1769251674413681
1866–68,0.16078299283981323,0.16080404818058014,0.1507847160100937,0.12619739770889282,0.17399512231349945,0.03284130617976189,0.20913268625736237,0.15213808417320251,0.17399512231349945,0.10216154158115387,0.10371491312980652,0.027164796367287636,0.1301257163286209
was,0.3318818509578705,0.590133786201477,0.2582622170448303,0.3863949179649353,0.48711544275283813,0.2296953946352005,0.18994881212711334,0.4069072902202606,0.48711544275283813,0.1478928029537201,0.20881572365760803,0.18439160287380219,0.18412111699581146
the,0.3733934462070465,0.3906462490558624,0.3305104374885559,0.4739971458911896,1.0,0.30233609676361084,0.30381208658218384,0.733189046382904,1.0,0.24099771678447723,0.311797171831131,0.2031363844871521,0.22068053483963013
work,0.3146236836910248,0.23814889788627625,0.25206050276756287,0.4087657630443573,0.2704800069332123,0.20462852716445923,0.2770400047302246,0.23473061621189117,0.2704800069332123,0.09141144901514053,0.2340283840894699,0.2162027657032013,0.2621155381202698
of,0.2827862501144409,0.34038281440734863,0.37070101499557495,0.4185989499092102,0.733189046382904,0.31906411051750183,0.29008445143699646,1.0,0.733189046382904,0.2225196659564972,0.3001015782356262,0.15195634961128235,0.1826142966747284
philip,0.25307518243789673,0.1992754489183426,0.04799306020140648,0.2110455334186554,0.21499985456466675,0.12112826853990555,0.14616690576076508,0.24375313520431519,0.21499985456466675,0.21186774969100952,0.19445884227752686,0.1563444584608078,0.11887923628091812
webb,0.27205929160118103,0.2367933690547943,0.16317039728164673,0.24088044464588165,0.2468639612197876,0.1703626811504364,0.12319356203079224,0.18528813123703003,0.2468639612197876,0.24609118700027466,0.19615639746189117,0.1369001716375351,0.11173157393932343
and,0.41279885172843933,0.42175528407096863,0.29945531487464905,0.5064792633056641,0.5171257257461548,0.22730383276939392,0.3069160282611847,0.5116966962814331,0.5171257257461548,0.24945476651191711,0.25931546092033386,0.2611854374408722,0.20544172823429108
william,0.32068803906440735,0.18914814293384552,0.04940251633524895,0.1626022756099701,0.21537061035633087,0.1588899791240692,0.1920516937971115,0.20272590219974518,0.21537061035633087,0.1678621619939804,0.220128133893013,0.14411498606204987,0.14462219178676605
morris,0.2211158573627472,0.21091896295547485,0.07932297885417938,0.21957778930664062,0.20765291154384613,0.17907169461250305,0.14432094991207123,0.19722257554531097,0.20765291154384613,0.19211816787719727,0.29274699091911316,0.23831914365291595,0.1809966117143631
",",0.3365725874900818,0.36755475401878357,0.2192283272743225,0.4464869201183319,0.4933079481124878,0.2132241129875183,0.2831108868122101,0.4946078956127167,0.4933079481124878,0.2583938241004944,0.25082844495773315,0.1888306885957718,0.31091248989105225
and,0.41279885172843933,0.42175528407096863,0.29945531487464905,0.5064792633056641,0.5171257257461548,0.22730383276939392,0.3069160282611847,0.5116966962814331,0.5171257257461548,0.24945476651191711,0.25931546092033386,0.2611854374408722,0.20544172823429108
displays,0.08302920311689377,0.16464100778102875,0.1986711472272873,0.29270803928375244,0.287814199924469,0.13224923610687256,0.3253355622291565,0.25520673394203186,0.287814199924469,0.21500101685523987,0.28068819642066956,0.21646077930927277,0.13452474772930145
elizabethan,0.2858293056488037,0.23916849493980408,0.07106957584619522,0.2004697322845459,0.2332509458065033,0.1013239175081253,0.1983848512172699,0.23339958488941193,0.2332509458065033,0.12690037488937378,0.2738056182861328,0.18567655980587006,0.15590037405490875
influences,0.20543833076953888,0.14804667234420776,0.16790275275707245,0.12965962290763855,0.18077638745307922,0.16372336447238922,0.18727709352970123,0.22432047128677368,0.18077638745307922,0.09754336625337601,0.11974934488534927,0.1191793754696846,0.13263073563575745
.,0.3541337847709656,0.3378238379955292,0.2309054434299469,0.4726039469242096,0.5934505462646484,0.261873334646225,0.2727060914039612,0.5352458953857422,0.5934505462646484,0.23737919330596924,0.25001537799835205,0.22915366291999817,0.4130953550338745
