,who,was,the,most,frequent,musical,contributor,to,doctor,who,in,the,first,15,years,of,the,show,?
the,0.3733934462070465,0.48711544275283813,1.0,0.47635307908058167,0.20967717468738556,0.2295164167881012,0.23006539046764374,0.535392165184021,0.2820442318916321,0.3733934462070465,0.6662389636039734,1.0,0.49448907375335693,-0.011810222640633583,0.2912273406982422,0.733189046382904,1.0,0.319829523563385,0.22068053483963013
most,0.35393568873405457,0.29933857917785645,0.47635307908058167,1.0,0.3056711256504059,0.18545719981193542,0.22883443534374237,0.321603000164032,0.17011499404907227,0.35393568873405457,0.41416558623313904,0.47635307908058167,0.34339818358421326,-0.028328396379947662,0.2278384268283844,0.4178851246833801,0.47635307908058167,0.20260784029960632,0.2107497900724411
frequent,0.19059567153453827,0.11984183639287949,0.20967717468738556,0.3056711256504059,1.0,0.11155889928340912,0.2126890867948532,0.2616426348686218,0.11692483723163605,0.19059567153453827,0.20610728859901428,0.20967717468738556,0.18407949805259705,-0.05394243076443672,0.08177227526903152,0.17798742651939392,0.20967717468738556,0.23469515144824982,0.13923750817775726
musical,0.20065560936927795,0.22424104809761047,0.2295164167881012,0.18545719981193542,0.11155889928340912,1.0,0.17877717316150665,0.21814438700675964,0.06514458358287811,0.20065560936927795,0.21993057429790497,0.2295164167881012,0.2284097969532013,0.13926880061626434,0.13289402425289154,0.2380346953868866,0.2295164167881012,0.2979632019996643,0.187048077583313
contributor,0.25788000226020813,0.24250824749469757,0.23006539046764374,0.22883443534374237,0.2126890867948532,0.17877717316150665,1.0000001192092896,0.2564351558685303,0.17862272262573242,0.25788000226020813,0.21208368241786957,0.23006539046764374,0.1951632797718048,-0.037706099450588226,0.1517437994480133,0.1833135336637497,0.23006539046764374,0.20572425425052643,0.32557573914527893
during,0.30551859736442566,0.4470829963684082,0.4838213622570038,0.3715948462486267,0.29697802662849426,0.1305876225233078,0.16782021522521973,0.2828781306743622,0.19493472576141357,0.30551859736442566,0.4627237319946289,0.4838213622570038,0.45377472043037415,0.06340177357196808,0.39110565185546875,0.3869180977344513,0.4838213622570038,0.2252446562051773,0.1325719803571701
the,0.3733934462070465,0.48711544275283813,1.0,0.47635307908058167,0.20967717468738556,0.2295164167881012,0.23006539046764374,0.535392165184021,0.2820442318916321,0.3733934462070465,0.6662389636039734,1.0,0.49448907375335693,-0.011810222640633583,0.2912273406982422,0.733189046382904,1.0,0.319829523563385,0.22068053483963013
first,0.39065709710121155,0.5022147297859192,0.49448907375335693,0.34339818358421326,0.18407949805259705,0.2284097969532013,0.1951632797718048,0.3792489171028137,0.27244147658348083,0.39065709710121155,0.4127444326877594,0.49448907375335693,1.0,-0.008040252141654491,0.2958037853240967,0.3536086082458496,0.49448907375335693,0.23758427798748016,0.18701928853988647
15,0.04823268577456474,0.08381640166044235,-0.011810222640633583,-0.028328396379947662,-0.05394243076443672,0.13926880061626434,-0.037706099450588226,-0.047946229577064514,-0.02612278051674366,0.04823268577456474,0.02424248494207859,-0.011810222640633583,-0.008040252141654491,0.9999999403953552,0.0007163169793784618,-0.02319195494055748,-0.011810222640633583,0.08269689232110977,-0.010706285014748573
years,0.29867154359817505,0.35855233669281006,0.2912273406982422,0.2278384268283844,0.08177227526903152,0.13289402425289154,0.1517437994480133,0.23891852796077728,0.1280619502067566,0.29867154359817505,0.33554986119270325,0.2912273406982422,0.2958037853240967,0.0007163169793784618,1.0,0.2904134690761566,0.2912273406982422,0.1147797629237175,0.1914375126361847
was,0.3318818509578705,1.0000001192092896,0.48711544275283813,0.29933857917785645,0.11984183639287949,0.22424104809761047,0.24250824749469757,0.3636345863342285,0.19672659039497375,0.3318818509578705,0.45514053106307983,0.48711544275283813,0.5022147297859192,0.08381640166044235,0.35855233669281006,0.4069072902202606,0.48711544275283813,0.20142383873462677,0.18412111699581146
dudley,0.22770792245864868,0.24012890458106995,0.21380428969860077,0.1023874506354332,0.07486874610185623,0.15656034648418427,0.11409282684326172,0.24299752712249756,0.22625800967216492,0.22770792245864868,0.1809740513563156,0.21380428969860077,0.14977309107780457,0.0605856291949749,0.15587304532527924,0.22010725736618042,0.21380428969860077,0.2015477865934372,0.1780501902103424
simpson,0.15358659625053406,0.2131803035736084,0.23521888256072998,0.1580846607685089,0.22540134191513062,0.11423028260469437,0.17936481535434723,0.2065666913986206,0.2186002880334854,0.15358659625053406,0.22717128694057465,0.23521888256072998,0.18874526023864746,-0.07247690856456757,0.11145426332950592,0.1791120320558548,0.23521888256072998,0.25014564394950867,0.16581538319587708
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.3636029064655304,0.1712440401315689,0.2668933868408203,0.2753168046474457,0.44245919585227966,0.20407600700855255,0.3365725874900818,0.5201468467712402,0.4933079481124878,0.34503069519996643,-0.03563398867845535,0.2589467465877533,0.4946078956127167,0.4933079481124878,0.31928569078445435,0.31091248989105225
who,0.9999998807907104,0.3318818509578705,0.3733934462070465,0.35393568873405457,0.19059567153453827,0.20065560936927795,0.25788000226020813,0.42656609416007996,0.3504868149757385,0.9999998807907104,0.2792111933231354,0.3733934462070465,0.39065709710121155,0.04823268577456474,0.29867154359817505,0.2827862501144409,0.3733934462070465,0.2095358669757843,0.26220351457595825
is,0.24293622374534607,0.5810302495956421,0.5823672413825989,0.41165053844451904,0.19669964909553528,0.163146510720253,0.25014519691467285,0.42745086550712585,0.19875872135162354,0.24293622374534607,0.5394441485404968,0.5823672413825989,0.30889374017715454,-0.00426758686080575,0.19551363587379456,0.4854315221309662,0.5823672413825989,0.2144283652305603,0.22961433231830597
also,0.47919341921806335,0.4032125174999237,0.6021018624305725,0.5312551259994507,0.3202934265136719,0.198207825422287,0.22686631977558136,0.5348826050758362,0.2990783452987671,0.47919341921806335,0.5073733329772949,0.6021018624305725,0.43768298625946045,-0.02826220914721489,0.22752662003040314,0.4924938678741455,0.6021018624305725,0.32992470264434814,0.21848613023757935
well,0.3480316996574402,0.3130364418029785,0.42630070447921753,0.4756048619747162,0.2598598897457123,0.28182491660118103,0.2638440430164337,0.3422003388404846,0.1410580575466156,0.3480316996574402,0.36612698435783386,0.42630070447921753,0.320014625787735,-0.011812519282102585,0.27896180748939514,0.3343164324760437,0.42630070447921753,0.2877497673034668,0.24815571308135986
known,0.24757125973701477,0.35203275084495544,0.3624623417854309,0.3850763440132141,0.21658383309841156,0.1644485741853714,0.19631853699684143,0.14337651431560516,0.1213516891002655,0.24757125973701477,0.32641831040382385,0.3624623417854309,0.274125337600708,-0.01936565525829792,0.2360212802886963,0.35814476013183594,0.3624623417854309,0.19663648307323456,0.18314571678638458
for,0.37110671401023865,0.3863949179649353,0.4739971458911896,0.3906237483024597,0.22613394260406494,0.2526215612888336,0.2598300278186798,0.4451248347759247,0.1556548923254013,0.37110671401023865,0.4322226941585541,0.4739971458911896,0.3800288736820221,0.03940015658736229,0.2878222167491913,0.4185989499092102,0.4739971458911896,0.3141973614692688,0.264628142118454
his,0.44966956973075867,0.4405253231525421,0.4394008219242096,0.28864049911499023,0.17480996251106262,0.2372400313615799,0.22005285322666168,0.3715193271636963,0.2365143597126007,0.44966956973075867,0.3598145842552185,0.4394008219242096,0.3241460621356964,0.1206546276807785,0.3523389995098114,0.38364991545677185,0.4394008219242096,0.22677335143089294,0.18075084686279297
theme,0.1836521327495575,0.21860456466674805,0.2470158040523529,0.20248301327228546,0.18081142008304596,0.366659939289093,0.16374967992305756,0.20641355216503143,0.17665699124336243,0.1836521327495575,0.21164380013942719,0.2470158040523529,0.22544828057289124,-0.021354269236326218,0.15164946019649506,0.17537155747413635,0.2470158040523529,0.3105524778366089,0.21507632732391357
