,analysis,of,what,kind,of,deposits,from,the,amazon,fan,indicates,a,change,in,rainfall,in,the,amazon,basin,?
analyses,0.7486752867698669,0.21374760568141937,0.2285933792591095,0.16566860675811768,0.21374760568141937,0.3389583230018616,0.13907985389232635,0.23002441227436066,0.22053846716880798,0.03450397774577141,0.3601628243923187,0.22506090998649597,0.23781944811344147,0.17754743993282318,0.17282582819461823,0.17754743993282318,0.23002441227436066,0.22053846716880798,0.24374189972877502,0.17589309811592102
of,0.24679350852966309,1.0,0.33290785551071167,0.2285657674074173,1.0,0.3096405267715454,0.4249346852302551,0.733189046382904,0.20143137872219086,0.15768620371818542,0.31738752126693726,0.5052502155303955,0.2569013833999634,0.5696388483047485,0.2068331092596054,0.5696388483047485,0.733189046382904,0.20143137872219086,0.2557278275489807,0.1826142966747284
sediment,0.28368645906448364,0.2534373998641968,0.19542910158634186,0.19558940827846527,0.2534373998641968,0.6731237173080444,0.1958288848400116,0.2451712042093277,0.24430792033672333,0.1154395341873169,0.27633610367774963,0.18416576087474823,0.19752460718154907,0.2096979320049286,0.34905368089675903,0.2096979320049286,0.2451712042093277,0.24430792033672333,0.4551045596599579,0.14870919287204742
deposits,0.3035726547241211,0.3096405267715454,0.17664960026741028,0.17257125675678253,0.3096405267715454,1.0,0.24245448410511017,0.27324897050857544,0.20045168697834015,0.09262554347515106,0.25184401869773865,0.252344012260437,0.14652763307094574,0.23073440790176392,0.2702668607234955,0.23073440790176392,0.27324897050857544,0.20045168697834015,0.38898733258247375,0.1225230023264885
from,0.17278055846691132,0.4249346852302551,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.24245448410511017,1.0,0.40150508284568787,0.08236479759216309,0.10844606906175613,0.22120505571365356,0.322764128446579,0.17817987501621246,0.4274188280105591,0.20882150530815125,0.4274188280105591,0.40150508284568787,0.08236479759216309,0.19501222670078278,0.19969791173934937
amazon,0.1441737711429596,0.20143137872219086,0.16355936229228973,0.13268502056598663,0.20143137872219086,0.20045168697834015,0.08236479759216309,0.260541707277298,1.0000001192092896,0.2319728136062622,0.23369577527046204,0.1865728348493576,0.08936157077550888,0.12227833271026611,0.26409438252449036,0.12227833271026611,0.260541707277298,1.0000001192092896,0.41143864393234253,0.18144656717777252
basin,0.20970140397548676,0.2557278275489807,0.1565224826335907,0.10017956793308258,0.2557278275489807,0.38898733258247375,0.19501222670078278,0.24553915858268738,0.41143864393234253,0.14500099420547485,0.21186669170856476,0.21655717492103577,0.10718081146478653,0.22316701710224152,0.40976372361183167,0.22316701710224152,0.24553915858268738,0.41143864393234253,1.0,0.14685653150081635
paleolakes,0.2398308515548706,0.2788330912590027,0.2805918753147125,0.1698237657546997,0.2788330912590027,0.44648265838623047,0.2197895348072052,0.2863076329231262,0.27662381529808044,0.17383496463298798,0.24284909665584564,0.24092045426368713,0.2238304615020752,0.2976265251636505,0.30521395802497864,0.2976265251636505,0.2863076329231262,0.27662381529808044,0.43828609585762024,0.18062393367290497
and,0.23574496805667877,0.5116966962814331,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2642618715763092,0.3601827025413513,0.5171257257461548,0.23464977741241455,0.18782666325569153,0.24770644307136536,0.3739250600337982,0.2438346892595291,0.4954058527946472,0.21498344838619232,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.20293349027633667,0.20544172823429108
from,0.17278055846691132,0.4249346852302551,0.2737620174884796,0.1906990259885788,0.4249346852302551,0.24245448410511017,1.0,0.40150508284568787,0.08236479759216309,0.10844606906175613,0.22120505571365356,0.322764128446579,0.17817987501621246,0.4274188280105591,0.20882150530815125,0.4274188280105591,0.40150508284568787,0.08236479759216309,0.19501222670078278,0.19969791173934937
the,0.24241644144058228,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.27324897050857544,0.40150508284568787,1.0,0.260541707277298,0.163461834192276,0.29467737674713135,0.5829201340675354,0.3641999065876007,0.6662389636039734,0.24584579467773438,0.6662389636039734,1.0,0.260541707277298,0.24553915858268738,0.22068053483963013
amazon,0.1441737711429596,0.20143137872219086,0.16355936229228973,0.13268502056598663,0.20143137872219086,0.20045168697834015,0.08236479759216309,0.260541707277298,1.0000001192092896,0.2319728136062622,0.23369577527046204,0.1865728348493576,0.08936157077550888,0.12227833271026611,0.26409438252449036,0.12227833271026611,0.260541707277298,1.0000001192092896,0.41143864393234253,0.18144656717777252
fan,0.055139556527137756,0.15768620371818542,0.10274515300989151,0.18620151281356812,0.15768620371818542,0.09262554347515106,0.10844606906175613,0.163461834192276,0.2319728136062622,1.0,0.17105858027935028,0.2611137330532074,0.16034743189811707,0.09429174661636353,0.11228414624929428,0.09429174661636353,0.163461834192276,0.2319728136062622,0.14500099420547485,0.15863578021526337
indicate,0.33947136998176575,0.25098979473114014,0.24538113176822662,0.21867601573467255,0.25098979473114014,0.2521418631076813,0.2311631739139557,0.2430160641670227,0.1705303192138672,0.1737973392009735,0.8255166411399841,0.32298797369003296,0.3184593617916107,0.21759656071662903,0.14118735492229462,0.21759656071662903,0.2430160641670227,0.1705303192138672,0.17946135997772217,0.23544088006019592
that,0.34139660000801086,0.41498205065727234,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.24707520008087158,0.3477667272090912,0.5473989248275757,0.2228476107120514,0.22378204762935638,0.3756503462791443,0.47537946701049805,0.3988441526889801,0.435920387506485,0.18002696335315704,0.435920387506485,0.5473989248275757,0.2228476107120514,0.21932947635650635,0.32716336846351624
rainfall,0.1216387003660202,0.2068331092596054,0.1762358695268631,0.1042984127998352,0.2068331092596054,0.2702668607234955,0.20882150530815125,0.24584579467773438,0.26409438252449036,0.11228414624929428,0.15012401342391968,0.19354234635829926,0.18528537452220917,0.24792563915252686,1.0,0.24792563915252686,0.24584579467773438,0.26409438252449036,0.40976372361183167,0.17489276826381683
in,0.19403725862503052,0.5696388483047485,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.23073440790176392,0.4274188280105591,0.6662389636039734,0.12227833271026611,0.09429174661636353,0.2524528503417969,0.539380669593811,0.2510564923286438,1.0,0.24792563915252686,1.0,0.6662389636039734,0.12227833271026611,0.22316701710224152,0.20430970191955566
