,when,did,huguenots,colonize,in,north,america,?
barred,0.18498754501342773,0.24029265344142914,0.1841673105955124,0.16308170557022095,0.17998534440994263,0.19954733550548553,0.1998872607946396,0.15961766242980957
by,0.4376842677593231,0.18574509024620056,0.16713643074035645,0.16172046959400177,0.370934396982193,0.22664140164852142,0.20156630873680115,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,0.30745792388916016,0.31258752942085266,0.6662389636039734,0.36298373341560364,0.37090015411376953,0.22068053483963013
government,0.23078718781471252,0.2792121469974518,0.2685318887233734,0.2410050928592682,0.3066793978214264,0.22843784093856812,0.18066909909248352,0.18851417303085327
from,0.405669629573822,0.20248863101005554,0.17123448848724365,0.22319597005844116,0.4274188280105591,0.3180590271949768,0.1968681514263153,0.19969791173934937
settling,0.32683265209198,0.19064220786094666,0.2880564033985138,0.4773957431316376,0.2905094623565674,0.18838666379451752,0.23118318617343903,0.12231551110744476
in,0.4431333839893341,0.2593238651752472,0.25916293263435364,0.2625111937522888,1.0,0.39050599932670593,0.3098583221435547,0.20430970191955566
new,0.257220059633255,0.227974995970726,0.22766715288162231,0.2331225574016571,0.3758552670478821,0.24270093441009521,0.27665242552757263,0.14782847464084625
france,0.24438227713108063,0.2138325721025467,0.44966813921928406,0.24947106838226318,0.3812309503555298,0.28069406747817993,0.2988167703151703,0.15069349110126495
",",0.36674630641937256,0.3015086054801941,0.23394492268562317,0.23593486845493317,0.5201468467712402,0.31834840774536133,0.253568559885025,0.31091248989105225
huguenots,0.21745723485946655,0.2420482039451599,1.0,0.425656259059906,0.25916293263435364,0.24482622742652893,0.18316443264484406,0.16010338068008423
led,0.2072276622056961,0.3213953971862793,0.2371187061071396,0.23589015007019043,0.2990247309207916,0.17305970191955566,0.11462203413248062,0.09273858368396759
by,0.4376842677593231,0.18574509024620056,0.16713643074035645,0.16172046959400177,0.370934396982193,0.22664140164852142,0.20156630873680115,0.17966607213020325
jessé,0.09972842782735825,0.08549732714891434,0.21031449735164642,0.040011949837207794,0.18742714822292328,0.2033257782459259,0.16108426451683044,0.10367649048566818
de,0.15837545692920685,0.09745011478662491,0.33059367537498474,0.24020154774188995,0.24818959832191467,0.2310589700937271,0.18652130663394928,0.11064168810844421
forest,0.15727750957012177,0.09703946113586426,0.13425706326961517,0.18840152025222778,0.24136987328529358,0.26929935812950134,0.19092755019664764,0.1214437186717987
",",0.36674630641937256,0.3015086054801941,0.23394492268562317,0.23593486845493317,0.5201468467712402,0.31834840774536133,0.253568559885025,0.31091248989105225
sailed,0.21065457165241241,0.2615625262260437,0.3233170211315155,0.4413473904132843,0.21544454991817474,0.32107487320899963,0.2938961088657379,0.12435378134250641
to,0.5423505902290344,0.4452643394470215,0.2685132324695587,0.36184147000312805,0.45010748505592346,0.2743184268474579,0.2636699676513672,0.29463258385658264
