,where,is,the,largest,number,of,tourist,coming,from,?
tourists,0.24849621951580048,0.24758118391036987,0.2852522134780884,0.24076054990291595,0.15199394524097443,0.21494702994823456,0.8321835398674011,0.276785284280777,0.1936143934726715,0.10706513375043869
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2535701394081116,0.4946078956127167,0.2069557160139084,0.32352879643440247,0.39760664105415344,0.31091248989105225
the,0.5003893971443176,0.5823672413825989,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29490065574645996,0.4306776821613312,0.40150508284568787,0.22068053483963013
largest,0.2018657773733139,0.3413417339324951,0.3757036626338959,0.9999999403953552,0.2101866453886032,0.36650770902633667,0.27390000224113464,0.22775328159332275,0.20374812185764313,0.12401245534420013
number,0.3329964578151703,0.22390379011631012,0.35145696997642517,0.2101866453886032,1.0,0.2778518795967102,0.13612981140613556,0.20829424262046814,0.24833418428897858,0.19256845116615295
being,0.34980592131614685,0.4445112943649292,0.419739305973053,0.18104127049446106,0.26345863938331604,0.34885138273239136,0.18519318103790283,0.37831297516822815,0.32622846961021423,0.26743772625923157
from,0.3713873624801636,0.27355384826660156,0.40150508284568787,0.20374812185764313,0.24833418428897858,0.4249346852302551,0.1658976823091507,0.31919217109680176,1.0,0.19969791173934937
germany,0.20900733768939972,0.2201172411441803,0.3181285262107849,0.19323766231536865,0.1425575166940689,0.2942050099372864,0.15067534148693085,0.2273426651954651,0.18705032765865326,0.1388660967350006
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.28545793890953064,0.5116966962814331,0.19150754809379578,0.3707200884819031,0.3601827025413513,0.20544172823429108
the,0.5003893971443176,0.5823672413825989,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29490065574645996,0.4306776821613312,0.40150508284568787,0.22068053483963013
united,0.23721055686473846,0.22408509254455566,0.34367692470550537,0.2719666361808777,0.22255121171474457,0.3187655806541443,0.2418617308139801,0.19808468222618103,0.27339106798171997,0.17266890406608582
kingdom,0.18143217265605927,0.1914215236902237,0.3143408000469208,0.2149297147989273,0.20551708340644836,0.3218171298503876,0.23080021142959595,0.18722157180309296,0.2127424031496048,0.12927088141441345
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2535701394081116,0.4946078956127167,0.2069557160139084,0.32352879643440247,0.39760664105415344,0.31091248989105225
are,0.32389864325523376,0.5330929756164551,0.40399202704429626,0.23992078006267548,0.3537501394748688,0.39081433415412903,0.20633454620838165,0.2736581563949585,0.2674213647842407,0.24591213464736938
attracted,0.24427953362464905,0.200980082154274,0.2029382735490799,0.20159125328063965,0.1669226586818695,0.23168495297431946,0.333577036857605,0.2703219950199127,0.19066357612609863,0.06735223531723022
mainly,0.3845270276069641,0.3799574673175812,0.3790479004383087,0.29791295528411865,0.26207080483436584,0.3325652480125427,0.1877998262643814,0.2701095640659332,0.3165775537490845,0.07608037441968918
to,0.47735077142715454,0.42745086550712585,0.535392165184021,0.18687231838703156,0.2706126868724823,0.41548454761505127,0.22167782485485077,0.37835928797721863,0.4069952368736267,0.29463258385658264
the,0.5003893971443176,0.5823672413825989,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29490065574645996,0.4306776821613312,0.40150508284568787,0.22068053483963013
coastal,0.25423139333724976,0.21945476531982422,0.2718130946159363,0.28040558099746704,0.17093777656555176,0.29121753573417664,0.3775893747806549,0.17112626135349274,0.17876875400543213,0.13777320086956024
beaches,0.23122160136699677,0.2566693127155304,0.253246545791626,0.27210453152656555,0.13228778541088104,0.24178698658943176,0.49819010496139526,0.20978429913520813,0.1232527643442154,0.13028982281684875
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.28545793890953064,0.5116966962814331,0.19150754809379578,0.3707200884819031,0.3601827025413513,0.20544172823429108
the,0.5003893971443176,0.5823672413825989,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29490065574645996,0.4306776821613312,0.40150508284568787,0.22068053483963013
game,0.21889865398406982,0.21222543716430664,0.285271555185318,0.131032332777977,0.18881799280643463,0.2298848181962967,0.15557387471199036,0.19485148787498474,0.18001270294189453,0.1829071193933487
reserves,0.20746803283691406,0.29675084352493286,0.2742844521999359,0.3284527063369751,0.16840088367462158,0.2623094618320465,0.3187521696090698,0.19558846950531006,0.1811688393354416,0.09854976832866669
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2535701394081116,0.4946078956127167,0.2069557160139084,0.32352879643440247,0.39760664105415344,0.31091248989105225
notably,0.30924639105796814,0.18971042335033417,0.33497244119644165,0.19753840565681458,0.21311868727207184,0.3080497682094574,0.21201755106449127,0.09802133589982986,0.22085493803024292,0.10343469679355621
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.26626327633857727,0.2535701394081116,0.4946078956127167,0.2069557160139084,0.32352879643440247,0.39760664105415344,0.31091248989105225
the,0.5003893971443176,0.5823672413825989,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29490065574645996,0.4306776821613312,0.40150508284568787,0.22068053483963013
expansive,0.20642416179180145,0.2485935091972351,0.31792211532592773,0.31749480962753296,0.18901175260543823,0.28950661420822144,0.2233307659626007,0.23707254230976105,0.13245467841625214,0.16035804152488708
east,0.28155818581581116,0.2596127688884735,0.3383176326751709,0.2719952464103699,0.1381463259458542,0.314786434173584,0.2811916470527649,0.16968119144439697,0.27024149894714355,0.10070597380399704
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.24602696299552917,0.28545793890953064,0.5116966962814331,0.19150754809379578,0.3707200884819031,0.3601827025413513,0.20544172823429108
west,0.22786299884319305,0.25201764702796936,0.32918402552604675,0.2725459933280945,0.13558785617351532,0.2891985774040222,0.2540113925933838,0.19103676080703735,0.2389117330312729,0.12088293582201004
tsavo,0.17184102535247803,0.20055001974105835,0.24193711578845978,0.16290436685085297,0.15331967175006866,0.2512985169887543,0.13788406550884247,0.17141839861869812,0.08439096808433533,0.2354823648929596
national,0.23696602880954742,0.23413582146167755,0.32739606499671936,0.22149519622325897,0.24338532984256744,0.3314673602581024,0.2626025378704071,0.13367876410484314,0.17547941207885742,0.15643028914928436
park,0.1767059862613678,0.2076987773180008,0.24748283624649048,0.2416546791791916,0.14059476554393768,0.24561640620231628,0.3474963307380676,0.11643515527248383,0.1818668693304062,0.13508929312229156
"20,808",0.09634716808795929,0.14509162306785583,0.13541337847709656,0.11387226730585098,0.07063553482294083,0.18944090604782104,0.16653011739253998,0.07523784786462784,0.1585715413093567,0.17563733458518982
square,0.23094722628593445,0.2405121773481369,0.2809545397758484,0.29800933599472046,0.249491885304451,0.2585134208202362,0.2001437246799469,0.1344003677368164,0.10668959468603134,0.1201515942811966
kilometres,0.2298799455165863,0.2581603229045868,0.26219841837882996,0.31605854630470276,0.16992206871509552,0.2594377398490906,0.2909201383590698,0.1633182317018509,0.2276834398508072,0.09185487031936646
(,0.1970011591911316,0.35393038392066956,0.33289089798927307,0.14214102923870087,0.16158060729503632,0.35032153129577637,0.12194745242595673,0.2102975845336914,0.25806233286857605,0.40561532974243164
"8,034",-0.022607432678341866,-0.05889078229665756,-0.1277366727590561,-0.045692749321460724,-0.09566812217235565,-0.16220945119857788,0.01190034206956625,-0.05753673240542412,-0.09190065413713455,0.020460564643144608
sq,0.19639579951763153,0.23199144005775452,0.18837253749370575,0.3607860803604126,0.19560188055038452,0.21430401504039764,0.24574942886829376,0.10172706097364426,0.1261204332113266,0.18786261975765228
mi,0.09225683659315109,0.17681920528411865,0.12998802959918976,0.1542910784482956,0.12415605038404465,0.13784633576869965,0.1361541599035263,0.11900743842124939,0.19696539640426636,0.10264865309000015
),0.20711064338684082,0.37732169032096863,0.3456730246543884,0.1570781171321869,0.19318018853664398,0.3680361211299896,0.13953205943107605,0.22132152318954468,0.2672361731529236,0.42300865054130554
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.3017216920852661,0.3024539053440094,0.5696388483047485,0.28369420766830444,0.27726781368255615,0.4274188280105591,0.20430970191955566
the,0.5003893971443176,0.5823672413825989,1.0,0.3757036626338959,0.35145696997642517,0.733189046382904,0.29490065574645996,0.4306776821613312,0.40150508284568787,0.22068053483963013
southeast,0.2592759430408478,0.26845720410346985,0.32264992594718933,0.3658686876296997,0.11527929455041885,0.3134217858314514,0.3240291476249695,0.1626565307378769,0.24805954098701477,0.1004139706492424
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.18871670961380005,0.3256329298019409,0.5352458953857422,0.1932642161846161,0.32087481021881104,0.41536515951156616,0.4130953550338745
