,during,the,bronco,'s,playoff,games,",",who,did,not,throw,at,all,?
despite,0.305835098028183,0.3172689974308014,0.12071304768323898,0.05400807410478592,0.15346108376979828,0.14836600422859192,0.2853280007839203,0.18035544455051422,0.38115930557250977,0.3768695294857025,0.20156003534793854,0.2349601536989212,0.2602567672729492,0.14350546896457672
manning,0.25985732674598694,0.27058160305023193,0.35636329650878906,0.021839646622538567,0.29288947582244873,0.2505776882171631,0.30921146273612976,0.33436715602874756,0.22743284702301025,0.17600718140602112,0.30718404054641724,0.2622990310192108,0.1912393718957901,0.15856626629829407
's,0.011294117197394371,-0.01540423184633255,-0.03704093396663666,0.9999999403953552,0.027271976694464684,0.15553481876850128,-0.0016132977325469255,0.05599616840481758,0.05069678649306297,0.002583299996331334,0.06872890889644623,-0.08481216430664062,0.03181743621826172,-0.023395681753754616
problems,0.20926709473133087,0.2659202516078949,0.17340457439422607,-0.0541396401822567,0.10436484962701797,0.15223388373851776,0.2596952021121979,0.25277501344680786,0.2553269863128662,0.3441416919231415,0.16852456331253052,0.22145189344882965,0.27523931860923767,0.2638136148452759
with,0.28545209765434265,0.4223487675189972,0.14700986444950104,-0.04624466598033905,0.22584646940231323,0.23660777509212494,0.4120737314224243,0.3282766342163086,0.25472134351730347,0.3409014642238617,0.20230844616889954,0.29126521944999695,0.3876307010650635,0.2433311939239502
interceptions,0.2796040177345276,0.22331646084785461,0.33806678652763367,-0.01916782185435295,0.4247027039527893,0.3538045287132263,0.23110148310661316,0.1534418761730194,0.21840861439704895,0.26816633343696594,0.34933018684387207,0.2007206529378891,0.2766301929950714,0.10945115238428116
during,1.0,0.4838213622570038,0.19425760209560394,0.011294117197394371,0.2678307890892029,0.22036121785640717,0.3225448727607727,0.30551859736442566,0.30679523944854736,0.2700311541557312,0.11671995371580124,0.372769296169281,0.27479588985443115,0.1325719803571701
the,0.4838213622570038,1.0,0.17987582087516785,-0.01540423184633255,0.23217415809631348,0.2676136791706085,0.4933079481124878,0.3733934462070465,0.34736719727516174,0.4310511648654938,0.23050227761268616,0.457212895154953,0.4860881567001343,0.22068053483963013
season,0.30325618386268616,0.2507155239582062,0.22042551636695862,0.06624794006347656,0.5531752109527588,0.34330427646636963,0.2232367992401123,0.13809308409690857,0.19368280470371246,0.19720205664634705,0.1421726495027542,0.18120098114013672,0.21257801353931427,0.16793298721313477
",",0.3225448727607727,0.4933079481124878,0.1808430403470993,-0.0016132977325469255,0.20470835268497467,0.2778109014034271,1.0000001192092896,0.3365725874900818,0.3015086054801941,0.3769696354866028,0.18939918279647827,0.38314947485923767,0.425624817609787,0.31091248989105225
he,0.3751114010810852,0.4571082592010498,0.18303123116493225,0.024063590914011,0.16760969161987305,0.23052819073200226,0.40251094102859497,0.5500732064247131,0.3292143940925598,0.29440581798553467,0.23428164422512054,0.3280475437641144,0.31727755069732666,0.2089974731206894
did,0.30679523944854736,0.34736719727516174,0.10454492270946503,0.05069678649306297,0.17231744527816772,0.18056219816207886,0.3015086054801941,0.34038686752319336,1.0,0.6481515765190125,0.2320234477519989,0.28390252590179443,0.33943864703178406,0.3023456633090973
n't,-0.0201399028301239,-0.11449059844017029,-0.026712847873568535,-0.06347019225358963,-0.0494135320186615,-0.05171539634466171,0.11016341298818588,-0.004320643376559019,-0.11697922646999359,-0.11552248895168304,-0.08318950980901718,0.06116354838013649,-0.13349294662475586,0.07068326324224472
throw,0.11671995371580124,0.23050227761268616,0.21210670471191406,0.06872890889644623,0.2195359319448471,0.28074079751968384,0.18939918279647827,0.2533889710903168,0.2320234477519989,0.3175922632217407,0.9999998807907104,0.20769809186458588,0.27844223380088806,0.2296752780675888
any,0.22442151606082916,0.4525727927684784,0.07019319385290146,0.09017360955476761,0.17098867893218994,0.2091669738292694,0.3237466514110565,0.29236510396003723,0.37563082575798035,0.5995424389839172,0.2963911294937134,0.2206675112247467,0.5059395432472229,0.4113408327102661
in,0.4627237319946289,0.6662389636039734,0.14553722739219666,-0.037580832839012146,0.1746445745229721,0.24802106618881226,0.5201468467712402,0.2792111933231354,0.2593238651752472,0.3403114080429077,0.15931737422943115,0.4374977946281433,0.3335905969142914,0.20430970191955566
their,0.3022443354129791,0.516537070274353,0.16613757610321045,-0.005530759692192078,0.224172905087471,0.22292454540729523,0.3045167922973633,0.3767721951007843,0.38078752160072327,0.4368778169155121,0.29014116525650024,0.23641370236873627,0.47224584221839905,0.1898253709077835
two,0.3126561641693115,0.43858039379119873,0.2053634524345398,0.038143858313560486,0.20557330548763275,0.2216261327266693,0.35859420895576477,0.2791741192340851,0.2755576968193054,0.2686237692832947,0.20846116542816162,0.32178381085395813,0.4553687274456024,0.19645625352859497
playoff,0.2678307890892029,0.23217415809631348,0.2666338384151459,0.027271976694464684,1.0,0.4671643376350403,0.20470835268497467,0.14440672099590302,0.17231744527816772,0.19006937742233276,0.2195359319448471,0.13487565517425537,0.2423587292432785,0.12846976518630981
games,0.22036121785640717,0.2676136791706085,0.22739967703819275,0.15553481876850128,0.4671643376350403,1.0000001192092896,0.2778109014034271,0.21274375915527344,0.18056219816207886,0.20263861119747162,0.28074079751968384,0.23006781935691833,0.2487001121044159,0.1360001415014267
.,0.3485563397407532,0.5934505462646484,0.17763781547546387,-0.003708066651597619,0.18390463292598724,0.27173087000846863,0.6812511086463928,0.3541337847709656,0.35288307070732117,0.4824007451534271,0.22780419886112213,0.4549728035926819,0.43406882882118225,0.4130953550338745
