,what,is,stress-management,training,considered,to,be,?
organizational,0.22883515059947968,0.20280693471431732,0.3855622410774231,0.3404213786125183,0.22044377028942108,0.27986985445022583,0.19491037726402283,0.21536388993263245
interventions,0.33308809995651245,0.18121732771396637,0.4430345892906189,0.3730762004852295,0.25165846943855286,0.3172720670700073,0.2653169631958008,0.21823889017105103
",",0.3087472915649414,0.4691906273365021,0.2820812463760376,0.23877868056297302,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.31091248989105225
like,0.4320242702960968,0.29710376262664795,0.20201081037521362,0.13782747089862823,0.28127408027648926,0.35482415556907654,0.43064841628074646,0.3268813192844391
changing,0.34731432795524597,0.25595417618751526,0.2927529811859131,0.198782816529274,0.1784990280866623,0.33748573064804077,0.3715363144874573,0.2747461497783661
teachers,0.2526462972164154,0.15701442956924438,0.32864370942115784,0.46216240525245667,0.1886288970708847,0.2668606638908386,0.20256873965263367,0.19522249698638916
',0.3245812654495239,0.5508411526679993,0.23654788732528687,0.152706578373909,0.2726886570453644,0.34544456005096436,0.2717236876487732,0.330942302942276
schedules,0.20391570031642914,0.15703676640987396,0.3294507563114166,0.35969915986061096,0.1493127942085266,0.2658204436302185,0.27651888132095337,0.14079800248146057
",",0.3087472915649414,0.4691906273365021,0.2820812463760376,0.23877868056297302,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.31091248989105225
providing,0.21766136586666107,0.27256250381469727,0.3657655119895935,0.31508809328079224,0.23041674494743347,0.3326144516468048,0.36757728457450867,0.1936793476343155
support,0.2797985076904297,0.17214131355285645,0.30903947353363037,0.23890714347362518,0.17918239533901215,0.2742273211479187,0.3082740604877472,0.22626608610153198
networks,0.18279550969600677,0.22635811567306519,0.28395870327949524,0.17552180588245392,0.16069775819778442,0.23877078294754028,0.2321242094039917,0.17815114557743073
and,0.31309178471565247,0.3859752118587494,0.3368796408176422,0.264431893825531,0.3359341621398926,0.48971283435821533,0.41766801476478577,0.20544172823429108
mentoring,0.45505020022392273,0.21155990660190582,0.4225372076034546,0.28335100412368774,0.2781105041503906,0.3599640727043152,0.37560445070266724,0.37068867683410645
",",0.3087472915649414,0.4691906273365021,0.2820812463760376,0.23877868056297302,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.31091248989105225
changing,0.34731432795524597,0.25595417618751526,0.2927529811859131,0.198782816529274,0.1784990280866623,0.33748573064804077,0.3715363144874573,0.2747461497783661
the,0.42745697498321533,0.5823672413825989,0.3168664574623108,0.22380973398685455,0.4028765559196472,0.535392165184021,0.4248143136501312,0.22068053483963013
work,0.3762225806713104,0.22475390136241913,0.34484851360321045,0.342512309551239,0.23064734041690826,0.3482864499092102,0.34449198842048645,0.2621155381202698
environment,0.213022843003273,0.2787531912326813,0.44845345616340637,0.22664634883403778,0.21595191955566406,0.274095743894577,0.2868114411830902,0.19478057324886322
",",0.3087472915649414,0.4691906273365021,0.2820812463760376,0.23877868056297302,0.32932984828948975,0.44245919585227966,0.39254459738731384,0.31091248989105225
