,what,percentage,of,total,financial,aid,for,undergraduates,from,harvard,was,in,the,form,of,grants,?
grants,0.18652507662773132,0.2452072948217392,0.3099519908428192,0.16901133954524994,0.34164682030677795,0.2833576500415802,0.37409108877182007,0.3989183008670807,0.21214406192302704,0.15982702374458313,0.17012618482112885,0.22626352310180664,0.2900126874446869,0.09800966829061508,0.3099519908428192,1.0000001192092896,0.1494954377412796
total,0.19850242137908936,0.46965354681015015,0.29045331478118896,0.9999999403953552,0.13687103986740112,0.14767736196517944,0.18924455344676971,0.26244816184043884,0.14256314933300018,0.1318056881427765,0.14069223403930664,0.27667245268821716,0.27068960666656494,0.09491683542728424,0.29045331478118896,0.16901133954524994,0.14396025240421295
88,-0.045913759618997574,0.037220243364572525,0.007528162095695734,-0.01818685419857502,0.03624814376235008,-0.03205040842294693,-0.014709456823766232,-0.0077717783860862255,-0.0355616994202137,0.019841661676764488,-0.08867604285478592,-0.07498844712972641,-0.06044774129986763,0.1384761482477188,0.007528162095695734,0.0025235507637262344,0.0018956762505695224
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.43912753462791443,0.13037382066249847,0.07137581706047058,0.16658860445022583,0.21630580723285675,0.21054168045520782,0.15436998009681702,0.11743833869695663,0.19465309381484985,0.21490740776062012,0.18311791121959686,0.19953428208827972,0.17748205363750458,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.29045331478118896,0.30178552865982056,0.20153990387916565,0.4185989499092102,0.2865331470966339,0.4249346852302551,0.25842633843421936,0.4069072902202606,0.5696388483047485,0.733189046382904,0.29600051045417786,1.0,0.3099519908428192,0.1826142966747284
harvard,0.2177114188671112,0.1223357543349266,0.25842633843421936,0.1318056881427765,0.19461186230182648,0.11811136454343796,0.14800849556922913,0.44903212785720825,0.2288978099822998,1.0,0.2415156066417694,0.26072487235069275,0.24496200680732727,0.1908406764268875,0.25842633843421936,0.15982702374458313,0.11685016006231308
's,0.02692362666130066,0.14816685020923615,-0.03817026689648628,0.1334245651960373,0.06992136687040329,0.07831104844808578,-0.07241261005401611,0.013842313550412655,-0.01936490088701248,-0.06887804716825485,0.008974763564765453,-0.037580832839012146,-0.01540423184633255,0.07059726119041443,-0.03817026689648628,-0.05198945850133896,-0.023395681753754616
aid,0.1778782606124878,0.2039959728717804,0.20153990387916565,0.14767736196517944,0.33156654238700867,0.9999998807907104,0.28007441759109497,0.1591685265302658,0.2172318547964096,0.11811136454343796,0.15475519001483917,0.1754455417394638,0.21952909231185913,0.13218601047992706,0.20153990387916565,0.2833576500415802,0.08358026295900345
for,0.3017193675041199,0.2764090597629547,0.4185989499092102,0.18924455344676971,0.311439573764801,0.28007441759109497,0.9999999403953552,0.27106237411499023,0.314039945602417,0.14800849556922913,0.3863949179649353,0.4322226941585541,0.4739971458911896,0.2342945635318756,0.4185989499092102,0.37409108877182007,0.264628142118454
undergraduate,0.1996101438999176,0.20764261484146118,0.26330024003982544,0.23217211663722992,0.2865322232246399,0.1499146670103073,0.2474764585494995,0.9729481935501099,0.17882651090621948,0.4797225296497345,0.20928749442100525,0.2541961967945099,0.20609073340892792,0.17562532424926758,0.26330024003982544,0.370648592710495,0.1531745046377182
students,0.2380729615688324,0.22155962884426117,0.25513339042663574,0.16213786602020264,0.2152647078037262,0.221961110830307,0.2460945099592209,0.6883468627929688,0.20272988080978394,0.33647945523262024,0.19959072768688202,0.2676171064376831,0.25268980860710144,0.13246071338653564,0.25513339042663574,0.32413196563720703,0.18017297983169556
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.25815486907958984,0.25465908646583557,0.1953202486038208,0.4464869201183319,0.22169508039951324,0.39760664105415344,0.2719281017780304,0.45456063747406006,0.5201468467712402,0.4933079481124878,0.21805599331855774,0.4946078956127167,0.30463892221450806,0.31091248989105225
with,0.2464839518070221,0.18467122316360474,0.41827285289764404,0.1768326759338379,0.2360578030347824,0.2036019116640091,0.39140474796295166,0.17909932136535645,0.26272761821746826,0.11114109307527542,0.27411898970603943,0.4080928862094879,0.4223487675189972,0.29348593950271606,0.41827285289764404,0.18219539523124695,0.2433311939239502
aid,0.1778782606124878,0.2039959728717804,0.20153990387916565,0.14767736196517944,0.33156654238700867,0.9999998807907104,0.28007441759109497,0.1591685265302658,0.2172318547964096,0.11811136454343796,0.15475519001483917,0.1754455417394638,0.21952909231185913,0.13218601047992706,0.20153990387916565,0.2833576500415802,0.08358026295900345
also,0.42747777700424194,0.2558325529098511,0.4924938678741455,0.2741534113883972,0.26933684945106506,0.23854784667491913,0.5373267531394958,0.25690579414367676,0.33783096075057983,0.25234612822532654,0.4032125174999237,0.5073733329772949,0.6021018624305725,0.27514979243278503,0.4924938678741455,0.2539129853248596,0.21848613023757935
provided,0.2206064909696579,0.22023944556713104,0.272808313369751,0.16017712652683258,0.28894585371017456,0.3420303761959076,0.38938868045806885,0.22265271842479706,0.22916625440120697,0.12243783473968506,0.2404836267232895,0.19033823907375336,0.304488867521286,0.19923007488250732,0.272808313369751,0.38371720910072327,0.16893617808818817
by,0.2455483376979828,0.21129482984542847,0.3646814823150635,0.20661480724811554,0.19205018877983093,0.23209139704704285,0.3248702883720398,0.1507093906402588,0.3373257517814636,0.18136346340179443,0.4752357602119446,0.370934396982193,0.4408751428127289,0.20338405668735504,0.3646814823150635,0.2260308414697647,0.17966607213020325
loans,0.17668579518795013,0.27622103691101074,0.20269882678985596,0.2011869102716446,0.4952237606048584,0.243545800447464,0.30454221367836,0.33901920914649963,0.15579721331596375,0.14781981706619263,0.15699255466461182,0.1964113414287567,0.2122887223958969,0.21299321949481964,0.20269882678985596,0.4028055667877197,0.17645451426506042
