,what,was,the,very,first,television,station,to,broadcast,in,fresno,?
the,0.42745697498321533,0.48711544275283813,1.0,0.34171217679977417,0.49448907375335693,0.24569597840309143,0.23609806597232819,0.535392165184021,0.2713715434074402,0.6662389636039734,0.22571885585784912,0.22068053483963013
very,0.37053924798965454,0.3183368146419525,0.34171217679977417,1.0000001192092896,0.25814202427864075,0.14806777238845825,0.14446215331554413,0.3902553617954254,0.14588843286037445,0.3209688663482666,0.07541954517364502,0.20864155888557434
first,0.28086137771606445,0.5022147297859192,0.49448907375335693,0.25814202427864075,1.0,0.2787016034126282,0.1849050670862198,0.3792489171028137,0.2604263722896576,0.4127444326877594,0.15842407941818237,0.18701928853988647
fresno,0.159109428524971,0.2749030292034149,0.22571885585784912,0.07541954517364502,0.15842407941818237,0.2899557948112488,0.22576799988746643,0.22500741481781006,0.23081621527671814,0.26126348972320557,1.0000001192092896,0.13224096596240997
television,0.19838058948516846,0.2516675293445587,0.24569597840309143,0.14806777238845825,0.2787016034126282,1.0000001192092896,0.2767264246940613,0.1933557242155075,0.6160560846328735,0.2689782977104187,0.2899557948112488,0.16825827956199646
station,0.1613752841949463,0.18833480775356293,0.23609806597232819,0.14446215331554413,0.1849050670862198,0.2767264246940613,1.0,0.21352042257785797,0.3892953395843506,0.21784305572509766,0.22576799988746643,0.12574981153011322
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.3902553617954254,0.3792489171028137,0.1933557242155075,0.21352042257785797,1.0,0.2326623648405075,0.45010748505592346,0.22500741481781006,0.29463258385658264
begin,0.26893487572669983,0.17294162511825562,0.34293439984321594,0.24362054467201233,0.2771400213241577,0.17454946041107178,0.1686740666627884,0.33302420377731323,0.13977687060832977,0.2903634011745453,0.17377208173274994,0.16177093982696533
broadcasting,0.18499015271663666,0.25895166397094727,0.29916465282440186,0.11356581002473831,0.2611231207847595,0.6134137511253357,0.40611958503723145,0.23729375004768372,0.843898594379425,0.27609771490097046,0.25805655121803284,0.10870421677827835
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.3183368146419525,0.5022147297859192,0.2516675293445587,0.18833480775356293,0.3636345863342285,0.24068336188793182,0.45514053106307983,0.2749030292034149,0.18412111699581146
kmj-tv,0.4146338105201721,0.21526770293712616,0.3744090497493744,0.2819174826145172,0.21728183329105377,0.48604172468185425,0.4146748483181,0.3665625751018524,0.5092742443084717,0.29184234142303467,0.2264210283756256,0.31314224004745483
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34709087014198303,0.34503069519996643,0.27995240688323975,0.2482491284608841,0.44245919585227966,0.24917922914028168,0.5201468467712402,0.2561432421207428,0.31091248989105225
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.46625974774360657,0.3828166127204895,0.21160198748111725,0.20371483266353607,0.5345056653022766,0.26385819911956787,0.4840516746044159,0.14756552875041962,0.25814583897590637
debuted,0.08543460816144943,0.3357197344303131,0.28418588638305664,0.17614755034446716,0.35306718945503235,0.30273041129112244,0.15545518696308136,0.17721480131149292,0.35800012946128845,0.25110283493995667,0.25435054302215576,0.12089905142784119
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.28276392817497253,0.3120559751987457,0.2825660705566406,0.29022887349128723,0.41031414270401,0.2845228910446167,0.46853652596473694,0.25826847553253174,0.2714994251728058
june,0.2171148657798767,0.42821118235588074,0.24568822979927063,0.1643654704093933,0.2872718572616577,0.2779671549797058,0.2509653568267822,0.22441016137599945,0.27800387144088745,0.29047903418540955,0.23569801449775696,0.31416764855384827
1,-0.21266892552375793,-0.2275921255350113,-0.1554475575685501,-0.1368139535188675,-0.26829156279563904,-0.29706287384033203,-0.016136588528752327,-0.2769182622432709,-0.20020334422588348,-0.10660158097743988,-0.08850658684968948,-0.249979168176651
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.34709087014198303,0.34503069519996643,0.27995240688323975,0.2482491284608841,0.44245919585227966,0.24917922914028168,0.5201468467712402,0.2561432421207428,0.31091248989105225
1953,-0.022929862141609192,0.09139815717935562,0.10330186039209366,0.08661560714244843,0.07000213116407394,0.06322522461414337,0.2853166460990906,-0.029071945697069168,0.09299812465906143,0.06370333582162857,-0.030141111463308334,-0.048926934599876404
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.3872767388820648,0.4345304071903229,0.2806251645088196,0.20999185740947723,0.4645031690597534,0.2280997633934021,0.5591574311256409,0.2480216920375824,0.4130953550338745
