,how,many,times,has,the,south,florida/miami,area,hosted,the,super,bowl,?
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.4177538752555847,1.0,0.3129390776157379,0.2696992754936218,0.37834644317626953,0.2576315402984619,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
south,0.11786635220050812,0.2319321483373642,0.11877748370170593,0.2072066068649292,0.3129390776157379,1.0000001192092896,0.28395912051200867,0.3531528413295746,0.1722729653120041,0.3129390776157379,0.13015596568584442,0.17958779633045197,0.12336621433496475
florida/miami,0.142497718334198,0.20585575699806213,0.20234590768814087,0.21910303831100464,0.2696992754936218,0.28395912051200867,1.0,0.3288433849811554,0.20839065313339233,0.2696992754936218,0.2097877860069275,0.3453962206840515,0.17255498468875885
area,0.17030490934848785,0.2414858043193817,0.19833897054195404,0.3084876537322998,0.37834644317626953,0.3531528413295746,0.3288433849811554,1.0,0.13607744872570038,0.37834644317626953,0.09147491306066513,0.19680163264274597,0.12640461325645447
has,0.26820555329322815,0.4266262650489807,0.37720999121665955,1.0,0.4177538752555847,0.2072066068649292,0.21910303831100464,0.3084876537322998,0.28831419348716736,0.4177538752555847,0.15233033895492554,0.17163237929344177,0.15994466841220856
previously,0.14952975511550903,0.2832973301410675,0.30574196577072144,0.33915409445762634,0.33854439854621887,0.1524033546447754,0.24969728291034698,0.1655423641204834,0.2856452167034149,0.33854439854621887,0.24618855118751526,0.13252989947795868,0.15811841189861298
hosted,0.12016339600086212,0.20845934748649597,0.17764340341091156,0.28831419348716736,0.2576315402984619,0.1722729653120041,0.20839065313339233,0.13607744872570038,1.0,0.2576315402984619,0.1794566810131073,0.17901405692100525,0.09810540825128555
the,0.33890387415885925,0.4335206151008606,0.29093852639198303,0.4177538752555847,1.0,0.3129390776157379,0.2696992754936218,0.37834644317626953,0.2576315402984619,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
event,0.1736278086900711,0.17792239785194397,0.17862682044506073,0.16105224192142487,0.2960145175457001,0.1445276290178299,0.22235225141048431,0.2332121580839157,0.3793641924858093,0.2960145175457001,0.20683135092258453,0.22903870046138763,0.16076280176639557
10,0.09177426248788834,0.3056783974170685,0.03208233043551445,0.1565546989440918,0.2880653440952301,0.3899163603782654,0.06197870895266533,0.20031359791755676,0.05482253059744835,0.2880653440952301,0.053164973855018616,0.06414627283811569,0.022911956533789635
times,0.2685738503932953,0.303416907787323,1.0,0.37720999121665955,0.29093852639198303,0.11877748370170593,0.20234590768814087,0.19833897054195404,0.17764340341091156,0.29093852639198303,0.19135531783103943,0.25533148646354675,0.18880689144134521
(,0.1676948219537735,0.1455259770154953,0.19763468205928802,0.2498389035463333,0.33289089798927307,0.2013198882341385,0.22649356722831726,0.18064655363559723,0.20727264881134033,0.33289089798927307,0.17553061246871948,0.15949074923992157,0.40561532974243164
tied,0.18823237717151642,0.15223067998886108,0.22775548696517944,0.16990259289741516,0.24453675746917725,0.13544709980487823,0.18017594516277313,0.14836983382701874,0.16045978665351868,0.24453675746917725,0.15753702819347382,0.19662193953990936,0.14687292277812958
for,0.3308170735836029,0.40972793102264404,0.2999500632286072,0.450642853975296,0.4739971458911896,0.17502866685390472,0.2614940404891968,0.20941852033138275,0.2607939839363098,0.4739971458911896,0.22938419878482819,0.24430087208747864,0.264628142118454
most,0.311336874961853,0.6236066222190857,0.24540643393993378,0.3426419198513031,0.47635307908058167,0.24453285336494446,0.1733209788799286,0.2143535614013672,0.18530581891536713,0.47635307908058167,0.22041858732700348,0.20814399421215057,0.2107497900724411
with,0.3525622487068176,0.35744401812553406,0.3026435673236847,0.44092974066734314,0.4223487675189972,0.15469324588775635,0.20668640732765198,0.2303420901298523,0.1889495551586151,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.2433311939239502
new,0.20832711458206177,0.2992318272590637,0.2618185877799988,0.20920851826667786,0.3845241069793701,0.31787005066871643,0.3093608617782593,0.16119444370269775,0.24173325300216675,0.3845241069793701,0.2769954204559326,0.1471257209777832,0.14782847464084625
orleans,0.17430447041988373,0.20345625281333923,0.20654574036598206,0.15059642493724823,0.22309443354606628,0.1771451085805893,0.45123177766799927,0.21813926100730896,0.11805979907512665,0.22309443354606628,0.1912957727909088,0.3010152578353882,0.13097690045833588
),0.17939934134483337,0.16602720320224762,0.19210705161094666,0.26944878697395325,0.3456730246543884,0.2002217173576355,0.21877031028270721,0.18319392204284668,0.18757721781730652,0.3456730246543884,0.1971341073513031,0.16361013054847717,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.2897866368293762,0.3734780251979828,0.4933079481124878,0.3256652057170868,0.2847869098186493,0.2664283812046051,0.27969205379486084,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
