,what,did,olivier,roy,state,underwent,a,remarkable,shift,in,the,second,half,of,the,20th,century,?
olivier,0.1528332233428955,0.16168324649333954,1.0000001192092896,0.24586369097232819,0.030556131154298782,0.16432231664657593,0.18820913136005402,0.2006787806749344,0.15137642621994019,0.21418282389640808,0.21927626430988312,0.15653498470783234,0.12686283886432648,0.12608344852924347,0.21927626430988312,0.12947027385234833,0.1879880279302597,0.1835772544145584
roy,0.2334662228822708,0.1279803216457367,0.24586369097232819,1.0,0.1701311618089676,0.059562746435403824,0.2584960162639618,0.12089991569519043,0.06422346830368042,0.17457319796085358,0.1859140545129776,0.12627674639225006,0.07496084272861481,0.19417300820350647,0.1859140545129776,0.1299210488796234,0.13173656165599823,0.18236976861953735
argues,0.3211183547973633,0.26005780696868896,0.13347256183624268,0.15890589356422424,0.18948675692081451,0.13577216863632202,0.21543139219284058,0.21430769562721252,0.1526223123073578,0.1981038600206375,0.22893615067005157,0.10150732100009918,0.1283634454011917,0.24239063262939453,0.22893615067005157,0.1470530778169632,0.22865812480449677,0.20733967423439026
that,0.6297725439071655,0.47518548369407654,0.17062723636627197,0.08656489104032516,0.24252457916736603,0.26287850737571716,0.47537946701049805,0.3404749631881714,0.22266706824302673,0.435920387506485,0.5473989248275757,0.25411489605903625,0.2764185965061188,0.41498205065727234,0.5473989248275757,0.2447710484266281,0.24900858104228973,0.32716336846351624
``,0.008517155423760414,-0.029888948425650597,0.08033910393714905,-0.0925476998090744,0.041566602885723114,-0.04046802222728729,0.07272057235240936,-0.0034097793977707624,0.09085686504840851,0.04765888676047325,0.029072100296616554,0.07228557765483856,0.059091221541166306,0.06780257821083069,0.029072100296616554,0.07129501551389694,0.02234543487429619,0.0685480609536171
sunni,0.24205702543258667,0.19257347285747528,0.11504073441028595,0.11570462584495544,0.21899448335170746,0.05866188555955887,0.13497205078601837,0.14755702018737793,0.16959379613399506,0.17589399218559265,0.23035748302936554,0.16871094703674316,0.14394567906856537,0.25304439663887024,0.23035748302936554,0.16746406257152557,0.2401474416255951,0.17507030069828033
pan-islamism,0.3022533655166626,0.23256927728652954,0.20105896890163422,0.20399658381938934,0.2729644477367401,0.20137342810630798,0.2786582410335541,0.1900757998228073,0.20014925301074982,0.2469365894794464,0.27917662262916565,0.190199613571167,0.12571799755096436,0.2846502959728241,0.27917662262916565,0.21923334896564484,0.33479043841362,0.2222694307565689
underwent,0.17015217244625092,0.2357429563999176,0.16432231664657593,0.059562746435403824,0.09582021087408066,1.0,0.2666264772415161,0.26331886649131775,0.11811179667711258,0.3106893002986908,0.33590078353881836,0.22138158977031708,0.21460385620594025,0.236332967877388,0.33590078353881836,0.12003176659345627,0.2579585313796997,0.12751154601573944
a,0.3320399522781372,0.2552328109741211,0.18820913136005402,0.2584960162639618,0.25097307562828064,0.2666264772415161,1.0,0.3017926514148712,0.18296891450881958,0.539380669593811,0.5829201340675354,0.3655064105987549,0.29977813363075256,0.5052502155303955,0.5829201340675354,0.24495378136634827,0.19417014718055725,0.23916715383529663
remarkable,0.24123252928256989,0.25472521781921387,0.2006787806749344,0.12089991569519043,0.08829930424690247,0.26331886649131775,0.3017926514148712,1.0,0.09647373855113983,0.3141990005970001,0.2995794415473938,0.2023017257452011,0.12873059511184692,0.3246805965900421,0.2995794415473938,0.14411161839962006,0.24424278736114502,0.12076342850923538
shift,0.3028343617916107,0.12852922081947327,0.15137642621994019,0.06422346830368042,0.11104314029216766,0.11811179667711258,0.18296891450881958,0.09647373855113983,1.0,0.17035029828548431,0.20870792865753174,0.18752922117710114,0.11974497884511948,0.12892109155654907,0.20870792865753174,0.27695122361183167,0.15818068385124207,0.1848975419998169
in,0.30808621644973755,0.2593238651752472,0.21418282389640808,0.17457319796085358,0.33316072821617126,0.3106893002986908,0.539380669593811,0.3141990005970001,0.17035029828548431,1.0,0.6662389636039734,0.34510284662246704,0.25644969940185547,0.5696388483047485,0.6662389636039734,0.20743919909000397,0.3174034655094147,0.20430970191955566
the,0.42745697498321533,0.34736719727516174,0.21927626430988312,0.1859140545129776,0.3097178041934967,0.33590078353881836,0.5829201340675354,0.2995794415473938,0.20870792865753174,0.6662389636039734,1.0,0.4620301127433777,0.3189295828342438,0.733189046382904,1.0,0.3097512125968933,0.3617299497127533,0.22068053483963013
second,0.19948028028011322,0.20727969706058502,0.15653498470783234,0.12627674639225006,0.14943310618400574,0.22138158977031708,0.3655064105987549,0.2023017257452011,0.18752922117710114,0.34510284662246704,0.4620301127433777,1.0,0.3033755421638489,0.353416383266449,0.4620301127433777,0.44260352849960327,0.24203969538211823,0.17239587008953094
half,0.13016436994075775,0.12883292138576508,0.12686283886432648,0.07496084272861481,0.11473357677459717,0.21460385620594025,0.29977813363075256,0.12873059511184692,0.11974497884511948,0.25644969940185547,0.3189295828342438,0.3033755421638489,1.0000001192092896,0.2784358561038971,0.3189295828342438,0.2314508706331253,0.2272380292415619,0.07471233606338501
of,0.33290785551071167,0.2513895630836487,0.12608344852924347,0.19417300820350647,0.34253445267677307,0.236332967877388,0.5052502155303955,0.3246805965900421,0.12892109155654907,0.5696388483047485,0.733189046382904,0.353416383266449,0.2784358561038971,1.0,0.733189046382904,0.21726468205451965,0.2826060354709625,0.1826142966747284
the,0.42745697498321533,0.34736719727516174,0.21927626430988312,0.1859140545129776,0.3097178041934967,0.33590078353881836,0.5829201340675354,0.2995794415473938,0.20870792865753174,0.6662389636039734,1.0,0.4620301127433777,0.3189295828342438,0.733189046382904,1.0,0.3097512125968933,0.3617299497127533,0.22068053483963013
20th,0.1850772649049759,0.12900345027446747,0.12947027385234833,0.1299210488796234,0.21470873057842255,0.12003176659345627,0.24495378136634827,0.14411161839962006,0.27695122361183167,0.20743919909000397,0.3097512125968933,0.44260352849960327,0.2314508706331253,0.21726468205451965,0.3097512125968933,1.0,0.2968566119670868,0.14985637366771698
century,0.20422613620758057,0.2333737462759018,0.1879880279302597,0.13173656165599823,0.1615355908870697,0.2579585313796997,0.19417014718055725,0.24424278736114502,0.15818068385124207,0.3174034655094147,0.3617299497127533,0.24203969538211823,0.2272380292415619,0.2826060354709625,0.3617299497127533,0.2968566119670868,1.0,0.1026201918721199
'',0.08143015950918198,0.01978493109345436,0.0032187162432819605,0.04758865386247635,-0.007484397850930691,0.02005753107368946,0.04890415817499161,0.07374083995819092,0.04351479187607765,0.07432962208986282,0.041273195296525955,-0.06889788806438446,-0.06915741413831711,0.13035868108272552,0.041273195296525955,-0.019667156040668488,0.09057682752609253,0.018684765323996544
