,what,service,did,verizon,customers,need,to,use,to,stream,the,game,on,their,smartphones,?
due,0.15204688906669617,0.17099058628082275,0.15152592957019806,0.22789062559604645,0.22250647842884064,0.24179688096046448,0.35188060998916626,0.24184012413024902,0.35188060998916626,0.2508307099342346,0.22577603161334991,0.12858666479587555,0.3553527891635895,0.24727599322795868,0.15740622580051422,0.10954997688531876
to,0.455847829580307,0.24411341547966003,0.4452643394470215,0.2154601663351059,0.3428913950920105,0.42094892263412476,1.0,0.47261837124824524,1.0,0.2466391623020172,0.535392165184021,0.2540906071662903,0.41031414270401,0.44619059562683105,0.24930500984191895,0.29463258385658264
verizon,0.18558116257190704,0.3058696687221527,0.14520104229450226,1.0,0.4136163592338562,0.17242468893527985,0.2154601663351059,0.2561756372451782,0.2154601663351059,0.23847942054271698,0.25158894062042236,0.23836243152618408,0.27186712622642517,0.18617357313632965,0.4311070144176483,0.17554552853107452
communications,0.18950708210468292,0.39186030626296997,0.18106533586978912,0.4575967490673065,0.3534083962440491,0.21219034492969513,0.2257905900478363,0.29127711057662964,0.2257905900478363,0.20543228089809418,0.2746332883834839,0.18174539506435394,0.2067214697599411,0.24513447284698486,0.5304256677627563,0.09561901539564133
exclusivity,0.2562703490257263,0.26834219694137573,0.17837056517601013,0.3147933781147003,0.3487088680267334,0.25814130902290344,0.30238789319992065,0.3107970654964447,0.30238789319992065,0.18680152297019958,0.32945024967193604,0.2248242050409317,0.30348527431488037,0.2993907332420349,0.2913414537906647,0.16407433152198792
",",0.3087472915649414,0.2389259785413742,0.3015086054801941,0.25143179297447205,0.15941546857357025,0.25983062386512756,0.44245919585227966,0.3276674151420593,0.44245919585227966,0.2126854658126831,0.4933079481124878,0.2653886377811432,0.49057599902153015,0.3045167922973633,0.21262073516845703,0.31091248989105225
streaming,0.21690556406974792,0.3720870912075043,0.09285816550254822,0.389005571603775,0.3146645128726959,0.23737749457359314,0.27191177010536194,0.2853803038597107,0.27191177010536194,0.6805038452148438,0.25890758633613586,0.3096821904182434,0.320134699344635,0.2478855699300766,0.40092864632606506,0.19690081477165222
on,0.34226128458976746,0.21384719014167786,0.2670976221561432,0.27186712622642517,0.18067432940006256,0.2725224494934082,0.41031414270401,0.2776605486869812,0.41031414270401,0.2180166095495224,0.5107308030128479,0.22967135906219482,0.9999999403953552,0.3598666191101074,0.21007202565670013,0.2714994251728058
smartphones,0.3014732599258423,0.2829724848270416,0.17680449783802032,0.4311070144176483,0.45900747179985046,0.3283695876598358,0.24930500984191895,0.4124443829059601,0.24930500984191895,0.2149762064218521,0.18904532492160797,0.32388952374458313,0.21007202565670013,0.2718501389026642,1.0,0.23329822719097137
was,0.22111038863658905,0.22689001262187958,0.41399896144866943,0.2213466316461563,0.16072756052017212,0.1745726615190506,0.3636345863342285,0.17744606733322144,0.3636345863342285,0.11494481563568115,0.48711544275283813,0.2568269371986389,0.3909217119216919,0.2396296262741089,0.14944015443325043,0.18412111699581146
