,what,was,the,name,of,the,doctor,who,special,created,for,comic,relief,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.25567495822906494,0.2792111933231354,0.2897285223007202,0.2843434810638428,0.4322226941585541,0.17764465510845184,0.27761659026145935,0.20430970191955566
1999,0.09112130105495453,0.08547663688659668,0.06755080074071884,-0.05522710829973221,0.06211002916097641,0.06755080074071884,0.05676430091261864,0.0312652513384819,-0.03602594509720802,0.022038856521248817,-0.05938625708222389,-0.05318222567439079,-0.04596342891454697,0.05416720360517502
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.23880577087402344,0.2755771577358246,0.4464869201183319,0.21469320356845856,0.19516092538833618,0.31091248989105225
another,0.4190070629119873,0.34961897134780884,0.5019711852073669,0.29026278853416443,0.38147079944610596,0.5019711852073669,0.21500392258167267,0.4379323124885559,0.2489054799079895,0.2722811996936798,0.36770403385162354,0.18847370147705078,0.18611694872379303,0.295511931180954
special,0.24134232103824615,0.1585642695426941,0.3027077615261078,0.11142970621585846,0.27998968958854675,0.3027077615261078,0.16843044757843018,0.21519862115383148,1.0000001192092896,0.2282373607158661,0.311454176902771,0.12179490923881531,0.17144614458084106,0.29623302817344666
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.23880577087402344,0.2755771577358246,0.4464869201183319,0.21469320356845856,0.19516092538833618,0.31091248989105225
doctor,0.20870667695999146,0.19672659039497375,0.2820442318916321,0.19494794309139252,0.16895952820777893,0.2820442318916321,0.9999999403953552,0.3504868149757385,0.16843044757843018,0.1847328394651413,0.1556548923254013,0.20831334590911865,0.0945507064461708,0.1462511420249939
who,0.40942975878715515,0.3318818509578705,0.3733934462070465,0.2027527540922165,0.2827862501144409,0.3733934462070465,0.3504868149757385,0.9999998807907104,0.21519862115383148,0.25695955753326416,0.37110671401023865,0.19375000894069672,0.12048717588186264,0.26220351457595825
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.21673844754695892,0.41279885172843933,0.22352655231952667,0.2873832881450653,0.5064792633056641,0.2069120556116104,0.2548265755176544,0.20544172823429108
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2820442318916321,0.3733934462070465,0.3027077615261078,0.3539263904094696,0.4739971458911896,0.17284736037254333,0.25068938732147217,0.22068053483963013
