,in,what,areas,does,most,of,the,learning,take,place,?
for,0.4322226941585541,0.3017193675041199,0.2626132369041443,0.35159170627593994,0.3906237483024597,0.4185989499092102,0.4739971458911896,0.3046240508556366,0.33445194363594055,0.3033463954925537,0.264628142118454
example,0.30483278632164,0.3456268310546875,0.25328826904296875,0.3593006134033203,0.3754276633262634,0.3570667505264282,0.3755223751068115,0.2986626923084259,0.2583809196949005,0.31672534346580505,0.30374911427497864
",",0.5201468467712402,0.3087472915649414,0.2789289653301239,0.28617382049560547,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.22680731117725372,0.2881867289543152,0.34068408608436584,0.31091248989105225
an,0.2605783939361572,0.2821882665157318,0.1425553858280182,0.29477936029434204,0.2748267352581024,0.32280945777893066,0.4207492768764496,0.25262343883514404,0.20120757818222046,0.20706063508987427,0.19793890416622162
experienced,0.25524765253067017,0.37686559557914734,0.28189024329185486,0.24416935443878174,0.343662828207016,0.2707912027835846,0.26857760548591614,0.38040298223495483,0.28572961688041687,0.20512324571609497,0.23420310020446777
teacher,0.22632350027561188,0.20492632687091827,0.14911551773548126,0.1430262327194214,0.13949039578437805,0.19968076050281525,0.17760860919952393,0.4099653959274292,0.15935395658016205,0.13963188230991364,0.1797819435596466
and,0.4954058527946472,0.31309178471565247,0.40107932686805725,0.3461615741252899,0.4309377074241638,0.5116966962814331,0.5171257257461548,0.2687397301197052,0.296702116727829,0.2813849449157715,0.20544172823429108
parent,0.15339559316635132,0.2041042447090149,0.11215164512395859,0.21125899255275726,0.12130492925643921,0.18322299420833588,0.2354632169008255,0.19856609404087067,0.2500421702861786,0.20242495834827423,0.19855059683322906
described,0.28813880681991577,0.22590412199497223,0.17304758727550507,0.17868390679359436,0.2807270288467407,0.297532320022583,0.2878154516220093,0.2037225216627121,0.14153268933296204,0.1640213131904602,0.1374269425868988
the,0.6662389636039734,0.42745697498321533,0.3311663568019867,0.35928019881248474,0.47635307908058167,0.733189046382904,1.0,0.2504628002643585,0.31620436906814575,0.4179787337779999,0.22068053483963013
place,0.38128477334976196,0.2689766585826874,0.26487863063812256,0.19848348200321198,0.2702350616455078,0.2685627043247223,0.4179787337779999,0.20092201232910156,0.3971441090106964,1.0,0.2455766350030899
of,0.5696388483047485,0.33290785551071167,0.2803763747215271,0.3119818866252899,0.4178851246833801,1.0,0.733189046382904,0.23709416389465332,0.29282352328300476,0.2685627043247223,0.1826142966747284
a,0.539380669593811,0.3320399522781372,0.24730755388736725,0.38201746344566345,0.3508910834789276,0.5052502155303955,0.5829201340675354,0.23662391304969788,0.2789212465286255,0.3079278767108917,0.23916715383529663
teacher,0.22632350027561188,0.20492632687091827,0.14911551773548126,0.1430262327194214,0.13949039578437805,0.19968076050281525,0.17760860919952393,0.4099653959274292,0.15935395658016205,0.13963188230991364,0.1797819435596466
in,1.0,0.30808621644973755,0.33029478788375854,0.214483380317688,0.41416558623313904,0.5696388483047485,0.6662389636039734,0.2443799525499344,0.21975718438625336,0.38128477334976196,0.20430970191955566
learning,0.2443799525499344,0.29806870222091675,0.20746944844722748,0.21542014181613922,0.27735140919685364,0.23709416389465332,0.2504628002643585,0.9999998807907104,0.24970611929893494,0.20092201232910156,0.25810256600379944
as,0.3887844979763031,0.31749409437179565,0.24697712063789368,0.31202155351638794,0.3548237979412079,0.3886612355709076,0.48381632566452026,0.22636070847511292,0.26337623596191406,0.24125029146671295,0.27043893933296204
follows,0.31313058733940125,0.28637656569480896,0.15936850011348724,0.40040943026542664,0.18216370046138763,0.28921809792518616,0.3630034327507019,0.23148123919963837,0.26817062497138977,0.19635939598083496,0.16897420585155487
:,0.020521078258752823,-0.12022944539785385,-0.09025382995605469,-0.11934193223714828,0.01611955277621746,-0.08807745575904846,-0.03403344005346298,-0.10975799709558487,-0.049146901816129684,0.052159421145915985,-0.07156077772378922
``,0.04765888676047325,0.008517155423760414,0.06787070631980896,0.06539655476808548,0.08567854017019272,0.06780257821083069,0.029072100296616554,0.015908466652035713,0.010215016081929207,0.013967473059892654,0.0685480609536171
the,0.6662389636039734,0.42745697498321533,0.3311663568019867,0.35928019881248474,0.47635307908058167,0.733189046382904,1.0,0.2504628002643585,0.31620436906814575,0.4179787337779999,0.22068053483963013
real,0.1725122183561325,0.27036693692207336,0.12766674160957336,0.2659337520599365,0.15462787449359894,0.19599324464797974,0.19885718822479248,0.1723816692829132,0.26870909333229065,0.226494699716568,0.20019613206386566
bulk,0.19168980419635773,0.19509074091911316,0.2239793837070465,0.18534986674785614,0.21337561309337616,0.2895064651966095,0.2220524251461029,0.19108882546424866,0.17000065743923187,0.1596127450466156,0.14538165926933289
of,0.5696388483047485,0.33290785551071167,0.2803763747215271,0.3119818866252899,0.4178851246833801,1.0,0.733189046382904,0.23709416389465332,0.29282352328300476,0.2685627043247223,0.1826142966747284
learning,0.2443799525499344,0.29806870222091675,0.20746944844722748,0.21542014181613922,0.27735140919685364,0.23709416389465332,0.2504628002643585,0.9999998807907104,0.24970611929893494,0.20092201232910156,0.25810256600379944
takes,0.2945663630962372,0.15264007449150085,0.15618357062339783,0.38490039110183716,0.15841518342494965,0.3277401030063629,0.33578023314476013,0.1932111531496048,0.6401001811027527,0.4506075382232666,0.10935472697019577
place,0.38128477334976196,0.2689766585826874,0.26487863063812256,0.19848348200321198,0.2702350616455078,0.2685627043247223,0.4179787337779999,0.20092201232910156,0.3971441090106964,1.0,0.2455766350030899
in,1.0,0.30808621644973755,0.33029478788375854,0.214483380317688,0.41416558623313904,0.5696388483047485,0.6662389636039734,0.2443799525499344,0.21975718438625336,0.38128477334976196,0.20430970191955566
self-study,0.3124064803123474,0.30290931463241577,0.16861985623836517,0.19700799882411957,0.23949827253818512,0.2770030200481415,0.24406251311302185,0.38674429059028625,0.2348777949810028,0.12117119133472443,0.19276265799999237
and,0.4954058527946472,0.31309178471565247,0.40107932686805725,0.3461615741252899,0.4309377074241638,0.5116966962814331,0.5171257257461548,0.2687397301197052,0.296702116727829,0.2813849449157715,0.20544172823429108
problem,0.16969570517539978,0.42183366417884827,0.26363128423690796,0.27746546268463135,0.2509269416332245,0.20464475452899933,0.24928659200668335,0.2841377854347229,0.264862596988678,0.22145603597164154,0.3762950301170349
