,what,is,the,time,period,represented,in,the,museum,'s,textiles,collection,?
the,0.42745697498321533,0.5823672413825989,1.0,0.43061500787734985,0.3125074505805969,0.3256146013736725,0.6662389636039734,1.0,0.24861779808998108,-0.01540423184633255,0.26939645409584045,0.25281965732574463,0.22068053483963013
collection,0.215459942817688,0.21135231852531433,0.25281965732574463,0.2474898248910904,0.2219470590353012,0.1968824714422226,0.23004686832427979,0.25281965732574463,0.4441815912723541,0.003388406243175268,0.24477313458919525,0.9999998807907104,0.20069393515586853
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.35127586126327515,0.2698146104812622,0.3891753554344177,0.5696388483047485,0.733189046382904,0.23314370214939117,-0.03817026689648628,0.2785990536212921,0.2915455996990204,0.1826142966747284
textiles,0.23941457271575928,0.20650741457939148,0.26939645409584045,0.17228703200817108,0.1724892556667328,0.09233018755912781,0.2786903977394104,0.26939645409584045,0.2731649577617645,0.010513336397707462,1.0000001192092896,0.24477313458919525,0.06833552569150925
consists,0.11367427557706833,0.43405216932296753,0.3362659811973572,0.08976637572050095,0.155440092086792,0.32676464319229126,0.3011418879032135,0.3362659811973572,0.1181567832827568,-0.021244008094072342,0.16980984807014465,0.24928395450115204,-0.004641483072191477
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.35127586126327515,0.2698146104812622,0.3891753554344177,0.5696388483047485,0.733189046382904,0.23314370214939117,-0.03817026689648628,0.2785990536212921,0.2915455996990204,0.1826142966747284
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.32185816764831543,0.24919436872005463,0.17140258848667145,0.32563260197639465,0.39758381247520447,0.077372707426548,0.032942235469818115,0.24397003650665283,0.19879412651062012,0.27894994616508484
than,0.29388150572776794,0.2839990258216858,0.3227543234825134,0.30184081196784973,0.21055817604064941,0.21716128289699554,0.3270052373409271,0.3227543234825134,0.08831054717302322,0.0585811510682106,0.17750367522239685,0.1624053567647934,0.24917294085025787
"53,000",0.02260422520339489,-0.001089979661628604,0.08064324408769608,0.05734175071120262,-0.04211854562163353,0.057724203914403915,-0.008206934668123722,0.08064324408769608,-0.04926850646734238,0.009245749562978745,0.004871918819844723,-0.03755509853363037,0.0022034253925085068
examples,0.26665759086608887,0.29282552003860474,0.30092597007751465,0.2319445163011551,0.2815170884132385,0.22836671769618988,0.25567561388015747,0.30092597007751465,0.21049046516418457,-0.04718343913555145,0.3253297507762909,0.25887519121170044,0.19976599514484406
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3029961884021759,0.25030651688575745,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.20741747319698334,-0.0016132977325469255,0.26673367619514465,0.2277175933122635,0.31091248989105225
mainly,0.29325804114341736,0.3799574673175812,0.3790479004383087,0.21068358421325684,0.20353803038597107,0.19185228645801544,0.353954017162323,0.3790479004383087,0.14806020259857178,0.08966390043497086,0.3429209291934967,0.20353619754314423,0.07608037441968918
western,0.2454150915145874,0.2572968304157257,0.37920868396759033,0.21022427082061768,0.16873198747634888,0.1407821625471115,0.35160520672798157,0.37920868396759033,0.1567070484161377,0.06932425498962402,0.20004421472549438,0.14432497322559357,0.17439141869544983
european,0.15324164927005768,0.16083641350269318,0.3423081040382385,0.2870848476886749,0.17045241594314575,0.20301572978496552,0.23319172859191895,0.3423081040382385,0.07021971046924591,0.08902547508478165,0.1844172477722168,0.10411082953214645,0.14560863375663757
though,0.4089210331439972,0.3265945613384247,0.38776206970214844,0.37636545300483704,0.2670637369155884,0.21502161026000977,0.3193182945251465,0.38776206970214844,0.07308176159858704,0.013477406464517117,0.1746264100074768,0.16961267590522766,0.3188856542110443
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.4175976812839508,0.24493572115898132,0.22418944537639618,0.3335905969142914,0.4860881567001343,0.15291689336299896,0.03181743621826172,0.1769951432943344,0.2583276331424713,0.29575422406196594
populated,0.23684456944465637,0.3163478672504425,0.33048298954963684,0.22784969210624695,0.18559016287326813,0.24453552067279816,0.3159521818161011,0.33048298954963684,0.15300534665584564,-0.025941722095012665,0.22129109501838684,0.17230242490768433,0.20106194913387299
continents,0.22682933509349823,0.1978297084569931,0.3213147521018982,0.3143885135650635,0.28088656067848206,0.2150508612394333,0.2691466808319092,0.3213147521018982,0.12844236195087433,0.15938495099544525,0.19576191902160645,0.18265976011753082,0.14156782627105713
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.24188680946826935,0.18534421920776367,0.25353574752807617,0.3841303884983063,0.40399202704429626,0.12469582259654999,-0.008927806280553341,0.2753138542175293,0.22862131893634796,0.24591213464736938
represented,0.139044851064682,0.30249524116516113,0.3256146013736725,0.14010728895664215,0.1262998878955841,0.9999999403953552,0.33309870958328247,0.3256146013736725,0.09223581105470657,0.09158138185739517,0.09233018755912781,0.1968824714422226,0.11276352405548096
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3029961884021759,0.25030651688575745,0.3088570833206177,0.5201468467712402,0.4933079481124878,0.20741747319698334,-0.0016132977325469255,0.26673367619514465,0.2277175933122635,0.31091248989105225
dating,0.19090399146080017,0.20874302089214325,0.23401090502738953,0.2508623003959656,0.31831052899360657,0.12749944627285004,0.2300887107849121,0.23401090502738953,0.20265792310237885,-0.07326678186655045,0.22140759229660034,0.18527427315711975,0.1135709211230278
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.2964353561401367,0.2558770775794983,0.27583742141723633,0.4274188280105591,0.40150508284568787,0.20791949331760406,-0.01936490088701248,0.21983686089515686,0.2754948139190674,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.43061500787734985,0.3125074505805969,0.3256146013736725,0.6662389636039734,1.0,0.24861779808998108,-0.01540423184633255,0.26939645409584045,0.25281965732574463,0.22068053483963013
1st,0.23860467970371246,0.22772808372974396,0.2525756061077118,0.37985938787460327,0.1447478085756302,0.16944044828414917,0.25422170758247375,0.2525756061077118,0.1333410143852234,-0.007647468242794275,0.10338198393583298,0.14563968777656555,0.2033112645149231
century,0.20422613620758057,0.20648397505283356,0.3617299497127533,0.32369643449783325,0.34670042991638184,0.1735851764678955,0.3174034655094147,0.3617299497127533,0.21636970341205597,-0.0005286295781843364,0.36113661527633667,0.2717791497707367,0.1026201918721199
ad,0.27659884095191956,0.19672587513923645,0.24233382940292358,0.21068806946277618,0.2208026945590973,0.08551909774541855,0.1957923024892807,0.24233382940292358,0.09436111897230148,-0.026603031903505325,0.18952348828315735,0.10016218572854996,0.20824462175369263
