,although,southern,california,consts,of,a,heavily,developed,urban,environment,",",how,much,of,it,has,been,left,undeveloped,?
southern,0.1760103851556778,1.0,0.2983402609825134,0.20392853021621704,0.31933003664016724,0.25843560695648193,0.14060549437999725,0.11360181868076324,0.22287006676197052,0.16013798117637634,0.2795628309249878,0.11308442056179047,0.13215209543704987,0.31933003664016724,0.30382129549980164,0.16921117901802063,0.15469922125339508,0.17988921701908112,0.22381819784641266,0.11225555837154388
california,0.1758756786584854,0.2983402609825134,1.0,0.1640135496854782,0.24929828941822052,0.2426064908504486,0.12281396239995956,0.14430123567581177,0.11434049159288406,0.1774360090494156,0.2704589068889618,0.15981262922286987,0.15046925842761993,0.24929828941822052,0.1883031278848648,0.1442752480506897,0.19911831617355347,0.15121810138225555,0.24348387122154236,0.1409905105829239
consists,0.18168741464614868,0.1401759684085846,0.11834762990474701,0.35073670744895935,0.41510096192359924,0.3022095263004303,0.16201867163181305,0.23031973838806152,0.2207099348306656,0.07732252031564713,0.23121660947799683,0.14797210693359375,0.10648994892835617,0.41510096192359924,0.21649804711341858,0.3736856281757355,0.23358559608459473,0.11121342331171036,0.2879877984523773,-0.004641483072191477
of,0.3024747669696808,0.31933003664016724,0.24929828941822052,0.32524845004081726,1.0,0.5052502155303955,0.15830223262310028,0.21960023045539856,0.26017457246780396,0.2659151554107666,0.4946078956127167,0.2480744868516922,0.2671096920967102,1.0,0.38761502504348755,0.3909035325050354,0.31685134768486023,0.2218635529279709,0.2894701063632965,0.1826142966747284
a,0.29747897386550903,0.25843560695648193,0.2426064908504486,0.2603209614753723,0.5052502155303955,1.0,0.21016642451286316,0.286296546459198,0.16482499241828918,0.25667375326156616,0.427140474319458,0.29312583804130554,0.2958075702190399,0.5052502155303955,0.5452592968940735,0.4670248031616211,0.3315402865409851,0.19688890874385834,0.2894684672355652,0.23916715383529663
heavily,0.31858593225479126,0.14060549437999725,0.12281396239995956,0.2016129195690155,0.15830223262310028,0.21016642451286316,0.9999998807907104,0.23524779081344604,0.12790769338607788,0.24509252607822418,0.22766776382923126,0.18862779438495636,0.37633436918258667,0.15830223262310028,0.32285526394844055,0.21422047913074493,0.3681911826133728,0.13331539928913116,0.3298138678073883,0.1724066138267517
developed,0.20253875851631165,0.11360181868076324,0.14430123567581177,0.15032687783241272,0.21960023045539856,0.286296546459198,0.23524779081344604,1.0000001192092896,0.1566689908504486,0.22276867926120758,0.24565434455871582,0.1512427031993866,0.2722461521625519,0.21960023045539856,0.29597824811935425,0.2396264225244522,0.2608605623245239,0.0904879942536354,0.7882310152053833,0.10763012617826462
urban,0.13901783525943756,0.22287006676197052,0.11434049159288406,0.1787739247083664,0.26017457246780396,0.16482499241828918,0.12790769338607788,0.1566689908504486,1.0000001192092896,0.23820704221725464,0.21443712711334229,0.17792615294456482,0.15392345190048218,0.26017457246780396,0.15219467878341675,0.20961126685142517,0.14992202818393707,0.07058683782815933,0.31859150528907776,0.13119809329509735
environment,0.18692639470100403,0.16013798117637634,0.1774360090494156,0.20686806738376617,0.2659151554107666,0.25667375326156616,0.24509252607822418,0.22276867926120758,0.23820704221725464,0.9999998807907104,0.2742449939250946,0.2706455886363983,0.2775835692882538,0.2659151554107666,0.2618366777896881,0.22012650966644287,0.24717523157596588,0.14809931814670563,0.33005526661872864,0.19478057324886322
",",0.36230817437171936,0.2795628309249878,0.2704589068889618,0.28106221556663513,0.4946078956127167,0.427140474319458,0.22766776382923126,0.24565434455871582,0.21443712711334229,0.2742449939250946,1.0000001192092896,0.22659391164779663,0.36182254552841187,0.4946078956127167,0.48329564929008484,0.3734780251979828,0.34873589873313904,0.2448868453502655,0.2522701025009155,0.31091248989105225
