,how,long,may,the,amazon,rainforest,be,threatened,",",according,to,some,computer,models,?
the,0.33890387415885925,0.3075225353240967,0.2694292366504669,1.0,0.260541707277298,0.2571161389350891,0.4248143136501312,0.2181938886642456,0.4933079481124878,0.3202974498271942,0.535392165184021,0.4566698372364044,0.19781450927257538,0.16804195940494537,0.22068053483963013
result,0.23323923349380493,0.1738213747739792,0.2497289925813675,0.27778977155685425,0.11672966182231903,0.10608197748661041,0.3516577184200287,0.24731121957302094,0.23341737687587738,0.20988747477531433,0.23653174936771393,0.21151091158390045,0.18677863478660583,0.1765853762626648,0.17218433320522308
indicates,0.209082692861557,0.20718544721603394,0.2348211407661438,0.29467737674713135,0.23369577527046204,0.14294017851352692,0.31435298919677734,0.16094015538692474,0.23441098630428314,0.30103257298469543,0.22325339913368225,0.2241428792476654,0.12401577830314636,0.11351782083511353,0.21375471353530884
that,0.557814359664917,0.34424030780792236,0.4234136641025543,0.5473989248275757,0.2228476107120514,0.22076080739498138,0.6036020517349243,0.2806021273136139,0.4137537479400635,0.29146862030029297,0.5436353087425232,0.6049469113349915,0.2798757553100586,0.19949059188365936,0.32716336846351624
the,0.33890387415885925,0.3075225353240967,0.2694292366504669,1.0,0.260541707277298,0.2571161389350891,0.4248143136501312,0.2181938886642456,0.4933079481124878,0.3202974498271942,0.535392165184021,0.4566698372364044,0.19781450927257538,0.16804195940494537,0.22068053483963013
rainforest,0.15943723917007446,0.2815362811088562,0.0928340032696724,0.2571161389350891,0.48046615719795227,1.0,0.16418099403381348,0.2835771143436432,0.2737860679626465,0.1615397036075592,0.23412610590457916,0.2555103302001953,0.16432307660579681,0.17432646453380585,0.1917492002248764
could,0.47830453515052795,0.23749995231628418,0.41583991050720215,0.35393214225769043,0.18253840506076813,0.16585701704025269,0.4791525900363922,0.2769697606563568,0.27399855852127075,0.18885309994220734,0.5461788773536682,0.46296966075897217,0.2531432807445526,0.2351723462343216,0.3411986827850342
be,0.4158933162689209,0.2658098042011261,0.45514434576034546,0.4248143136501312,0.17553792893886566,0.16418099403381348,1.0,0.2164546698331833,0.39254459738731384,0.2703677713871002,0.4972836375236511,0.49956634640693665,0.25427141785621643,0.19873236119747162,0.3324260413646698
threatened,0.15536727011203766,0.14058682322502136,0.16229163110256195,0.2181938886642456,0.20788165926933289,0.2835771143436432,0.2164546698331833,0.9999998807907104,0.23432491719722748,0.1610628217458725,0.2676365375518799,0.2173374891281128,0.06778065860271454,0.1028960570693016,0.1536843329668045
though,0.38766178488731384,0.31448331475257874,0.3246195316314697,0.38776206970214844,0.2490151822566986,0.2343367487192154,0.46173956990242004,0.2737663984298706,0.42253127694129944,0.2541666030883789,0.46191829442977905,0.5170668363571167,0.22265277802944183,0.18984514474868774,0.3188856542110443
the,0.33890387415885925,0.3075225353240967,0.2694292366504669,1.0,0.260541707277298,0.2571161389350891,0.4248143136501312,0.2181938886642456,0.4933079481124878,0.3202974498271942,0.535392165184021,0.4566698372364044,0.19781450927257538,0.16804195940494537,0.22068053483963013
21st,0.23978880047798157,0.1247246041893959,0.19873282313346863,0.24859341979026794,0.10029688477516174,0.16999627649784088,0.20159021019935608,0.11874549835920334,0.2943238317966461,0.17353492975234985,0.21238115429878235,0.17508746683597565,0.2167028933763504,0.09704738855361938,0.22120748460292816
century,0.1569085419178009,0.12708476185798645,0.1824193298816681,0.3617299497127533,0.09350407868623734,0.1351734846830368,0.20315609872341156,0.09863735735416412,0.24487493932247162,0.23980063199996948,0.20143604278564453,0.2587970793247223,0.15410184860229492,0.20523029565811157,0.1026201918721199
