,what,were,ntl,'s,services,rebranded,as,?
the,0.42745697498321533,0.3906462490558624,0.25437963008880615,-0.01540423184633255,0.2381475418806076,0.2794581651687622,0.48381632566452026,0.22068053483963013
announcement,0.2184571474790573,0.14231258630752563,0.29058367013931274,-0.0523303784430027,0.26810112595558167,0.2808721959590912,0.221759632229805,0.24608203768730164
came,0.2728535234928131,0.4644804000854492,0.1320294886827469,0.03627123311161995,0.15663352608680725,0.32729387283325195,0.20288845896720886,0.1739392727613449
a,0.3320399522781372,0.17203083634376526,0.20805083215236664,0.04866964742541313,0.24030502140522003,0.22066490352153778,0.39550232887268066,0.23916715383529663
day,0.2990210950374603,0.23235180974006653,0.2489498406648636,0.03448042273521423,0.18359427154064178,0.22865018248558044,0.23300392925739288,0.2141837179660797
after,0.21973377466201782,0.36224013566970825,0.13586656749248505,-0.055672239512205124,0.16717137396335602,0.29199352860450745,0.3014480769634247,0.16608688235282898
setanta,0.19379256665706635,0.13764266669750214,0.22223368287086487,0.04489641264081001,0.16095121204853058,0.3036779463291168,0.18761669099330902,0.1556110829114914
sports,0.13245077431201935,0.1331941932439804,0.19811417162418365,0.038657430559396744,0.20325811207294464,0.2697261869907379,0.1638442724943161,0.04557104781270027
confirmed,0.1880883276462555,0.26162952184677124,0.17530861496925354,-0.08550186455249786,0.14178581535816193,0.2749332785606384,0.22026334702968597,0.20580808818340302
that,0.6297725439071655,0.35517072677612305,0.240937277674675,0.04397977516055107,0.2574901282787323,0.23906686902046204,0.4735107421875,0.32716336846351624
it,0.45803478360176086,0.25487732887268066,0.27703362703323364,0.06608816236257553,0.22879035770893097,0.2107633352279663,0.4461488723754883,0.25732165575027466
would,0.45766422152519226,0.37426912784576416,0.2076827585697174,0.036968596279621124,0.2584582567214966,0.33207231760025024,0.3824005722999573,0.37178951501846313
launch,0.22967466711997986,0.1543220579624176,0.276229590177536,0.01992534101009369,0.25271880626678467,0.3787118196487427,0.1635143756866455,0.22009649872779846
in,0.30808621644973755,0.3815755248069763,0.1986319124698639,-0.037580832839012146,0.22287973761558533,0.27716606855392456,0.3887844979763031,0.20430970191955566
march,0.20529508590698242,0.215988889336586,0.23441635072231293,-0.036253921687603,0.18031801283359528,0.24626582860946655,0.2616936266422272,0.2802562415599823
as,0.31749409437179565,0.3025437891483307,0.20952725410461426,-0.05775856226682663,0.2673030495643616,0.24511797726154327,1.0,0.27043893933296204
a,0.3320399522781372,0.17203083634376526,0.20805083215236664,0.04866964742541313,0.24030502140522003,0.22066490352153778,0.39550232887268066,0.23916715383529663
subscription,0.21589209139347076,0.14084915816783905,0.31597477197647095,0.08943908661603928,0.3946246802806854,0.27487412095069885,0.18730632960796356,0.22697269916534424
service,0.16857224702835083,0.15802285075187683,0.3089490532875061,0.017307469621300697,0.7696225047111511,0.23230323195457458,0.21829554438591003,0.1676298975944519
on,0.34226128458976746,0.2774328887462616,0.22365735471248627,0.0026888418942689896,0.22515536844730377,0.2645025849342346,0.36047765612602234,0.2714994251728058
the,0.42745697498321533,0.3906462490558624,0.25437963008880615,-0.01540423184633255,0.2381475418806076,0.2794581651687622,0.48381632566452026,0.22068053483963013
