,what,year,did,genghis,khan,die,?
he,0.3114890456199646,0.2827935814857483,0.3292143940925598,0.28288567066192627,0.24136358499526978,0.2030687779188156,0.2089974731206894
died,0.11138711869716644,0.23179858922958374,0.2759808599948883,0.28730252385139465,0.1835235059261322,0.3548888862133026,0.15254227817058563
in,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.224680557847023,0.1527150720357895,0.18641351163387299,0.20430970191955566
1227,0.0861235037446022,0.02645677886903286,0.061384670436382294,0.09613873809576035,0.07956865429878235,0.21167075634002686,0.2234923541545868
after,0.21973377466201782,0.336445689201355,0.30330467224121094,0.24102559685707092,0.1264270693063736,0.23814667761325836,0.16608688235282898
defeating,0.1266573965549469,0.16813185811042786,0.16532371938228607,0.28551071882247925,0.20246471464633942,0.150417760014534,0.15296590328216553
the,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.2242266982793808,0.22068053483963013
western,0.2454150915145874,0.2093568593263626,0.15773870050907135,0.28880131244659424,0.1462325006723404,0.10988260060548782,0.17439141869544983
xia,0.21090152859687805,0.19735673069953918,0.15695606172084808,0.42225655913352966,0.2651960253715515,0.17232638597488403,0.26388657093048096
.,0.3567904531955719,0.32538118958473206,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.2658497095108032,0.4130953550338745
