,how,many,natural,reserves,are,in,warsaw,?
there,0.3328511416912079,0.4993700683116913,0.2135133445262909,0.2618570625782013,0.5433560013771057,0.5361666083335876,0.23644989728927612,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.221140056848526,0.2704525291919708,1.0,0.3841303884983063,0.12567314505577087,0.24591213464736938
13,-0.02601788192987442,0.04598686099052429,0.04638001695275307,0.07576499134302139,-0.0380205400288105,0.02730540931224823,0.006656752899289131,-0.11384815722703934
natural,0.16170236468315125,0.2526421844959259,1.0,0.35775506496429443,0.221140056848526,0.32136213779449463,0.21501301229000092,0.16155436635017395
reserves,0.12628169357776642,0.17497192323207855,0.35775506496429443,0.9999998807907104,0.2704525291919708,0.23982228338718414,0.18652664124965668,0.09854976832866669
in,0.2601168751716614,0.41474202275276184,0.32136213779449463,0.23982228338718414,0.3841303884983063,1.0,0.22642600536346436,0.20430970191955566
warsaw,0.13025455176830292,0.1653265357017517,0.21501301229000092,0.18652664124965668,0.12567314505577087,0.22642600536346436,1.0,0.09769917279481888
–,0.13681066036224365,0.12880176305770874,0.14899401366710663,0.11100612580776215,0.08885963261127472,0.23687128722667694,0.17540127038955688,0.2714554965496063
among,0.24921207129955292,0.4631800651550293,0.19034652411937714,0.22117438912391663,0.3811550438404083,0.3211768567562103,0.11167501658201218,0.14343059062957764
others,0.3401021361351013,0.5011104941368103,0.23015590012073517,0.2255982607603073,0.44607222080230713,0.3167906701564789,0.09609392285346985,0.26705288887023926
",",0.22659391164779663,0.40610817074775696,0.30864179134368896,0.21863000094890594,0.4062570035457611,0.5201468467712402,0.25300899147987366,0.31091248989105225
bielany,0.22006134688854218,0.27934449911117554,0.20923428237438202,0.16934210062026978,0.21337831020355225,0.35623666644096375,0.31694042682647705,0.20519569516181946
forest,0.07947511225938797,0.19294719398021698,0.30275508761405945,0.31629055738449097,0.17875638604164124,0.24136987328529358,0.21301954984664917,0.1214437186717987
",",0.22659391164779663,0.40610817074775696,0.30864179134368896,0.21863000094890594,0.4062570035457611,0.5201468467712402,0.25300899147987366,0.31091248989105225
kabaty,0.18686024844646454,0.2481553703546524,0.16235661506652832,0.18639081716537476,0.24781182408332825,0.25358691811561584,0.21720172464847565,0.20452944934368134
woods,0.17771784961223602,0.2313058078289032,0.21396763622760773,0.17442378401756287,0.2098330855369568,0.21960093080997467,0.19148264825344086,0.09811560064554214
",",0.22659391164779663,0.40610817074775696,0.30864179134368896,0.21863000094890594,0.4062570035457611,0.5201468467712402,0.25300899147987366,0.31091248989105225
czerniaków,0.18958455324172974,0.21866342425346375,0.211048424243927,0.22480393946170807,0.16661956906318665,0.343429297208786,0.5958046317100525,0.25242525339126587
lake,0.10057038813829422,0.1804330199956894,0.18786181509494781,0.2502274811267853,0.11179637908935547,0.260087251663208,0.057224392890930176,0.07226386666297913
.,0.3287222981452942,0.3974229395389557,0.25792330503463745,0.17756770551204681,0.3452940285205841,0.5591574311256409,0.26825499534606934,0.4130953550338745
