,which,articles,of,the,free,movement,of,workers,regulation,set,out,the,primary,provisions,on,equal,treatment,of,workers,?
the,0.6521818041801453,0.29016247391700745,0.733189046382904,1.0,0.22231732308864594,0.339571475982666,0.733189046382904,0.23066683113574982,0.33589670062065125,0.2927955985069275,0.39404502511024475,1.0,0.25688621401786804,0.28538835048675537,0.5107308030128479,0.21154357492923737,0.2350214421749115,0.733189046382904,0.23066683113574982,0.22068053483963013
free,0.25454452633857727,0.18991035223007202,0.2430545836687088,0.22231732308864594,1.0,0.17103612422943115,0.2430545836687088,0.17943835258483887,0.2164722979068756,0.16715526580810547,0.27553415298461914,0.22231732308864594,0.15533408522605896,0.2658970355987549,0.20887258648872375,0.24779053032398224,0.15321248769760132,0.2430545836687088,0.17943835258483887,0.1278279572725296
movement,0.3471234440803528,0.14566700160503387,0.2662941515445709,0.339571475982666,0.17103612422943115,1.0,0.2662941515445709,0.23221145570278168,0.28360944986343384,0.11183136701583862,0.18235041201114655,0.339571475982666,0.11376915872097015,0.20906727015972137,0.15348097681999207,0.197280153632164,0.2313937544822693,0.2662941515445709,0.23221145570278168,0.1423349231481552
of,0.5011631846427917,0.24931834638118744,1.0,0.733189046382904,0.2430545836687088,0.2662941515445709,1.0,0.20827822387218475,0.2660454213619232,0.20671486854553223,0.34176841378211975,0.733189046382904,0.23414276540279388,0.2910953760147095,0.3966929316520691,0.2787107825279236,0.2632577419281006,1.0,0.20827822387218475,0.1826142966747284
workers,0.23516897857189178,0.18608501553535461,0.20827822387218475,0.23066683113574982,0.17943835258483887,0.23221145570278168,0.20827822387218475,1.0000001192092896,0.2884540557861328,0.11013121157884598,0.20360936224460602,0.23066683113574982,0.11461364477872849,0.2895319163799286,0.14091183245182037,0.21996232867240906,0.2870712876319885,0.20827822387218475,1.0000001192092896,0.1706571877002716
regulation,0.4183797240257263,0.2245742827653885,0.2660454213619232,0.33589670062065125,0.2164722979068756,0.28360944986343384,0.2660454213619232,0.2884540557861328,1.0000001192092896,0.23599199950695038,0.2224472165107727,0.33589670062065125,0.24432030320167542,0.36248889565467834,0.21283218264579773,0.26654672622680664,0.3022177815437317,0.2660454213619232,0.2884540557861328,0.1690916270017624
articles,0.3261656165122986,1.0,0.24931834638118744,0.29016247391700745,0.18991035223007202,0.14566700160503387,0.24931834638118744,0.18608501553535461,0.2245742827653885,0.11927593499422073,0.2417142540216446,0.29016247391700745,0.16495849192142487,0.2875698506832123,0.2665182054042816,0.23094360530376434,0.16800086200237274,0.24931834638118744,0.18608501553535461,0.44680753350257874
1,-0.1852463036775589,-0.28087282180786133,-0.09473495930433273,-0.1554475575685501,-0.15619777143001556,-0.11674182116985321,-0.09473495930433273,-0.11579152196645737,-0.21220016479492188,-0.21414028108119965,-0.2081054449081421,-0.1554475575685501,-0.18967203795909882,-0.2638692557811737,-0.09574633836746216,-0.17543677985668182,-0.2494308054447174,-0.09473495930433273,-0.11579152196645737,-0.249979168176651
to,0.5345056653022766,0.3171195685863495,0.41548454761505127,0.535392165184021,0.2913753390312195,0.2780168950557709,0.41548454761505127,0.2307046800851822,0.2733672261238098,0.320547491312027,0.42386990785598755,0.535392165184021,0.27388349175453186,0.2621118724346161,0.41031414270401,0.28325995802879333,0.28204283118247986,0.41548454761505127,0.2307046800851822,0.29463258385658264
7,-0.21589960157871246,-0.08712530136108398,-0.04983885586261749,-0.1142377033829689,-0.04858003929257393,-0.09616483002901077,-0.04983885586261749,-0.03438436612486839,-0.10248274356126785,-0.06188545748591423,-0.20762325823307037,-0.1142377033829689,-0.06185208261013031,-0.05843333154916763,-0.10819486528635025,-0.09821522980928421,-0.1846567988395691,-0.04983885586261749,-0.03438436612486839,-0.15092156827449799
