,in,addition,to,a,new,body,",",what,else,changes,about,the,doctor,?
the,0.6662389636039734,0.32955414056777954,0.535392165184021,0.5829201340675354,0.3845241069793701,0.31682634353637695,0.4933079481124878,0.42745697498321533,0.19370581209659576,0.3427845537662506,0.37995871901512146,1.0,0.2820442318916321,0.22068053483963013
show,0.27595704793930054,0.2530133128166199,0.29833272099494934,0.24886544048786163,0.20937778055667877,0.1828916221857071,0.31928569078445435,0.29653704166412354,0.18534636497497559,0.20337726175785065,0.21301472187042236,0.319829523563385,0.2094513326883316,0.2520138621330261
's,-0.037580832839012146,-0.07300050556659698,0.03782717138528824,0.04866964742541313,-0.008355522528290749,0.003652067156508565,-0.0016132977325469255,0.02692362666130066,0.06744367629289627,0.006762445904314518,-0.020936643704771996,-0.01540423184633255,0.031664930284023285,-0.023395681753754616
premise,0.20112496614456177,0.23523399233818054,0.21967510879039764,0.2745387554168701,0.1236695945262909,0.1902228593826294,0.18762201070785522,0.3353895843029022,0.22810770571231842,0.15818023681640625,0.20725968480110168,0.289422869682312,0.21078552305698395,0.21306073665618896
is,0.5394441485404968,0.2727152407169342,0.42745086550712585,0.658733606338501,0.2208656519651413,0.2790417969226837,0.4691906273365021,0.28837618231773376,0.22724738717079163,0.23356598615646362,0.3532065451145172,0.5823672413825989,0.19875872135162354,0.22961433231830597
that,0.435920387506485,0.3626989722251892,0.5436353087425232,0.47537946701049805,0.29177987575531006,0.32291916012763977,0.4137537479400635,0.6297725439071655,0.393348753452301,0.33237403631210327,0.4500710964202881,0.5473989248275757,0.2390732765197754,0.32716336846351624
this,0.45205554366111755,0.3263668715953827,0.5759071707725525,0.5422310829162598,0.3234144449234009,0.314092218875885,0.4316047728061676,0.5489566326141357,0.3787147104740143,0.4571877419948578,0.3886062204837799,0.6274310946464539,0.16758373379707336,0.3155723512172699
is,0.5394441485404968,0.2727152407169342,0.42745086550712585,0.658733606338501,0.2208656519651413,0.2790417969226837,0.4691906273365021,0.28837618231773376,0.22724738717079163,0.23356598615646362,0.3532065451145172,0.5823672413825989,0.19875872135162354,0.22961433231830597
a,0.539380669593811,0.2617819607257843,0.45503583550453186,1.0,0.3214259147644043,0.26263290643692017,0.427140474319458,0.3320399522781372,0.22029639780521393,0.26482418179512024,0.34171196818351746,0.5829201340675354,0.22883038222789764,0.23916715383529663
life,0.27054134011268616,0.11655011028051376,0.24560359120368958,0.27076753973960876,0.20839716494083405,0.2704063653945923,0.24050940573215485,0.24693015217781067,0.18693527579307556,0.17322580516338348,0.35289958119392395,0.23528170585632324,0.23802189528942108,0.21677987277507782
process,0.19851736724376678,0.28961652517318726,0.35462963581085205,0.2601566016674042,0.17879632115364075,0.21844282746315002,0.2061346471309662,0.3466717302799225,0.2663857042789459,0.3023693561553955,0.21026670932769775,0.264274537563324,0.07622998207807541,0.2460896074771881
of,0.5696388483047485,0.27503931522369385,0.41548454761505127,0.5052502155303955,0.343457967042923,0.25063133239746094,0.4946078956127167,0.33290785551071167,0.1318979412317276,0.25827232003211975,0.40939709544181824,0.733189046382904,0.16895952820777893,0.1826142966747284
