,who,holds,the,record,for,largest,simulcast,of,a,tv,drama,?
in,0.2792111933231354,0.2876984775066376,0.6662389636039734,0.23162534832954407,0.4322226941585541,0.3017216920852661,0.31364256143569946,0.5696388483047485,0.539380669593811,0.17989183962345123,0.24534137547016144,0.20430970191955566
2013,-0.16540901362895966,-0.1395527422428131,-0.38509321212768555,-0.16407884657382965,-0.2664349377155304,-0.21418949961662292,-0.2620839774608612,-0.2904720902442932,-0.3549499809741974,-0.1469995528459549,-0.1456514596939087,-0.2969330847263336
",",0.3365725874900818,0.2214498221874237,0.4933079481124878,0.28093910217285156,0.4464869201183319,0.26626327633857727,0.2549011707305908,0.4946078956127167,0.427140474319458,0.2778550088405609,0.240437850356102,0.31091248989105225
the,0.3733934462070465,0.28190866112709045,1.0,0.23569516837596893,0.4739971458911896,0.3757036626338959,0.31249719858169556,0.733189046382904,0.5829201340675354,0.20034731924533844,0.2408958077430725,0.22068053483963013
peabody,0.16998331248760223,0.15059849619865417,0.25355321168899536,0.1751493215560913,0.20881521701812744,0.16525670886039734,0.2574068605899811,0.2784563899040222,0.1885380744934082,0.308730810880661,0.3056005537509918,0.20188817381858826
awards,0.22637341916561127,0.24179910123348236,0.22946466505527496,0.2667017877101898,0.3199397027492523,0.13627931475639343,0.26144886016845703,0.20138365030288696,0.18129821121692657,0.31307297945022583,0.3189375102519989,0.2122269868850708
honoured,0.29662635922431946,0.215573251247406,0.23760633170604706,0.20111215114593506,0.3151992857456207,0.16294226050376892,0.14778000116348267,0.26521292328834534,0.23091158270835876,0.11006305366754532,0.17798160016536713,0.1648205667734146
doctor,0.3504868149757385,0.14397789537906647,0.2820442318916321,0.12760968506336212,0.1556548923254013,0.10847324877977371,0.20454074442386627,0.16895952820777893,0.22883038222789764,0.23672568798065186,0.2582404613494873,0.1462511420249939
who,0.9999998807907104,0.15431830286979675,0.3733934462070465,0.24139603972434998,0.37110671401023865,0.12422340363264084,0.2182508260011673,0.2827862501144409,0.36608949303627014,0.20096197724342346,0.2117668092250824,0.26220351457595825
with,0.3282766342163086,0.2882748246192932,0.4223487675189972,0.19528687000274658,0.39140474796295166,0.16282805800437927,0.2609887421131134,0.41827285289764404,0.3783375024795532,0.17663881182670593,0.1572226583957672,0.2433311939239502
an,0.2848317325115204,0.13869427144527435,0.4207492768764496,0.23345981538295746,0.3236706852912903,0.18550355732440948,0.1741747260093689,0.32280945777893066,0.44552403688430786,0.14825421571731567,0.18521735072135925,0.19793890416622162
institutional,0.2494049370288849,0.2016478031873703,0.26633402705192566,0.13399755954742432,0.27221596240997314,0.25292307138442993,0.14823192358016968,0.34490442276000977,0.2516172230243683,0.17587357759475708,0.16638179123401642,0.16612684726715088
peabody,0.16998331248760223,0.15059849619865417,0.25355321168899536,0.1751493215560913,0.20881521701812744,0.16525670886039734,0.2574068605899811,0.2784563899040222,0.1885380744934082,0.308730810880661,0.3056005537509918,0.20188817381858826
``,0.02397952415049076,0.015036399476230145,0.029072100296616554,-0.015632163733243942,0.01270448137074709,0.06791853159666061,-0.12132809311151505,0.06780257821083069,0.07272057235240936,-0.07521960884332657,-0.04820840805768967,0.0685480609536171
for,0.37110671401023865,0.28103771805763245,0.4739971458911896,0.24185582995414734,0.9999999403953552,0.13215672969818115,0.3045625686645508,0.4185989499092102,0.44038116931915283,0.22924813628196716,0.22676996886730194,0.264628142118454
evolving,0.12269758433103561,0.22738714516162872,0.29287317395210266,0.14690743386745453,0.23269900679588318,0.16070574522018433,0.3472190797328949,0.28488001227378845,0.28567323088645935,0.15746460855007172,0.1133892834186554,0.26023080945014954
with,0.3282766342163086,0.2882748246192932,0.4223487675189972,0.19528687000274658,0.39140474796295166,0.16282805800437927,0.2609887421131134,0.41827285289764404,0.3783375024795532,0.17663881182670593,0.1572226583957672,0.2433311939239502
technology,0.15122637152671814,0.18954390287399292,0.21669498085975647,0.17074577510356903,0.24007871747016907,0.17557936906814575,0.29085588455200195,0.25238582491874695,0.21604947745800018,0.19756785035133362,0.1729871928691864,0.11564995348453522
and,0.41279885172843933,0.2242596447467804,0.5171257257461548,0.23470573127269745,0.5064792633056641,0.24602696299552917,0.26428648829460144,0.5116966962814331,0.3739250600337982,0.2652006149291992,0.23960810899734497,0.20544172823429108
the,0.3733934462070465,0.28190866112709045,1.0,0.23569516837596893,0.4739971458911896,0.3757036626338959,0.31249719858169556,0.733189046382904,0.5829201340675354,0.20034731924533844,0.2408958077430725,0.22068053483963013
times,0.24510560929775238,0.1709219217300415,0.29093852639198303,0.25687506794929504,0.2999500632286072,0.1271243840456009,0.19863533973693848,0.24352745711803436,0.2745400369167328,0.20867455005645752,0.15764936804771423,0.18880689144134521
