,approximately,how,many,british,watercolours,are,in,the,v,&,a,collection,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.28973397612571716,0.2635783851146698,0.40399202704429626,0.6662389636039734,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25281965732574463,0.22068053483963013
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.15021207928657532,0.3406969904899597,0.22862131893634796,0.23004686832427979,0.25281965732574463,0.11078842729330063,0.18749947845935822,0.24716788530349731,0.9999998807907104,0.20069393515586853
includes,0.2758536636829376,0.14845652878284454,0.2885901629924774,0.13157467544078827,0.2162698656320572,0.4409101605415344,0.32460328936576843,0.3388250470161438,0.036025527864694595,0.27284300327301025,0.25086286664009094,0.3749653398990631,0.14011523127555847
about,0.4354960322380066,0.44264400005340576,0.3800397515296936,0.13588587939739227,0.17588551342487335,0.36165615916252136,0.39797019958496094,0.37995871901512146,0.10205088555812836,0.1364048421382904,0.34171196818351746,0.19907724857330322,0.302409827709198
1130,-0.03167536109685898,0.038340188562870026,0.14997628331184387,0.11258900910615921,0.15622346103191376,0.07255636155605316,0.07845716923475266,0.010465423576533794,-0.0020685382187366486,0.06740694493055344,0.061390865594148636,0.10275037586688995,-0.011017857119441032
british,0.09731001406908035,0.17564475536346436,0.23270447552204132,1.0,0.2027779072523117,0.12250547111034393,0.23084034025669098,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.15021207928657532,0.09711728990077972
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.325880765914917,0.31421002745628357,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
650,0.01823427714407444,0.12330715358257294,0.13430091738700867,0.2806226909160614,0.10296911746263504,0.012183871120214462,0.23061935603618622,0.22335943579673767,0.20608270168304443,0.19102512300014496,0.16608767211437225,0.194980189204216,0.1771179437637329
european,0.18031030893325806,0.123964823782444,0.24996337294578552,0.21545198559761047,0.23119236528873444,0.15548661351203918,0.23319172859191895,0.3423081040382385,0.16175833344459534,0.15071523189544678,0.2254103124141693,0.10411082953214645,0.14560863375663757
oil,0.16102522611618042,0.13798584043979645,0.19348452985286713,0.13256411254405975,0.43638932704925537,0.18339769542217255,0.21800900995731354,0.21849922835826874,0.06862172484397888,0.11893997341394424,0.18393073976039886,0.1657792031764984,0.14867261052131653
paintings,0.04175901412963867,0.19760052859783173,0.3093363344669342,0.16699564456939697,0.6207064390182495,0.2476382851600647,0.2264205515384674,0.2167874127626419,0.13144442439079285,0.08101501315832138,0.15623857080936432,0.3678726255893707,0.1866389960050583
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.25734075903892517,0.29345136880874634,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,0.31091248989105225
6800,0.03620248660445213,0.08035090565681458,0.06578345596790314,0.033525530248880386,0.08119530975818634,-0.014982528053224087,0.01845454052090645,0.0056223575957119465,-0.0552876815199852,0.016117051243782043,0.01012074202299118,0.05311032384634018,0.05272204801440239
british,0.09731001406908035,0.17564475536346436,0.23270447552204132,1.0,0.2027779072523117,0.12250547111034393,0.23084034025669098,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.15021207928657532,0.09711728990077972
watercolours,0.1343759298324585,0.20561502873897552,0.3439278304576874,0.2027779072523117,0.9999998807907104,0.24891197681427002,0.2563168704509735,0.2635783851146698,0.09523451328277588,0.14126825332641602,0.1915818154811859,0.3406969904899597,0.13284827768802643
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.25734075903892517,0.29345136880874634,0.4062570035457611,0.5201468467712402,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.2277175933122635,0.31091248989105225
pastels,0.0964326336979866,0.20971570909023285,0.2740563154220581,0.07748213410377502,0.45770981907844543,0.32319074869155884,0.24431438744068146,0.2154940664768219,0.09193527698516846,0.10625009983778,0.24658049643039703,0.2283405363559723,0.26089367270469666
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.325880765914917,0.31421002745628357,0.48576638102531433,0.4954058527946472,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.2379438579082489,0.20544172823429108
2000,-0.23292087018489838,-0.07386910915374756,-0.06041426211595535,0.044024597853422165,-0.039161890745162964,-0.1486365646123886,-0.0435720756649971,-0.015081177465617657,-0.08099515736103058,0.05174524709582329,-0.03899485245347023,0.030236417427659035,-0.0824366956949234
